snapped_at,volume
2024-08-02 06:30:00 +0000,5333400069.13571846837659076014384338
2024-08-03 06:30:00 +0000,6418448116.4219486576260341757013508
2024-08-04 06:30:00 +0000,4497032394.5683957213818300149505864
2024-08-05 06:30:00 +0000,11088678052.6715592671709491086577151
2024-08-06 06:30:00 +0000,11587675430.75079806820326729932066536
2024-08-07 06:30:00 +0000,6576026921.33365792288293441616315854
2024-08-08 06:30:00 +0000,5469674542.78943324181761975946230628
2024-08-09 06:30:00 +0000,5635259089.68403398378139091631087824
2024-08-10 06:30:00 +0000,4305773507.208662426024139207610064
2024-08-11 06:30:00 +0000,3096779120.84454068639433392354928852
2024-08-12 06:30:00 +0000,4345749916.0888126416862273086352553
2024-08-13 06:30:00 +0000,5503802272.91246192272667153322918228
2024-08-14 06:30:00 +0000,4641676187.48378288842124419435017878
2024-08-15 06:30:00 +0000,4928181051.20524585043807935337092485
2024-08-16 06:30:00 +0000,5091148277.78740565213049737856497384
2024-08-17 06:30:00 +0000,3910519174.8460494105536942201907816
2024-08-18 06:30:00 +0000,2748961893.33754036886863189463007113
2024-08-19 06:30:00 +0000,3161657759.46467215244631623863316715
2024-08-20 06:30:00 +0000,4023799763.2741539492241693326705496
2024-08-21 06:30:00 +0000,3846326370.05022363947327439080022672
2024-08-22 06:30:00 +0000,4177289009.03408878545177801333672766
2024-08-23 06:30:00 +0000,3752647705.5856491793873613753430965
2024-08-24 06:30:00 +0000,5142455586.57460849332444888937451917
2024-08-25 06:30:00 +0000,4119633004.56512832028361706518535699
2024-08-26 06:30:00 +0000,3624468571.43359952101825377689469682
2024-08-27 06:30:00 +0000,5042600353.70228239261679462997306243
2024-08-28 06:30:00 +0000,6117015944.7904936618783530388026872
2024-08-29 06:30:00 +0000,5214120986.4856424385136578386835852
2024-08-30 06:30:00 +0000,4097519210.9144871719623165427510328
2024-08-31 06:30:00 +0000,3631256944.16326005429687171968669212
2024-09-01 06:30:00 +0000,1899746338.5265936130220822414788214
2024-09-02 06:30:00 +0000,3137440397.5986160120733224027017647
2024-09-03 06:30:00 +0000,3505893945.62101026145172462316589887
2024-09-04 06:30:00 +0000,4458449189.0930045087697233873772875
2024-09-05 06:30:00 +0000,4363688051.44525339167793641274062514
2024-09-06 06:30:00 +0000,4401962550.4537782095996761889853075
2024-09-07 06:30:00 +0000,6631757222.44508901660426084823382514
2024-09-08 06:30:00 +0000,2713077000.35602381018742107868553495
2024-09-09 06:30:00 +0000,3057368540.73444269933322533437486066
2024-09-10 06:30:00 +0000,3993822905.57819111296204679570125203
2024-09-11 06:30:00 +0000,3935290088.25467376107186728962268479
2024-09-12 06:30:00 +0000,4482545781.13096642854524764650276728
2024-09-13 06:30:00 +0000,4001493544.25050039888360191411549305
2024-09-14 06:30:00 +0000,3980645846.362414016774074762098945
2024-09-15 06:30:00 +0000,2033319479.39422149200528940666098204
2024-09-16 06:30:00 +0000,3427904790.4423585834706311361485157
2024-09-17 06:30:00 +0000,3795510688.12923806512272795023031136
2024-09-18 06:30:00 +0000,4749467722.02879881668767091972041816
2024-09-19 06:30:00 +0000,5880644395.48371290276629565899306668
2024-09-20 06:30:00 +0000,5323333294.59633882960675372179736788
2024-09-21 06:30:00 +0000,4204294363.40744366797884350691613475
2024-09-22 06:30:00 +0000,2569271088.59485804036466942608513744
2024-09-23 06:30:00 +0000,3945697402.7330384797062191608635798
2024-09-24 06:30:00 +0000,4293814834.33156189059524654754996684
2024-09-25 06:30:00 +0000,4784262706.18830835096731455270362105
2024-09-26 06:30:00 +0000,4570161206.74221961745200718939433024
2024-09-27 06:30:00 +0000,6093677140.12743280463117469266921952
2024-09-28 06:30:00 +0000,4660181364.39171964102714215625754272
2024-09-29 06:30:00 +0000,2665214757.95905368526407425324029956
2024-09-30 06:30:00 +0000,3270816760.2193214140603821532437831
2024-10-01 06:30:00 +0000,5170310686.70308905495231708724456746
2024-10-02 06:30:00 +0000,7586553403.22227845721079503435190781
2024-10-03 06:30:00 +0000,5575711923.51111770442815610334618884
2024-10-04 06:30:00 +0000,4970372349.00241461771823476155043612
2024-10-05 06:30:00 +0000,3994734442.10022428999656507888284288
2024-10-06 06:30:00 +0000,1955860292.61407958368037623843655236
2024-10-07 06:30:00 +0000,2706309601.22252355654035948246156136
2024-10-08 06:30:00 +0000,4571428242.79169692242215929509564435
2024-10-09 06:30:00 +0000,4065746737.77962866202589280607346078
2024-10-10 06:30:00 +0000,3469726284.21488298151270276366644178
2024-10-11 06:30:00 +0000,3377772386.47561983577424429806465479
2024-10-12 06:30:00 +0000,2936356377.84835863047868431295684988
2024-10-13 06:30:00 +0000,1997555038.4783841760868989519972976
2024-10-14 06:30:00 +0000,2852796443.7995903138976610314747864
2024-10-15 06:30:00 +0000,4364865974.40159905050496863994455345
2024-10-16 06:30:00 +0000,4933782413.62433575832622429183031431
2024-10-17 06:30:00 +0000,3898028731.73803269011952612295782411
2024-10-18 06:30:00 +0000,3613279296.30816505831120380934171656
2024-10-19 06:30:00 +0000,3235632320.22486200147278118929159947
2024-10-20 06:30:00 +0000,1748561973.49167209640049451917862848
2024-10-21 06:30:00 +0000,3108873080.5942358870137421190405392
2024-10-22 06:30:00 +0000,4072793133.48411471411266227110144868
2024-10-23 06:30:00 +0000,3588661382.2367343587485824823460345
2024-10-24 06:30:00 +0000,4383374477.31639595833046130771016336
2024-10-25 06:30:00 +0000,4075769320.15963764604698346612922991
2024-10-26 06:30:00 +0000,5924507313.2050962822449551230629463
2024-10-27 06:30:00 +0000,2820065189.68874985600642942253025719
2024-10-28 06:30:00 +0000,3560787848.71643640864081052137859442
2024-10-29 06:30:00 +0000,5123357428.81316727066174003388946869
2024-10-30 06:30:00 +0000,5139315848.41116986990767506440877061
2024-10-31 06:30:00 +0000,4896859251.13524557896387069738517346
2024-11-01 06:30:00 +0000,4333002435.09225717162048758417408032
2024-11-02 06:30:00 +0000,4599227869.7498323951272652364598465
2024-11-03 06:30:00 +0000,2797482206.7722251682767156262960455
2024-11-04 06:30:00 +0000,3835213928.6651022565508465404436959
2024-11-05 06:30:00 +0000,4241848762.40242829537649446912553471
2024-11-06 06:30:00 +0000,6668590501.73061652660077070187263316
2024-11-07 06:30:00 +0000,6689534950.72087366685375229220496372
2024-11-08 06:30:00 +0000,5231432838.77417985582509656230273232
2024-11-09 06:30:00 +0000,4941569530.54235274477554928609930321
2024-11-10 06:30:00 +0000,5354854354.85454190558793788595767404
2024-11-11 06:30:00 +0000,7955981605.84868962365471088591270761
2024-11-12 06:30:00 +0000,10352500048.6292400855588701328150992
2024-11-13 06:30:00 +0000,12087611381.75411895213449863626629136
2024-11-14 06:30:00 +0000,11349399593.12857081590359082985784976
2024-11-15 06:30:00 +0000,8687462822.85384182094831181048471408
2024-11-16 06:30:00 +0000,6638011526.41517642530745219640883405
2024-11-17 06:30:00 +0000,6707046449.60632483741840100352149052
2024-11-18 06:30:00 +0000,5720368240.35968328479776273018438456
2024-11-19 06:30:00 +0000,7316229471.74184694184967227224756
2024-11-20 06:30:00 +0000,7249151608.52887318349185007583890483
2024-11-21 06:30:00 +0000,7769856579.8135075131991572888249068
2024-11-22 06:30:00 +0000,8627906429.32513196672333330364584944
2024-11-23 06:30:00 +0000,8331308332.903243255582056859046802
2024-11-24 06:30:00 +0000,7474630472.24589012869274972729458481
2024-11-25 06:30:00 +0000,8184492050.02185906337436168302763004
2024-11-26 06:30:00 +0000,9985320356.86976404731487076049005875
2024-11-27 06:30:00 +0000,9259959116.7432485219286375066138351
2024-11-28 06:30:00 +0000,8016949907.2208843746192361718095361
2024-11-29 06:30:00 +0000,6450986049.27609668725773166660522825
2024-11-30 06:30:00 +0000,6697580999.70000680017230422248437188
2024-12-01 06:30:00 +0000,5340321777.41298258237688262549277323
2024-12-02 06:30:00 +0000,7335309059.71683057081173920331218013
2024-12-03 06:30:00 +0000,10616589909.76624695906077609746016496
2024-12-04 06:30:00 +0000,11875037004.154020768446552156360765604
2024-12-05 06:30:00 +0000,13647040438.93638778984923733520431872
2024-12-06 06:30:00 +0000,13289534832.729780447922444674038072013
2024-12-07 06:30:00 +0000,9763312479.902701051222876771469388204
2024-12-08 06:30:00 +0000,6206686242.686697199435498640868552472
2024-12-09 06:30:00 +0000,6499478174.04273563333407771960202817
2024-12-10 06:30:00 +0000,15567377070.89261219611655766095772939
2024-12-11 06:30:00 +0000,11804881670.015840130529256923877702274
2024-12-12 06:30:00 +0000,8708250801.0453608650594532491758126
2024-12-13 06:30:00 +0000,9093892495.83906814777774477454970078
2024-12-14 06:30:00 +0000,7030165691.51048127028858296493056264
2024-12-15 06:30:00 +0000,5474802782.91459380921384845612898478
2024-12-16 06:30:00 +0000,5877521041.42932399856920238029351819
2024-12-17 06:30:00 +0000,8385686837.16339179604409296028012516
2024-12-18 06:30:00 +0000,8911068845.5058451132006348350587908
2024-12-19 06:30:00 +0000,11901685136.79746381140552452814197743
2024-12-20 06:30:00 +0000,11612354190.364670786636704575547657926
