snapped_at,volume
2024-08-02 06:30:00 +0000,2617504348.60251681075706199700380769
2024-08-03 06:30:00 +0000,3114252563.74127235331177275870988095
2024-08-04 06:30:00 +0000,1875042938.72503962558138465416301684
2024-08-05 06:30:00 +0000,5052043079.4670691454329634125111481
2024-08-06 06:30:00 +0000,4727281330.84529558673283097120800392
2024-08-07 06:30:00 +0000,2804344543.19326752487551760080992316
2024-08-08 06:30:00 +0000,2619357911.38694584099507130234575632
2024-08-09 06:30:00 +0000,2794463215.87702559367657891478286512
2024-08-10 06:30:00 +0000,1836548682.8246363284533447974750517
2024-08-11 06:30:00 +0000,907578407.69991804088812697688458236
2024-08-12 06:30:00 +0000,1783910536.48291337439861936353677081
2024-08-13 06:30:00 +0000,2601966607.92436208152283413920746469
2024-08-14 06:30:00 +0000,1920147150.31069441372866341639176832
2024-08-15 06:30:00 +0000,2007940441.9971817463732390843528679
2024-08-16 06:30:00 +0000,2357377397.08296694735060023259712891
2024-08-17 06:30:00 +0000,1726228298.65435514088447919932900828
2024-08-18 06:30:00 +0000,1036422248.64997868934514812140766955
2024-08-19 06:30:00 +0000,1409368858.6023881517937478237166742
2024-08-20 06:30:00 +0000,1981437079.70965060754813710432145466
2024-08-21 06:30:00 +0000,1789899453.80708296553802432382392536
2024-08-22 06:30:00 +0000,2159118535.66028926913775095197596468
2024-08-23 06:30:00 +0000,1548956896.7606729619173059632879349
2024-08-24 06:30:00 +0000,2748829745.69287867194742942113308286
2024-08-25 06:30:00 +0000,1775191705.67874536743931885602142379
2024-08-26 06:30:00 +0000,1315535415.5521377880448203798851584
2024-08-27 06:30:00 +0000,1818008547.66916396266343675552268811
2024-08-28 06:30:00 +0000,2565775370.83633082607900638191887372
2024-08-29 06:30:00 +0000,2292292610.24359124861744648036313565
2024-08-30 06:30:00 +0000,1661491818.74592791137943617966417593
2024-08-31 06:30:00 +0000,1814029158.2087470483000109729266344
2024-09-01 06:30:00 +0000,907538207.09527418354208679569183738
2024-09-02 06:30:00 +0000,1727792813.35231368385426907122484424
2024-09-03 06:30:00 +0000,1652204337.12143596391236049913475827
2024-09-04 06:30:00 +0000,2160260233.687468087389472690311327
2024-09-05 06:30:00 +0000,2020381439.92187089136939996525431051
2024-09-06 06:30:00 +0000,1802641659.08756023463483449218375
2024-09-07 06:30:00 +0000,3250805615.4651521059804049183941584
2024-09-08 06:30:00 +0000,1031691334.94241206453622094523569974
2024-09-09 06:30:00 +0000,1515593886.09263181159349280565825272
2024-09-10 06:30:00 +0000,2177518286.73397072192474340155611129
2024-09-11 06:30:00 +0000,1956459060.67524268786567013122545838
2024-09-12 06:30:00 +0000,2622731426.52657888706301832564936976
2024-09-13 06:30:00 +0000,1633626384.19051246250020423704952985
2024-09-14 06:30:00 +0000,2181491140.1754916254265004769537463
2024-09-15 06:30:00 +0000,936936439.57864668353556472685400288
2024-09-16 06:30:00 +0000,1865029465.71843696645447242963548722
2024-09-17 06:30:00 +0000,1846445433.89213230526815454854651784
2024-09-18 06:30:00 +0000,2435439351.95947504352680226763323832
2024-09-19 06:30:00 +0000,3246460893.86838441345930899273998824
2024-09-20 06:30:00 +0000,3061390454.74429507277188852969745953
2024-09-21 06:30:00 +0000,2124426013.3697011424533187005892225
2024-09-22 06:30:00 +0000,1240134537.11520295940678530882326721
2024-09-23 06:30:00 +0000,2458530487.1207477587429716542927406
2024-09-24 06:30:00 +0000,2115264774.93327085659078584764142799
2024-09-25 06:30:00 +0000,2739365363.41780124382837087420714877
2024-09-26 06:30:00 +0000,2031280994.13616594983601653291889728
2024-09-27 06:30:00 +0000,3024266086.4064898013690835671717534
2024-09-28 06:30:00 +0000,2236898287.8799706244714816774646496
2024-09-29 06:30:00 +0000,1380800051.5890459738245035289304327
2024-09-30 06:30:00 +0000,2050775368.8918889077119612999349735
2024-10-01 06:30:00 +0000,2604695194.96092931207210969044722374
2024-10-02 06:30:00 +0000,3963250850.86726764204824536275255474
2024-10-03 06:30:00 +0000,2681577963.13382965325132239427086102
2024-10-04 06:30:00 +0000,2416904381.06610817186429949411257932
2024-10-05 06:30:00 +0000,2023956566.7761168898338821022930609
2024-10-06 06:30:00 +0000,926018388.25598661266728856984441902
2024-10-07 06:30:00 +0000,1756859765.43009800424140784813865728
2024-10-08 06:30:00 +0000,2444871443.5263413658426410599256125
2024-10-09 06:30:00 +0000,1878187494.6400177795628602138801782
2024-10-10 06:30:00 +0000,1968087047.77640655918607957770808994
2024-10-11 06:30:00 +0000,2648707374.5057660843129093547729234
2024-10-12 06:30:00 +0000,2504640815.99955368605236602996960633
2024-10-13 06:30:00 +0000,1464619489.0297916698294540636739521
2024-10-14 06:30:00 +0000,2283162793.44471062661519574408700662
2024-10-15 06:30:00 +0000,2732950026.7955279547837658485013552
2024-10-16 06:30:00 +0000,3493196467.83098865814001802919746131
2024-10-17 06:30:00 +0000,2482273668.63102722568991116620745801
2024-10-18 06:30:00 +0000,2507184779.09213048376386467845991314
2024-10-19 06:30:00 +0000,2098558040.16742844571076693858599569
2024-10-20 06:30:00 +0000,997418783.38522286639308727017847168
2024-10-21 06:30:00 +0000,2160965892.5981446976901523642581248
2024-10-22 06:30:00 +0000,2565988758.22233043745988671629014312
2024-10-23 06:30:00 +0000,2187393691.2456491335982107269316583
2024-10-24 06:30:00 +0000,3190071102.3252338755350847692222792
2024-10-25 06:30:00 +0000,2131888215.43874093201634624248277009
2024-10-26 06:30:00 +0000,3502037293.48937979348390094057214693
2024-10-27 06:30:00 +0000,1065230825.22271559214342357620611991
2024-10-28 06:30:00 +0000,1449495257.80398990504233641666054146
2024-10-29 06:30:00 +0000,3234951127.76157469599592379578509839
2024-10-30 06:30:00 +0000,2927264538.82832577558316692205248281
2024-10-31 06:30:00 +0000,2263080250.66031501405160048668625978
2024-11-01 06:30:00 +0000,3001683269.50176495560338153848904808
2024-11-02 06:30:00 +0000,2486353646.3417062327548426632985357
2024-11-03 06:30:00 +0000,1696151968.6861764236272532424236872
2024-11-04 06:30:00 +0000,2178164555.07185044881722550089134132
2024-11-05 06:30:00 +0000,2416428491.99852724966068447488754277
2024-11-06 06:30:00 +0000,4861129230.49999601732514186791702245
2024-11-07 06:30:00 +0000,4392619186.14231130171735792009467676
2024-11-08 06:30:00 +0000,3142727075.33082480792258236715626048
2024-11-09 06:30:00 +0000,3365839784.95385935952288160117587966
2024-11-10 06:30:00 +0000,4108793174.77307670590412872089158228
2024-11-11 06:30:00 +0000,5733267192.66830634152812750167059457
2024-11-12 06:30:00 +0000,7857758023.2955535789193519039188229
2024-11-13 06:30:00 +0000,6859418650.48875501139667478123029848
2024-11-14 06:30:00 +0000,6140713459.02165759925617237334294878
2024-11-15 06:30:00 +0000,4396687309.08353224213708460869093302
2024-11-16 06:30:00 +0000,3785356424.83274095066872425499834926
2024-11-17 06:30:00 +0000,3285264623.81434585672714735492598622
2024-11-18 06:30:00 +0000,2825529105.98885870638347925482025808
2024-11-19 06:30:00 +0000,4263217875.909600967743816675208064
2024-11-20 06:30:00 +0000,3738103177.07465257215094502436206592
2024-11-21 06:30:00 +0000,4796301144.82484597442823706981258736
2024-11-22 06:30:00 +0000,5164055106.0557260065035855423757571
