snapped_at,volume
2024-08-02 11:20:00 +0000,14843204992.3639981519594334054546396
2024-08-03 11:20:00 +0000,13104677939.78734427095161575106191832
2024-08-04 11:20:00 +0000,15245714268.61021451433024250958846043
2024-08-05 11:20:00 +0000,21310012073.24600965043111298136814053
2024-08-06 11:20:00 +0000,18917886954.15453639155805494461710381
2024-08-07 11:20:00 +0000,14167711811.1227572486802662200263496
2024-08-08 11:20:00 +0000,14348209275.67632946189004380353749952
2024-08-09 11:20:00 +0000,15167568598.6682906027867218393664172
2024-08-10 11:20:00 +0000,12926455691.09064761074854744232506958
2024-08-11 11:20:00 +0000,11747491316.2884427528793510593743174
2024-08-12 11:20:00 +0000,15338903971.41469729562801062402488207
2024-08-13 11:20:00 +0000,13780488521.92767884410109077826763984
2024-08-14 11:20:00 +0000,11934844562.44889091049024070065305692
2024-08-15 11:20:00 +0000,9509392252.5381260034574940435884203
2024-08-16 11:20:00 +0000,8141493851.1325231429333011372520212
2024-08-17 11:20:00 +0000,8072542781.42972201426405631046648855
2024-08-18 11:20:00 +0000,7113558465.49599378367739062625363554
2024-08-19 11:20:00 +0000,7671003042.57681748765752639094903182
2024-08-20 11:20:00 +0000,8163480516.0711865726862105104146652
2024-08-21 11:20:00 +0000,11188669536.83853165734345407995491172
2024-08-22 11:20:00 +0000,4717823208.82696913999359721276880714
2024-08-23 11:20:00 +0000,11342486966.00625435486486971359099256
2024-08-24 11:20:00 +0000,14007372242.64057438780020173050546452
2024-08-25 11:20:00 +0000,13464324059.83753566859770689503860412
2024-08-26 11:20:00 +0000,12412731437.5321967081380775916902858
2024-08-27 11:20:00 +0000,13975685563.43586494046868009306946784
2024-08-28 11:20:00 +0000,18643176097.18971773693659644316278408
2024-08-29 11:20:00 +0000,18018608198.88765447227566719933067479
2024-08-30 11:20:00 +0000,16629426092.6005425420946371032049032
2024-08-31 11:20:00 +0000,15496586696.7570618416873789922049211
2024-09-01 11:20:00 +0000,12502968341.72572341478932111634933625
2024-09-02 11:20:00 +0000,16292757852.41730766417750054456745232
2024-09-03 11:20:00 +0000,14464067415.50269910894482017628884324
2024-09-04 11:20:00 +0000,16323949031.60032910894212122202215953
2024-09-05 11:20:00 +0000,15389310181.55123690574682526038171024
2024-09-06 11:20:00 +0000,15295194665.7508491318511102552033017
2024-09-07 11:20:00 +0000,15537845580.53475821082486139259560904
2024-09-08 11:20:00 +0000,12875814845.55222838582834836097758747
2024-09-09 11:20:00 +0000,15117642267.84047286479739817178296239
2024-09-10 11:20:00 +0000,15983457389.99498094523329407841955956
2024-09-11 11:20:00 +0000,15398565227.85476712798844752786920428
2024-09-12 11:20:00 +0000,15759718181.479172157141739205505766
2024-09-13 11:20:00 +0000,14375254565.755641972156632153150712
2024-09-14 11:20:00 +0000,15648103822.63753495512936200322623316
2024-09-15 11:20:00 +0000,13868703734.71964866797874353273973657
2024-09-16 11:20:00 +0000,15963884760.5640544538548173661864617
2024-09-17 11:20:00 +0000,13970708492.94736534719049462462165561
2024-09-18 11:20:00 +0000,15824660595.54756310977630829526886852
2024-09-19 11:20:00 +0000,18115651109.3226275258835453614498864
2024-09-20 11:20:00 +0000,18576883937.65555014084732654045838875
2024-09-21 11:20:00 +0000,15540365949.57854671140176233567926048
2024-09-22 11:20:00 +0000,15101160655.06200960473517415688689149
2024-09-23 11:20:00 +0000,17345939286.01724105921463878142941598
2024-09-24 11:20:00 +0000,16443021967.38578725268587646226086058
2024-09-25 11:20:00 +0000,18097662348.1325829152854968597098208
2024-09-26 11:20:00 +0000,19452312633.2545497022718125098200407
2024-09-27 11:20:00 +0000,19241925474.55063586506648666068983592
2024-09-28 11:20:00 +0000,18240652838.1433063294287856929137476
2024-09-29 11:20:00 +0000,15958449437.29047498729321363718018772
2024-09-30 11:20:00 +0000,20753280615.39372905052928841996366313
2024-10-01 11:20:00 +0000,18292616068.35266671845929901958049469
2024-10-02 11:20:00 +0000,25733919104.744478508986212476595628
2024-10-03 11:20:00 +0000,20771781604.35709190696777164679456568
2024-10-04 11:20:00 +0000,18036147491.25604895206740940784230077
2024-10-05 11:20:00 +0000,16615836664.98683694418271478057859125
