snapped_at,volume
2024-08-02 06:30:00 +0000,1752917898.37711282879605135196253877
2024-08-03 06:30:00 +0000,1876618246.08042338625480289105458345
2024-08-04 06:30:00 +0000,1510248813.06459669255647842724770044
2024-08-05 06:30:00 +0000,1958578571.519522125741312489138071
2024-08-06 06:30:00 +0000,2575884048.90850907398720372900190424
2024-08-07 06:30:00 +0000,1836687371.53113335908281326717135844
2024-08-08 06:30:00 +0000,1670901776.88052292731925140158140556
2024-08-09 06:30:00 +0000,1525774633.6137143828816872384007358
2024-08-10 06:30:00 +0000,1417279412.39716354079229714219425135
2024-08-11 06:30:00 +0000,1165544870.65492645662666657360627036
2024-08-12 06:30:00 +0000,1470664335.97337870639817693817825693
2024-08-13 06:30:00 +0000,1600285761.88803721399470867216873783
2024-08-14 06:30:00 +0000,1675696248.02787705102601384882939116
2024-08-15 06:30:00 +0000,1678533934.2364725747797662992430506
2024-08-16 06:30:00 +0000,1817516189.95622952720518517896404189
2024-08-17 06:30:00 +0000,1488333626.89051080344063946023303784
2024-08-18 06:30:00 +0000,1209533004.5489019252994742318944408
2024-08-19 06:30:00 +0000,1435189600.0239638218720270035543536
2024-08-20 06:30:00 +0000,1605528302.7443530174060145449376043
2024-08-21 06:30:00 +0000,1661076900.3724009516681087771078444
2024-08-22 06:30:00 +0000,1858715080.59992516752801852859905788
2024-08-23 06:30:00 +0000,1715792507.07152486625098300765622035
2024-08-24 06:30:00 +0000,1912855204.6122988795992700367810068
2024-08-25 06:30:00 +0000,1656373902.20639148703838210673420126
2024-08-26 06:30:00 +0000,1721585914.49725085131912078604746856
2024-08-27 06:30:00 +0000,2108139768.13572717675714580368956277
2024-08-28 06:30:00 +0000,2527160319.99920382622456177402826236
2024-08-29 06:30:00 +0000,2828347446.7815653991946442365669133
2024-08-30 06:30:00 +0000,2678021843.85683760904206204587402232
2024-08-31 06:30:00 +0000,2332039011.39253553519115128768102247
2024-09-01 06:30:00 +0000,1634936972.27808549080375066008183689
2024-09-02 06:30:00 +0000,2462908724.6583789027795754333094269
2024-09-03 06:30:00 +0000,2143470044.95132924663495882905896829
2024-09-04 06:30:00 +0000,1621166145.01526966075446659235457565
2024-09-05 06:30:00 +0000,979650137.49874443255279693169779953
2024-09-06 06:30:00 +0000,973918329.2067181409789080390761375
2024-09-07 06:30:00 +0000,1217856596.12631105692910765653988834
2024-09-08 06:30:00 +0000,617900032.60281410111126071804894056
2024-09-09 06:30:00 +0000,731863507.54758098733978208583081966
2024-09-10 06:30:00 +0000,1028822977.06196325960677218158183552
2024-09-11 06:30:00 +0000,1109511187.45763620986751099655632526
2024-09-12 06:30:00 +0000,1177559321.19046612322811770667168672
2024-09-13 06:30:00 +0000,1020199526.97216855432168151506114705
2024-09-14 06:30:00 +0000,1384437465.4713773132273200162198867
2024-09-15 06:30:00 +0000,801116536.22526023279115101074052032
2024-09-16 06:30:00 +0000,1128226574.58727255431139768332549192
2024-09-17 06:30:00 +0000,1399757489.81142523113121004744690152
2024-09-18 06:30:00 +0000,1658021511.50905977757347563839410324
2024-09-19 06:30:00 +0000,1969792647.0098802158335085292158388
2024-09-20 06:30:00 +0000,1915863201.28379514761209961776307218
2024-09-21 06:30:00 +0000,1616499483.48387611767508438937786
2024-09-22 06:30:00 +0000,954743078.2162954107411086449492761
2024-09-23 06:30:00 +0000,1359759234.18373121225111834466327348
