Date,CEX,DEX
2024-08-02,52987066692.47,4101768491.38
2024-08-03,56936534646.53,4728678432.52
2024-08-04,45181197099.9,3423513530.86
2024-08-05,91925093629.55,11490520984.28
2024-08-06,104471179986.64,7676881447.23
2024-08-07,63456192862.8,4607374287.24
2024-08-08,58903666162.64,4329328039.11
2024-08-09,58275862824.66,4352107980.14
2024-08-10,43482867500.68,2881026689.69
2024-08-11,29210721056.51,1869185662.93
2024-08-12,42389291130.02,3254930850.74
2024-08-13,51474458000.19,3905577387.86
2024-08-14,41993764695.31,3195270251.43
2024-08-15,42413297847.16,3475137532.16
2024-08-16,42807748172.16,3628313158.37
2024-08-17,35122500523.23,2657819960.41
2024-08-18,24267169662.87,1578295213.9
2024-08-19,29355709009.15,2072841187.8
2024-08-20,37400135943.02,2790960421.55
2024-08-21,38948907554.85,2591814209.72
2024-08-22,36478755166.08,3252696059.31
2024-08-23,38162291239.16,2746598706.9
2024-08-24,52942295558.81,3911533238.86
2024-08-25,41597119991.03,2824974323.72
2024-08-26,36150174794.69,2490378175.39
2024-08-27,45705124460.22,3136274569.39
2024-08-28,59606672982.9,4770294874.29
2024-08-29,56635269332.59,3364976511.23
2024-08-30,48215910020.95,2841951606.12
2024-08-31,44650113873.2,2541782824.77
2024-09-01,27383208499.76,1361871004.08
2024-09-02,40987575885.28,2721718687.11
2024-09-03,39895051363.85,2149235017.22
2024-09-04,46895416796.2,3262207346.91
2024-09-05,45132871636.6,2782054428.95
2024-09-06,43272810199.64,2807562148.27
2024-09-07,61833681932.73,4284007434.1
2024-09-08,30163720482.58,1497484328.34
2024-09-09,36337313627.08,2195018052.43
2024-09-10,47161016368.23,2963374478.63
2024-09-11,44540855898.45,2635843778.69
2024-09-12,49436667311.39,3084761956.47
2024-09-13,39580963956.95,2230083745.57
2024-09-14,44679744508.65,2589441218.06
2024-09-15,28599347596.18,1166462987.06
2024-09-16,40178233414.29,2661259461.85
2024-09-17,39760271565.38,2425470411.07
2024-09-18,48069596900.11,3038028114.97
2024-09-19,61522882386.89,4291363587.72
2024-09-20,81298951111.72,3779018786.1
2024-09-21,63257145224.98,2560287048.1
2024-09-22,41665810587.11,1830797610.37
2024-09-23,66331237131.56,3324271539.45
2024-09-24,64105227948.77,3183122944.43
2024-09-25,72342199562.84,3584287729.36
2024-09-26,64129910663.19,3177300835.06
2024-09-27,85770029651.83,4220980466.0
2024-09-28,68420321760.15,3309620026.37
2024-09-29,43443491488.45,1834529464.1
2024-09-30,62497933243.0,3452113524.78
2024-10-01,72942497292.86,3621746452.9
2024-10-02,110774888640.37,6739607067.32
2024-10-03,94005669635.46,4841646861.21
2024-10-04,76994436934.19,3695976376.29
2024-10-05,60999313420.25,2924815046.64
2024-10-06,33784085863.5,1373457285.52
2024-10-07,53617053014.92,2825558928.22
2024-10-08,75986809904.81,3636110294.41
2024-10-09,63631671971.55,3180380134.61
2024-10-10,62666153479.04,3362369091.82
2024-10-11,64740072615.12,3586705090.03
2024-10-12,58164765000.35,2618214641.25
2024-10-13,40378797625.26,1898691233.19
2024-10-14,60865405913.27,3243415954.24
2024-10-15,80851422856.14,3678593560.84
2024-10-16,95830657486.72,5459994939.33
2024-10-17,71993530702.05,3616477167.98
2024-10-18,65511889207.92,3330187994.43
2024-10-19,58075410754.08,2561025352.01
2024-10-20,35560288180.22,1702144426.19
2024-10-21,60986961174.72,3778536700.03
2024-10-22,72020308272.08,4193806080.38
2024-10-23,62596068844.8,3421453225.65
2024-10-24,72289122140.73,4660687276.65
2024-10-25,63408792207.02,4034901313.72
2024-10-26,96059934687.9,5518177959.51
2024-10-27,43025326317.34,2086706054.11
2024-10-28,51175086412.66,2829205655.97
2024-10-29,94588473529.93,4686501273.2
2024-10-30,93672207214.27,4613711271.21
2024-10-31,84090129238.45,3779607777.8
2024-11-01,86875902215.22,4583170945.48
2024-11-02,86976570483.56,3600032350.23
2024-11-03,69755802039.68,2717579335.61
2024-11-04,80821348359.35,3439316231.61
2024-11-05,74254491915.95,3777489291.39
2024-11-06,137752345858.13,7978919233.18
2024-11-07,160499388783.27,6543400327.95
2024-11-08,90100627713.43,5629890803.36
2024-11-09,92782167722.96,5408519154.82
2024-11-10,110483777773.8,5275751886.19
2024-11-11,189515481733.02,8574138569.15
2024-11-12,253291592422.61,13850281110.2
2024-11-13,242889667883.85,10778454084.84
2024-11-14,253099447642.9,12243386112.0
2024-11-15,204839284672.3,9131344797.42
2024-11-16,178375621499.6,6678275778.47
2024-11-17,205268523256.19,6873062274.55
2024-11-18,179656697030.53,6275714914.48
2024-11-19,204092653145.35,8384018733.13
2024-11-20,149382594168.59,7319199777.63
2024-11-21,196132474924.68,9311950698.44
2024-11-22,226012535505.79,10239408073.64
2024-11-23,202672276325.04,8031796157.15
2024-11-24,180017081150.1,6759503923.73
2024-11-25,178772824192.39,7604754856.52
2024-11-26,205324157861.1,11635422292.87
2024-11-27,165189331113.04,8619780074.51
2024-11-28,148426654272.71,8111678562.17
2024-11-29,109530667627.3,5418364772.42
2024-11-30,131802426488.16,7051948510.76
2024-12-01,112313285637.22,5772043853.67
2024-12-02,147257831373.89,9216956155.68
2024-12-03,179710591841.27,11136157101.68
2024-12-04,189043513746.68,12821247874.49
2024-12-05,246283244680.43,17221442913.69
2024-12-06,217196878651.18,15753704569.39
2024-12-07,152962037386.39,9624024067.85
2024-12-08,98017410736.28,6700538603.24
2024-12-09,108492714971.61,8500028133.36
2024-12-10,239988992079.1,16806023059.18
2024-12-11,196298883220.09,13708074356.19
2024-12-12,135776616007.66,9793176093.0
2024-12-13,131965931132.5,10304826815.82
2024-12-14,103005355364.85,8022491870.06
2024-12-15,70399656307.72,6600567864.47
2024-12-16,100409649756.25,9650318591.22
2024-12-17,134513023864.09,11756540323.7
2024-12-18,139116198935.06,12711184426.49
2024-12-19,187703623011.58,17552603097.16
2024-12-20,193622528297.0,20870853364.1
2024-12-21,195918695391.74,14649026528.32
2024-12-22,101550028124.84,9521711227.03
2024-12-23,98480037557.3,10449105319.54
2024-12-24,107176627656.83,9638546444.79
2024-12-25,85380233032.93,8498640594.03
2024-12-26,73831883302.29,7217747094.1
2024-12-27,80922716066.17,7355781042.29
2024-12-28,75538222369.77,5982075932.77
2024-12-29,45059424505.3,4673081498.59
2024-12-30,61693183099.58,5987347140.04
2024-12-31,88580024938.33,9552216049.16
2025-01-01,70397024328.48,6745735804.4
2025-01-02,68662416237.76,6198509642.76
