"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0x75fa59ebda6ee48f0b5e844dc328f263a680ec5ad5da2430ee2ef488d74f2daa","7199469","1751328060","2025-07-01 00:01:00","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0x6a5efa07ba90c4e218185ad54e099c070b11e386","22.092057692767434054","-"
"0x75fa59ebda6ee48f0b5e844dc328f263a680ec5ad5da2430ee2ef488d74f2daa","7199469","1751328060","2025-07-01 00:01:00","0x7f5d1f93232702a951759a47a27de08d35e9bbe8","0x6a5efa07ba90c4e218185ad54e099c070b11e386","0.58973754848499819","-"
"0x75fa59ebda6ee48f0b5e844dc328f263a680ec5ad5da2430ee2ef488d74f2daa","7199469","1751328060","2025-07-01 00:01:00","0x6a5efa07ba90c4e218185ad54e099c070b11e386","0x6ec7612828b776cc746fe0ee5381cc93878844f7","22.681795241252432244","-"
"0x75fa59ebda6ee48f0b5e844dc328f263a680ec5ad5da2430ee2ef488d74f2daa","7199469","1751328060","2025-07-01 00:01:00","0x6ec7612828b776cc746fe0ee5381cc93878844f7","0xa92746512789aed57bc1b30083dc5d17e527077e","22.681795241252432244","-"
"0xc72adb0a35bdc8b1156a22d1d86a3d63d747fdee79fb80a936675443affe22de","7199518","1751328109","2025-07-01 00:01:49","0xc8b6e0acf159e058e22c564c0c513ec21f8a1bf5","0x5b136c570057b8a24fbbfe4b9988e9f84a1df4c9","2.1","-"
"0x8e3567c23bee76357752938ed2e5758c796913f4d9aeb60436ef52992b7407d2","7199541","1751328131","2025-07-01 00:02:11","0xc8b6e0acf159e058e22c564c0c513ec21f8a1bf5","0x91e149f1b83b7f36f8bb9dd8016cbd7c2271d59c","0.453940775475200135","Withdraw"
"0x427b706c89a1f47db1cc34b5a7093488b270a038531d4b1cd27377148824914a","7199571","1751328161","2025-07-01 00:02:41","0x6459a275362847c21e5a7006e868a69ff75810ff","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.045603942623755487","Multicall"
"0x40398cd980b5dafbc3d0fd1bd0aa08fc2622497c4c013894cf4bac79f4c199ce","7199572","1751328162","2025-07-01 00:02:42","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.045883707156040433","-"
"0xbee209e8f31cc1afe5489755adaf437020d44873ab9fe93d981451ba5eeed52c","7199590","1751328180","2025-07-01 00:03:00","0xaff524889e0515962ae800e1938d4dc952bc4d39","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.194889447686896926","Multicall"
"0x3d68ee9a427d3ceafa0aa45a398785b6dc68ad4998a880b9f1ac10b9c075f1ae","7199590","1751328180","2025-07-01 00:03:00","0x6fe11de7b5c9c48681bf9c9f4a5d54cc90795113","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.00000000147191532","Multicall"
"0x1f5f15879deab84c5e2ea572bf3f42c9c8c6fe5f89b608f5af665a9ec23fd483","7199591","1751328180","2025-07-01 00:03:00","0xa92746512789aed57bc1b30083dc5d17e527077e","0x68e37de8d93d3496ae143f2e900490f6280c57cd","22.681795241252432244","Supply Collateral"
"0xe3db9fd77a295c7ca81a078e348f3fb03d5a61647c44562cd3101b387d6451a1","7199592","1751328181","2025-07-01 00:03:01","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.194467914597902473","-"
"0xe5f067a6f82b24bf45d5edc071268f001e5c4ba0676a442a00f241ae6463e70f","7199605","1751328194","2025-07-01 00:03:14","0x4baa03e28169175004fe998e1a7a0c7b7188cf3a","0x6a5efa07ba90c4e218185ad54e099c070b11e386","0.099257370637710453","-"
"0xe5f067a6f82b24bf45d5edc071268f001e5c4ba0676a442a00f241ae6463e70f","7199605","1751328194","2025-07-01 00:03:14","0x6a5efa07ba90c4e218185ad54e099c070b11e386","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.099257370637710453","-"
"0x9d25e13ef8130f38745699bf8028d678b79ff9dc0f93b2059d48e14a34f30487","7199805","1751328391","2025-07-01 00:06:31","0xb9814938bc1ce88d3da5b5fa96a5e57f598027da","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.000000000229378554","Multicall"
"0xc041f37806f5784baad7e97315883c629fca7f9b9e02f0f54ef38f2059675659","7199917","1751328501","2025-07-01 00:08:21","0x91e149f1b83b7f36f8bb9dd8016cbd7c2271d59c","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.453940775475200135","Multicall"
"0xe78fd40e2e9e385197178ca6d7859cba76a9db2c3b24fa0648635ac272d1b1cb","7200011","1751328594","2025-07-01 00:09:54","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0xa21b23e5f07e5e28cb42d09502227eb75b0b64b5","0.546030188353029351","Exact Input Single"
"0x82e5872a5f60e4a7d39b3acfd7da60f82d090676cd6fd28934ea2df1e7e1102e","7200032","1751328614","2025-07-01 00:10:14","0xa21b23e5f07e5e28cb42d09502227eb75b0b64b5","0x0ab8aae3335ed4b373a33d9023b6a6585b149d33","0.54603","-"
"0x85fd420d8c80d709bd1790dbabad6a32df868c8aa53dcbebf6ebf4058a5fc8e8","7200072","1751328654","2025-07-01 00:10:54","0xb9814938bc1ce88d3da5b5fa96a5e57f598027da","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.011813276182551372","Multicall"
"0xd26a946aaa64b08576073151c8e45822f38f4320697becefdabd06dc3e75b7dc","7200093","1751328674","2025-07-01 00:11:14","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0xcd19659ff923004e05758885cb00bf81d3306efb","3.971118938529580367","Exact Input Single"
"0x654ccb10672383853367031e8498999014c118b5730fac3f4e4bc3dc9d096531","7200101","1751328682","2025-07-01 00:11:22","0x69420332e463ebaa998ce2380cb2ab43e74b3111","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.218813883695692659","Multicall"
"0x5d6505049f4ad1c93f2d7ed9969275eb45a5b1610a6d878b871d203114bbd0e3","7200102","1751328683","2025-07-01 00:11:23","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.229248455106403486","-"
"0x8e00764e248f891ceca222ea60bb3e9629d4d321e164e1088ef543f26b3e7820","7200102","1751328683","2025-07-01 00:11:23","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x99e854bbab42da92acce010c44fc69e4fdda4a66","0.00071401951661811","-"
"0x8e00764e248f891ceca222ea60bb3e9629d4d321e164e1088ef543f26b3e7820","7200102","1751328683","2025-07-01 00:11:23","0x99e854bbab42da92acce010c44fc69e4fdda4a66","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.00071401951661811","-"
"0x2b179fa057a5f23f869272b49a9b7b82a09bb958d686c337176a81dd6328fd4a","7200122","1751328703","2025-07-01 00:11:43","0x97ccb158e59745c2317bbff8ecdfb4b77b58d9a4","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.258863467703880551","Multicall"
"0x88e1b0dbeef5e91eabe53513681a706551ae802d906f8b0164d6e905a90ce305","7200123","1751328704","2025-07-01 00:11:44","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.25781048860449386","-"
"0x1aca7a9b4df167bd30a667913f40a5459706b0a4d23107bcfd65b62e588f7040","7200169","1751328749","2025-07-01 00:12:29","0x60ecadc9fa4d4938f554954ec6da578ebe191481","0xc8b6e0acf159e058e22c564c0c513ec21f8a1bf5","123.118191246205627005","-"
"0xa14203269c872fabf14caac7e48c13256576d8d248ecb46ddea4a2db4a1bcee6","7200292","1751328870","2025-07-01 00:14:30","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x69420332e463ebaa998ce2380cb2ab43e74b3111","0.062068236060025265","Multicall"
"0x144f3240edf1f03cd9b8e196c6143bc2552c01b9283150c8cded6374be72511f","7200311","1751328889","2025-07-01 00:14:49","0x5b136c570057b8a24fbbfe4b9988e9f84a1df4c9","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","2.1","Multicall"
"0x10a9f4a4a464f9ce53e6942c07784a32918a7db40ac05382563ae43b6cd40d8d","7200317","1751328895","2025-07-01 00:14:55","0x233159e9e686e8c1a51e1343825962240449f999","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.094696719572613898","Multicall"
"0xf19011ee3b0868afdb20207a9a4c0aeed719226c9fb6a633ccaab9778e4f52fc","7200318","1751328896","2025-07-01 00:14:56","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0x7066ddf85a4a624418af9da57e3f7baeefa8e792","0.03232105718742972","-"
"0xee952deeb1894f5f1396b34d524315f7fa28474b8f2e2a1c942aa79faf205dce","7200415","1751328991","2025-07-01 00:16:31","0xaff524889e0515962ae800e1938d4dc952bc4d39","0x2741e799cd5ccd85071c3808c7705a18287dcfb0","0.073717104953361366","Multicall"
