"[1748563200, 0]"
"[1748649600, 0]"
"[1748736000, 0]"
"[1748822400, 0]"
"[1748908800, 0]"
"[1748995200, 0]"
"[1749081600, 1]"
"[1749168000, 1]"
"[1749254400, 0]"
"[1749340800, 0]"
"[1749427200, 8]"
"[1749513600, 19]"
"[1749600000, 48]"
"[1749686400, 68]"
"[1749772800, 135]"
"[1749859200, 64]"
"[1749945600, 52]"
"[1750032000, 75]"
"[1750118400, 97]"
"[1750204800, 112]"
"[1750291200, 83]"
"[1750377600, 82]"
"[1750464000, 84]"
"[1750550400, 132]"
"[1750636800, 192]"
"[1750723200, 138]"
"[1750809600, 104]"
"[1750896000, 86]"
"[1750982400, 61]"
"[1751068800, 33]"
"[1751155200, 52]"
"[1751241600, 100]"
"[1751328000, 74]"
"[1751414400, 76]"
"[1751500800, 126]"
"[1751587200, 124]"
"[1751673600, 99]"
"[1751760000, 114]"
"[1751846400, 181]"
"[1751932800, 254]"
"[1752019200, 316]"
"[1752105600, 297]"
"[1752192000, 314]"
"[1752278400, 255]"
"[1752364800, 263]"
"[1752451200, 430]"
"[1752537600, 400]"
"[1752624000, 329]"
"[1752710400, 396]"
"[1752796800, 330]"
"[1752883200, 262]"
"[1752969600, 385]"
"[1753056000, 582]"
"[1753142400, 697]"
"[1753228800, 540]"
"[1753315200, 176]"
