date,BUDDY,BULBUL,FEUSD,KHYPE,LHYPE,LIQD,PURR,RUB,STHYPE,UBTC,UETH,UFART,UPUMP,USDE,USDHL,USDXL,USD₮0,USOL,WHLP,WHYPE
2025-05-30,,,,,117230.35654,,,,,53483.85364,,,,,,,66200.61932,,,233133.17653
2025-05-31,,,,,121811.68784,,,,,52659.52443,,,,,,,66292.23519,,,242723.15733
2025-06-01,,,,,122439.77358,,,,,52860.17354,,,,,,,66358.52742,,,244730.36261
2025-06-02,,,,,126836.37378,,,,,53222.04951,,,,,,,66292.23519,,,253130.88842
2025-06-03,,,,,135592.62795,,,,,53427.75276,,,,,,,65740.89663,,,271668.36187
2025-06-04,,,,,135260.11197,,,,,53584.93631,,,,,,,65650.19915,,,270625.48908
2025-06-05,,,,,132636.93034,,,,,53166.95946,,,,,,,65740.89663,,,265709.08878
2025-06-06,,,,,126836.37378,,,,,51366.67703,,,,,,,65675.22141,,,253865.03352
2025-06-07,,,,,124102.35349,,,,,52785.37236,,,,,,,65675.22141,,,248427.19683
2025-06-08,,,,,129939.85627,,,,,53542.48159,,,,,,,65670.16441,,,260047.77935
2025-06-09,,,,,130383.21091,,,,,53458.58297,,,,,,,65626.03067,,,260867.1794
2025-06-10,,,,,144422.77457,,,,,55679.36932,,,,,,,65675.22141,,,288950.25382
2025-06-11,,,,,157058.38186,,,,,55372.07799,,,,,,,65675.22141,,,313457.76439
2025-06-12,,,,,167910.89732,,,,,79330.78418,,,,,,,71068.62988,,,346345.15126
2025-06-13,,,,,114907.27474,,,,,61969.89651,,,,,,,44792.15655,,,320890.68577
2025-06-14,,,,,159868.30718,,,,,144999.01032,,,,,,,145237.4256,,,378938.25764
2025-06-15,,,,,155763.46867,,,,,110028.33719,,,,,,,118491.21476,,,441118.10113
2025-06-16,,,,,137582.19803,,,,,111714.96089,,,,,,,144417.83998,,,424116.61705
2025-06-17,,,,,146811.47758,,,,,99507.69897,,,,,,,135900.37797,,,436819.3514
2025-06-18,,,,,131495.47148,,,,,85485.55206,,,,,,,117932.42675,,,473675.62054
2025-06-19,,,,,139042.28458,,,,,94157.80536,,,,,,,106989.75665,,,452411.7559
2025-06-20,,,,,125528.9998,,,,,64238.39949,,,,,,,77141.18578,,,520245.54965
2025-06-21,,,,,99418.25305,,,,,55668.71439,,,,,,,39899.04826,,,516741.52907
2025-06-22,,,,,103261.03999,,,,,73874.48998,,,,,,,54771.90162,,,471530.88778
2025-06-23,,,,,120823.1226,,,,,98290.49394,,,,,,,115039.12837,,,435924.7828
2025-06-24,,,,,118078.71465,,,178.68507,,86791.23745,,,,,30832.04846,,87216.40562,,,452226.62288
2025-06-25,,,,,98055.74292,,,915.00832,,85584.01399,,,,,28204.03226,,99557.19517,,,466731.76905
2025-06-26,,,,,90613.31542,,,4298.38131,,75593.5199,,,,,46451.89851,,89534.52852,,,509023.35094
2025-06-27,,,,,93816.46695,,,4597.2979,,67056.61844,,,,,59357.36176,,119821.26626,,,529915.63715
2025-06-28,,,,,90404.95876,,,4598.2182,,76074.24324,,,,,158529.13253,,153695.57006,,,657990.86582
2025-06-29,,,,,74999.5517,,,3570.8216,,74012.0229,,,,,182763.00189,,199868.14911,,,579844.66204
2025-06-30,,,,,205589.67214,,,6459.61387,,88976.92783,,,,,223269.76862,,255096.92142,,,736063.33457
2025-07-01,,,,,216537.41876,,,3314.48377,,84547.76585,,,,,243631.06686,,255494.1699,,,802234.86167
2025-07-02,,,,,176926.7263,,,3222.77171,,71649.42072,,,,,185339.32772,,208724.74668,,,761232.2759
2025-07-03,,,,,206943.65001,,,3765.38243,,101669.70123,,,,,228941.62115,,354659.70203,,,740326.6518
2025-07-04,,,,,314508.00204,,,13176.09274,,116071.6287,,,,,351988.42972,,450038.86015,,,1081028.67028
2025-07-05,,,,,381956.66618,,,12033.57514,,119511.60404,,,,,336464.65384,,414723.69699,,,1301042.60815
2025-07-06,,,,,396682.34033,,,13700.10874,,122753.79805,,,,,425841.97433,,527264.11153,,,1432885.83744
2025-07-07,,,,,386836.15538,,,14545.7472,,132268.99088,,,,,530144.67074,,586706.99873,,,1448390.77212
2025-07-08,,,,,332668.4187,,,13452.89134,,122343.09763,,,,,386388.67692,,521434.07816,,,1790312.61103
2025-07-09,,,,,409990.17243,,,12818.38615,,134977.0715,,,,,445426.60244,,618160.74268,,,1695705.75798
2025-07-10,,,,,329300.27028,,,42664.3488,,177434.92573,,,,,565282.92771,,788277.13217,,,1337583.70472
2025-07-11,,,,,397607.70881,,,51335.95436,,223150.83952,,,,,721413.64901,,832544.99997,,,1132839.02113
2025-07-12,,,,,213108.80639,,,50632.58546,,218017.47989,,,,,615436.74166,,725446.50326,,,876368.72788
