date,totalLiquidityUSD
2025-05-30,470048.00603
2025-05-31,483486.60479
2025-06-01,486388.83716
2025-06-02,499481.5469
2025-06-03,526429.63921
2025-06-04,525120.73651
2025-06-05,517253.87521
2025-06-06,497743.30574
2025-06-07,490990.14408
2025-06-08,509200.28162
2025-06-09,510335.00395
2025-06-10,554727.61912
2025-06-11,591563.44565
2025-06-12,664655.46263
2025-06-13,542560.01356
2025-06-14,829043.00075
2025-06-15,825401.12175
2025-06-16,817831.61595
2025-06-17,819038.90592
2025-06-18,808589.07083
2025-06-19,792601.60249
2025-06-20,787154.13472
2025-06-21,711727.54477
2025-06-22,703438.31937
2025-06-23,770077.52772
2025-06-24,775323.71413
2025-06-25,779047.76172
2025-06-26,815514.9946
2025-06-27,874564.64846
2025-06-28,1141292.9886
2025-06-29,1115058.20924
2025-06-30,1515456.23845
2025-07-01,1605759.76681
2025-07-02,1407095.26903
2025-07-03,1636306.70864
2025-07-04,2326811.68364
2025-07-05,2565732.80434
2025-07-06,2919128.17041
2025-07-07,3098893.33505
2025-07-08,3166599.77377
2025-07-09,3317078.73318
2025-07-10,3240543.30941
2025-07-11,3358892.17279
2025-07-12,2699010.84453
2025-07-13,2701596.5215
2025-07-14,3269256.3196
2025-07-15,3170659.27895
2025-07-16,3677685.11115
2025-07-17,3440498.71716
2025-07-18,3306663.49072
2025-07-19,3036431.78699
2025-07-20,3789752.96225
2025-07-21,4584097.87058
2025-07-22,3618454.12244
2025-07-23,3588773.63762
2025-07-24,3339400.67374
