date,LHYPE,UBTC,WHYPE,USD₮0
1748563200,117230.35654,53483.85364,233133.17653,66200.61932
1748649600,121811.68784,52659.52443,242723.15733,66292.23519
1748736000,122439.77358,52860.17354,244730.36261,66358.52742
1748822400,126836.37378,53222.04951,253130.88842,66292.23519
1748908800,135592.62795,53427.75276,271668.36187,65740.89663
1748995200,135260.11197,53584.93631,270625.48908,65650.19915
1749081600,132636.93034,53166.95946,265709.08878,65740.89663
1749168000,126836.37378,51366.67703,253865.03352,65675.22141
1749254400,124102.35349,52785.37236,248427.19683,65675.22141
1749340800,129939.85627,53542.48159,260047.77935,65670.16441
1749427200,130383.21091,53458.58297,260867.1794,65626.03067
1749513600,144422.77457,55679.36932,288950.25382,65675.22141
1749600000,157058.38186,55372.07799,313457.76439,65675.22141
1749686400,167910.89732,79330.78418,346345.15126,71068.62988
1749772800,114907.27474,61969.89651,320890.68577,44792.15655
1749859200,159868.30718,144999.01032,378938.25764,145237.4256
1749945600,155763.46867,110028.33719,441118.10113,118491.21476
1750032000,137582.19803,111714.96089,424116.61705,144417.83998
1750118400,146811.47758,99507.69897,436819.3514,135900.37797
1750204800,131495.47148,85485.55206,473675.62054,117932.42675
1750291200,139042.28458,94157.80536,452411.7559,106989.75665
1750377600,125528.9998,64238.39949,520245.54965,77141.18578
1750464000,99418.25305,55668.71439,516741.52907,39899.04826
1750550400,103261.03999,73874.48998,471530.88778,54771.90162
1750636800,120823.1226,98290.49394,435924.7828,115039.12837
