date,totalLiquidityUSD
1748563200,470048.00603
1748649600,483486.60479
1748736000,486388.83716
1748822400,499481.5469
1748908800,526429.63921
1748995200,525120.73651
1749081600,517253.87521
1749168000,497743.30574
1749254400,490990.14408
1749340800,509200.28162
1749427200,510335.00395
1749513600,554727.61912
1749600000,591563.44565
1749686400,664655.46263
1749772800,542560.01356
1749859200,829043.00075
1749945600,825401.12175
1750032000,817831.61595
1750118400,819038.90592
1750204800,808589.07083
1750291200,792601.60249
1750377600,787154.13472
1750464000,711727.54477
1750550400,703438.31937
1750636800,770077.52772
1750723200,775323.71413
1750809600,779047.76172
1750896000,815514.9946
1750982400,874564.64846
1751068800,1141292.9886
1751155200,1115058.20924
1751241600,1515456.23845
1751328000,1605759.76681
1751414400,1407095.26903
1751500800,1636306.70864
1751587200,2326811.68364
1751673600,2565732.80434
1751760000,2919128.17041
1751846400,3098893.33505
1751932800,3166599.77377
1752019200,3317078.73318
1752105600,3240543.30941
1752192000,3358892.17279
1752278400,2699010.84453
1752364800,2701596.5215
1752451200,3269256.3196
1752537600,3170659.27895
1752624000,3677685.11115
1752710400,3440498.71716
1752796800,3306663.49072
1752883200,3036431.78699
1752969600,3789752.96225
1753056000,4584097.87058
1753142400,3618454.12244
1753228800,3588773.63762
