date,value
2025-05-30,1
2025-05-31,0
2025-06-01,0
2025-06-02,0
2025-06-03,6
2025-06-04,9
2025-06-05,16
2025-06-06,10
2025-06-07,5
2025-06-08,8
2025-06-09,151
2025-06-10,374
2025-06-11,952
2025-06-12,1361
2025-06-13,2698
2025-06-14,1273
2025-06-15,1039
2025-06-16,1508
2025-06-17,1935
2025-06-18,2245
2025-06-19,1660
2025-06-20,1634
2025-06-21,1682
2025-06-22,2644
2025-06-23,3832
2025-06-24,2756
2025-06-25,2074
2025-06-26,1719
2025-06-27,1229
2025-06-28,667
2025-06-29,1036
2025-06-30,1994
2025-07-01,1477
2025-07-02,1521
2025-07-03,2511
2025-07-04,2482
2025-07-05,1987
2025-07-06,2279
2025-07-07,3612
2025-07-08,5082
2025-07-09,6318
2025-07-10,5949
2025-07-11,6287
2025-07-12,5104
2025-07-13,5258
2025-07-14,8598
2025-07-15,8000
2025-07-16,6586
2025-07-17,7911
2025-07-18,6608
2025-07-19,5237
2025-07-20,7702
2025-07-21,11650
2025-07-22,13948
2025-07-23,10807
2025-07-24,3529
