Rank,Alias,Wallet_address,Total AUM,$HYPE,$USDC,Memecoins,$HYPE Staked,$HYPE Staked/Total AUM (%),Memes/Total AUM (%),Staking Rewards
1,Hyperlabs,0x43e9abea1910387c4292bca4b94de81462f8a251,10041144948.37,6252600.0,0.0031,25694.34,10032047629.26,99.91,0.0,2819024.78
2,Hyper Foundation,0xd57ecca444a9acb7208d286be439de12dd09de5d,2508897280.59,41.684,0.0031,6465.49,2508185354.22,99.97,0.0,705419.19
3,Hyper Assistance Fund,0xfefefefefefefefefefefefefefefefefefefefe,1103233894.01,1103224753.157,7223.5404,917.26,0.0,0.0,0.0,0.0
4,HyperEVM,0x2222222222222222222222222222222222222222,862330027.56,862329607.059,0.0,0.0,0.0,0.0,0.0,0.0
5,,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,473747308.3,0.0,41.1698,177.22,473686096.36,99.99,0.0,60993.54
6,,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,220686883.14,20809581.2757,0.0076,21.74,52710875.33,23.88,0.0,2740.06
7,,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,139846740.41,0.0013,747.0479,274.54,139839967.55,100.0,0.0,5751.27
8,,0x716bd8d3337972db99995dda5c4b34d954a61d95,137308014.28,137308005.0864,8.0038,1.19,0.0,0.0,0.0,0.0
9,,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,135934309.25,22974976.2397,4286675.9516,764.29,10525291.43,7.74,0.0,1501.95
10,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,126570571.59,0.0,0.0156,323.75,126534681.8,99.97,0.0,35566.02
11,,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,125484604.59,41.6008,0.2605,208.76,125443605.08,99.97,0.0,40748.89
12,,0x0d0707963952f2fba59dd06f2b425ace40b492fe,109353550.93,109285496.2332,68047.0,7.7,0.0,0.0,0.0,0.0
13,,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,100542547.48,0.0,137345.3797,151.23,100376988.85,99.84,0.0,28061.93
14,,0xfdc5a81605d8b926947d2e865f74025dd53ac314,99365543.46,0.0035,37.817,0.0,99363163.43,100.0,0.0,2342.21
15,,0xa350d83fdcc7ac81dfaedea1a87108401ccb015f,97119949.43,97119949.4321,0.0,0.0,0.0,0.0,0.0,0.0
16,,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,86081128.61,3638152.801,13978.4091,6.84,19226066.02,22.33,0.0,838.04
17,,0xc4ff1b50648213bdb064bea8c9e25bfa0606f93a,77944943.83,77944943.8276,0.0,0.0,0.0,0.0,0.0,0.0
18,,0x7f0269d7438a27811e6fa0fc33b51a79ea79be9e,77860793.95,77860793.9549,0.0,0.0,0.0,0.0,0.0,0.0
19,,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,77556246.85,4693445.5836,0.0033,25.19,70626487.13,91.06,0.0,22422.73
