address,amount,stakedAmount,difference,rank,rankDiff
0x8eac91ad88b67ad7d5262ee2ebaa10598c2e6daf,0,0,-81694.73657461,142956,-142522
0xc3bebe4582e603dc95981e5c3eadeb078548145c,0,0,-46448.47989564,142956,-142312
0xad58ae5dbc928021fb6e9daba2602b3c4a2eb7ab,0,0,-46006.98500753,142956,-142307
0x15271757b398cd1d3d7cca05c4f7b0c159afa7c2,0,0,-34002.09219648,142956,-142148
0xf4b03f6bf1c7d529194410dc3d0775a1d7bff09b,0,0,-31920.00000038,142956,-142129
0xc3b1951ceffdcaf25640cb37ce1d6cf125579a03,0,0,-27445.15597379,142956,-142028
0xd47587702a91731dc1089b5db0932cf820151a91,0,0,-27432.64218649,142956,-142027
0x69142428656ba9e5c64b132b5c9915dbdae7a23b,0,0,-22664.20468667,142956,-141894
0x7c4b71c1d8a11ed426f301c372a72e06f528e00b,0,0,-22173.80563568,142956,-141877
0xdbe37a391553dabfcb45bcf64813a7516d49b0a1,0,0,-20244.09527454,142956,-141802
0x7a77ebbc1fd1a3922919e4555ada832759c48ad2,0,0,-14658.48295977,142956,-141515
0x06cecfbac34101ae41c88ebc2450f8602b3d164b,0,0,-13655.23554708,142956,-141455
0xb1e05e32c051e5d88ac20d667d36f3f963f69e97,0,0,-12816.03448834,142956,-141392
0xe2c52d6bab11193b574cc1340d835ce7327e9380,0,0,-12062.18721613,142956,-141322
0x81dfe2573f49524fadda6705d46803d84b0f20c4,0,0,-11511.1835891,142956,-141274
0xa12e9d48d328e773b4d52e6be0ce9dd096141b02,0,0,-10858.99867858,142956,-141211
0x628d3e1b24a043afda797c60c9477ed939a37de6,0,0,-10666.49702759,142956,-141195
0x37de2f99bf85ebc078cfcfe6bbc6b58f5d8c0b65,0,0,-45129.30455473,142956,-142300
0xf332644ad212251bac9b27134416e790167552fd,0,0,-16646.84312533,142956,-141625
0xbd9c944dcfb31cd24c81ebf1c974d950f44e42b8,0,0,-14544.94421664,142956,-141506
