Rank,Alias,Wallet_address,Total AUM,$HYPE,$USDC,Memecoins,$HYPE Staked,$HYPE Staked/Total AUM (%),Memes/Total AUM (%),Staking Rewards
1,Hyperlabs,0x43e9abea1910387c4292bca4b94de81462f8a251,10034883653.73,6248700.0,0.0031,25694.34,10025790234.61,99.91,0.0,2819024.78
2,Hyper Foundation,0xd57ecca444a9acb7208d286be439de12dd09de5d,2507332823.72,41.658,0.0031,6465.49,2506620897.38,99.97,0.0,705419.19
3,Hyper Assistance Fund,0xfefefefefefefefefefefefefefefefefefefefe,1081091179.25,1081086774.2524,2487.7383,917.26,0.0,0.0,0.0,0.0
4,HyperEVM,0x2222222222222222222222222222222222222222,1047146867.55,1047146447.0521,0.0,0.0,0.0,0.0,0.0,0.0
5,,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,473451851.08,0.0,41.1698,177.22,473390639.15,99.99,0.0,60993.54
6,,0x716bd8d3337972db99995dda5c4b34d954a61d95,178823191.65,178823182.4565,8.0038,1.19,0.0,0.0,0.0,0.0
7,,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,149810498.96,13155778.3659,330684.722,21.74,52677997.42,35.16,0.0,2740.06
8,,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,148767375.21,23361056.4728,0.2605,208.76,125365360.82,84.27,0.0,40748.89
9,,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,139759516.56,0.0012,747.0479,274.54,139752743.7,100.0,0.0,5751.27
10,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,126491646.78,0.0,0.0156,323.75,126455756.99,99.97,0.0,35566.02
11,,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,107775818.79,16008905.4391,2410764.1681,764.29,10518726.38,9.76,0.0,1501.95
12,,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,100479938.29,0.0,137345.3797,151.23,100314379.65,99.84,0.0,28061.93
13,,0xfdc5a81605d8b926947d2e865f74025dd53ac314,99303566.63,0.0035,37.817,0.0,99301186.6,100.0,0.0,2342.21
14,,0xa350d83fdcc7ac81dfaedea1a87108401ccb015f,97059371.78,97059371.784,0.0,0.0,0.0,0.0,0.0,0.0
15,,0x0d0707963952f2fba59dd06f2b425ace40b492fe,80611187.66,80543048.9667,68131.0,7.7,0.0,0.0,0.0,0.0
16,,0xc4ff1b50648213bdb064bea8c9e25bfa0606f93a,77896326.41,77896326.4075,0.0,0.0,0.0,0.0,0.0,0.0
17,,0x7f0269d7438a27811e6fa0fc33b51a79ea79be9e,77812229.02,77812229.0225,0.0,0.0,0.0,0.0,0.0,0.0
18,,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,76953486.05,4690518.0913,0.0033,25.19,70582434.53,91.72,0.0,22422.73
19,Whale_Wallet_13,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,65653836.87,10456993.009,0.0087,142.4,55181978.45,84.05,0.0,14723.01
20,,0x493db0ed7514c975e9abcc110bd40c473b6763e3,63319804.18,56996430.6843,52.6278,143.18,6321431.76,9.98,0.0,1745.93
21,,0x4a207d289fd49e60502451099771127bcf35b961,62367097.2,24082289.9027,436671.6171,7.43,20833057.56,33.4,0.0,8942.15
22,,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,62321448.28,62318527.7067,0.0201,2381.38,0.0,0.0,0.0,0.0
23,,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,62237559.73,1528997.947,360315.0274,6.84,19214073.94,30.87,0.0,838.04
24,,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,55852776.36,55846992.681,5782.9342,0.04,0.0,0.0,0.0,0.0
25,,0xb2833d8822baa7b4e6418c0d891ec94db31adf5a,54926962.31,54926962.3114,0.0,0.0,0.0,0.0,0.0,0.0
26,,0xd22fd233a6ed7b6a19c659fb4f05fefa4f0c7043,53421970.5,53421970.5017,0.0,0.0,0.0,0.0,0.0,0.0
27,,0x656c8da58d738295e03550796dd83900aa7c6525,50053440.56,41.6572,0.0,124.25,50038544.32,99.97,0.0,14730.33
28,,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,49511955.54,2375303.0334,152018.7813,1407.53,46349530.72,93.61,0.0,18089.55
