class,hash,time,token,type,from,to,px,amount,value,USDAmount,priority,fee
PERP,0x1a1fb1d359cfc739f8c5042736417e014e01010045b8a60be567aeb58bf65ed8,1752149032253,MKR,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,1965.4,-0.0382,-75.07827999999999,-75.07827999999999,-1,0
PERP,0xec84f5f1763d1a478a5d042736417e014e00420f2dc82207627834d22c7c31db,1752149032253,GRIFFAIN,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.049455,5128,253.60523999999998,253.60523999999998,-1,0
PERP,0x2a6b2dbbd55e1d123384042736417c01270101bdce82660e0acbc329960a3c2b,1752149032129,kNEIRO,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.47044,915.8,430.828952,430.828952,-1,0
PERP,0xe2a61ccb889e09f23520042736417c012700cbfc6597b62113064afb348db17a,1752149032129,CHILLGUY,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.068254,-4987,-340.38269799999995,-340.38269799999995,-1,0
PERP,0x88b4bbaebed3f4b2858a042736417b014400da8ba91f05ba767159be20bbe38d,1752149032078,VINE,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.033118,-16798,-556.3161640000001,-556.3161640000001,-1,0
PERP,0x62ea806bb3ce9855104e042736417b012e010169aa0fb4a738d1862e9449a013,1752149032078,PEOPLE,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.019937,-30448,-607.041776,-607.041776,-1,0
PERP,0xb00140e52baee1eda749042736417b012e00cd1fe19e6224bc3a3332f0a55f3c,1752149032078,COMP,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,45.278,-13.24,-599.48072,-599.48072,-1,0
PERP,0x6550b99d0bc3b3eea1700427364179020111005a7d800327d838e9dc2d17efa2,1752149031928,MEW,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.002985,228414,681.81579,681.81579,-1,0
PERP,0xff3b1ba714d1e53afab2042736417901da0086a4f837e22f5f1ffa4adaf2badd,1752149031928,W,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.06884,-11783.4,-811.1692559999999,-811.1692559999999,-1,0
PERP,0x7ff948c63065bc7f1b0f042736417901d8008b7d14de84234f3517d6b98647b3,1752149031928,GALA,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.015443,-27652,-427.029836,-427.029836,-1,0
PERP,0x763ba819b5b725f9b7720427364176013300a5b19c0c637fd26727ee51ac0321,1752149031724,CFX,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.077889,-9996,-778.578444,-778.578444,-1,0
PERP,0xaf3568c451ff25d04e0704273641760109008a462dc4ee39a5990e4d8c98c2c4,1752149031724,PENGU,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.019592,105321,2063.449032,2063.449032,-1,0
PERP,0xc8f7b29f71f92999ab9f042736417301900027f061c090f2a99863e883989ab5,1752149031524,kNEIRO,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.47044,915.8,430.828952,430.828952,-1,0
PERP,0x9745d1a29db85fb123c2042736417301590101bf591a8ba9f5000cf343087ed9,1752149031524,AIXBT,order,0x03b9a189e2480d1e4c3007080b29f362282130fa,limit,0.1441,-2825,-407.08250000000004,-407.08250000000004,-1,0
