class,hash,time,token,type,from,to,px,amount,value,USDAmount,priority,fee
SPOT,0xc93ab7f66539c410962b042736400402021900dda121c6b79b2dc1a7f5589904,1752149003780,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0x2365ee1d3147b0ba82ac0427363ffc01b30082ef7c9f38f53004e472b34d33c9,1752149003172,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0x807b8f4227c7e661ec1d0427363ff402029a00d927c0bb451d1d253bc54c2b86,1752149002618,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0xaacd76792dabdc224a0e0427363fdb01af005704efe684028a0e94ddf050641f,1752149000952,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0xce9ac066122a103aa4850427363fce02026700c66169b3bc4b554ccd606bb0d1,1752149000083,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0x24e3008566da89a701570427363fc502019c004751865c62e65700c264c7ad01,1752148999477,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0x0bcb3e61b68dbeb65ce00427363fbc020231004f604b330a04f8d0965d232b5c,1752148998874,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0xc762707bac01162378de0427363fb00202530077f4b7c78a95ca16e1f3a965e0,1752148998067,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.251,12.82,528.83782,528.83782,-1,0
SPOT,0xe1da8536282dbce62c4d0427363f5f02017f005bc33df28a23296c9d0aa1d463,1752148991721,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.253,12.82,528.86346,528.86346,-1,0
SPOT,0xe32af3bb351889392b5b0427363f5901b600132e2bd4a7fc1469898e58cc7314,1752148991269,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.253,12.82,528.86346,528.86346,-1,0
SPOT,0xde5b9282ff4d383bb6dc0427363f4d01e500ec45b84eef50fce0d2cee4858606,1752148990388,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.253,12.82,528.86346,528.86346,-1,0
SPOT,0x4b2f88652d582f54f2880427363346019e009b9f8aedeb594baaa940996f307b,1752148756933,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.355,12.82,530.1711,530.1711,-1,0
SPOT,0x31f6769a12cee1459482042736333c0201f100ffc729ee9aa75d06cc9916860c,1752148756276,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.355,12.82,530.1711,530.1711,-1,0
SPOT,0x5d12cec2f6da203394fb0427363330020270008cc20cab7ee7a7379d9a86ca31,1752148755476,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.355,12.82,530.1711,530.1711,-1,0
SPOT,0x3d39aa0d8a1ccedaf81e042736332602015b0055476ea20c0a02e5e7febad0f9,1752148754790,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.354,12.82,530.15828,530.15828,-1,0
SPOT,0xd402adda44b87d4454fc042736331e0201260080d62c015d473841d54d93d53c,1752148754280,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.354,12.82,530.15828,530.15828,-1,0
SPOT,0x84a1a4094af4b0cd5ac1042736331601e400793161beaed8940e98b6f02aadd8,1752148753714,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.352,12.82,530.1326399999999,530.1326399999999,-1,0
SPOT,0xe9a26cfb54d6482385f7042736330a02021500b6359811174f3aed19d65c8bed,1752148752932,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.353,12.82,530.1454600000001,530.1454600000001,-1,0
SPOT,0x6b85a0f17537c357ff3b042736330302012200246e034b0b92ca6b50ba338d80,1752148752438,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.353,12.82,530.1454600000001,530.1454600000001,-1,0
SPOT,0x039c7907080b9bfe7b7c04273632fa016b009a0fbca32f733326b45f42451045,1752148751832,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.352,12.82,530.1326399999999,530.1326399999999,-1,0
SPOT,0xf3a2a5e55d6f6f98381604273632f202018b00941fcca452c13e32288c1066a7,1752148751304,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.353,12.82,530.1454600000001,530.1454600000001,-1,0
SPOT,0x733d3d61226e474b0d1304273632e801ca001620a79d0e068e306225c7ab8ab2,1752148750614,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.353,12.82,530.1454600000001,530.1454600000001,-1,0
SPOT,0xe4180cb8e28c154e56fe04273632df02014100582729ccd3e65f29a27be19677,1752148750018,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.352,12.82,530.1326399999999,530.1326399999999,-1,0
SPOT,0xf346a78b1ffd59a071c2042736328e0201af00bf7075929c61413f6132dd5347,1752148744574,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.347,12.82,530.06854,530.06854,-1,0
SPOT,0xa1855dcf6287da54f33d042736328702029a00251b2704cfb6944049727ef80e,1752148743970,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.347,12.82,530.06854,530.06854,-1,0
SPOT,0x8301bc033c11787d202a0427363280019500ce196705d5ae87d49c354ca484a0,1752148743366,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.347,12.82,530.06854,530.06854,-1,0
SPOT,0xc3f61cda01a6888a8cdd042736326b0203020075e866245ea2b4caf02f01ff63,1752148741782,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.347,12.82,530.06854,530.06854,-1,0
SPOT,0x4ecbd1f02173b3aa46f104273625a402015c00e518793b19ae5563157478975e,1752148496676,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.32,12.82,529.7224,529.7224,-1,0
SPOT,0x15b235ab426084a99cec042736259b02023a0038b837f45b823c9d48faa4f42c,1752148495883,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.32,12.82,529.7224,529.7224,-1,0
SPOT,0xb1553465e453460a292304273625890201b800f6aa9029346886e1811a99845d,1752148494675,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.32,12.82,529.7224,529.7224,-1,0
SPOT,0xd7582801922f1460bf0b042736258302020d006e15c6bb7826e629402cd27ef8,1752148494134,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.321,12.82,529.73522,529.73522,-1,0
SPOT,0x726f54dd882410bef0c8042736257a01ce00e673a4c50b26c601c2f0a3adc7ea,1752148493574,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.322,12.82,529.7480400000001,529.7480400000001,-1,0
SPOT,0xc4a6cf1e542720052409042736257301fb00b80aa1deb9c829765d33bfa3336f,1752148493067,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.322,12.82,529.7480400000001,529.7480400000001,-1,0
SPOT,0x41cdc67276b18431a587042736256b0202b200c6c457664a65daeaf1b915bc49,1752148492495,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.322,12.82,529.7480400000001,529.7480400000001,-1,0
SPOT,0xa0f40373d5ec2c6b91a0042736251e015d007a2dec59bdd57af9c9a3a03be740,1752148486790,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.325,12.82,529.7865,529.7865,-1,0
SPOT,0xd3ef1c80f6ca26150a9b0427362513017200e719100d84c309ed53739f87b142,1752148485985,HYPE,order,0x091144e651b334341eabdbbbfed644ad0100023e,limit,41.327,12.82,529.81214,529.81214,-1,0
