class,hash,time,token,type,from,to,USDAmount,priority,fee
VALIDATING,0x80d7027d7ec7883fea260421dba636017600d8f210117d24bd4a19da59c77c01,1745084540250,-,tokenDelegate,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,-,-,-1,0
SPOT,0xac43b699448081bf7b9f041e374527020100004de0548c4da2cba122e87bd7ec,1740181828743,PURR,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,494.11682999999994,-1,0
SPOT,0x60e456dac45d6ceb3d9f041e37445801e000fc53915f0f331d98956ac10f2e88,1740181813769,JPEG,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,-409.49561016,-1,0
VALIDATING,0xede41349e71742f8a31c041cd32b35017b00daf192f380b2b914a715040e25b0,1738265743860,-,tokenDelegate,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,-,-,-1,0
VALIDATING,0xf56c8f62e76772a62833041c25a11f019000e4164a96fe0cd296d8494aba51a1,1737562770619,-,tokenDelegate,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,-,-,-1,0
SPOT,0xc59c84a21998627c65a9041b0f47310201f8005e36d9bfed402dc8072dac3877,1736445541692,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,22715.39298,-1,0
SPOT,0x96a6b076d81b941b7af5041b0f47300202f800852f67e737ee9e779906e76f19,1736445541622,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,22715.39298,-1,0
VALIDATING,0x9f2db883653893c78896041afa3e760202940039f371b96f9a063de7d79845fb,1736358033869,-,tokenDelegate,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,-,-,-1,0
SPOT,0x3bff8954c9012462ebfa041afa1e910202ef001101e8ad7a01525be5ae34c78a,1736357515593,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25251.75126,-1,0
SPOT,0x28852acf8cab1cfa6ced041afa1e8e02030300ede4104b8f018f9db4545b0e6e,1736357515394,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25251.75126,-1,0
SPOT,0x2870ed2091497692c0fc041aee3c9b02034200615a3d54fc2564b4dc4e8ccca9,1736308087930,HYPE,order,0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,limit,25233.13632,-1,0
