class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xd3b7b1f217a1f57a1745042735d7d6014100b1c3f4307178f7f5fef63f8becb1,1752146978519,HYPE,Transfer,-61.9739,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x4439899249da48259ef91393c83794153184bc64,41.3165,0,-2560.5446393499997,0
TRANSFER,0xf9ca0fe1685ea26ca553042735a9e70126007455b087ac6bc9c2cf7c91805bd7,1752146078805,HYPE,Transfer,-114.4139,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,41.3165,0,-4727.18189935,0
TRANSFER,0x13e84149a2bcb59c9dae0427352eda012300259dcdb25dd3c91848c61c26a71f,1752143679681,HYPE,Transfer,-45112,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xdc50cfc6319736c25784c12a96b4acec686d139c,41.3165,0,-1863869.9479999999,0
TRANSFER,0x41d32268568f1e49f9cf04273519c20108003f35e5a5d1cdf095f2e82845111d,1752143264446,HYPE,Transfer,-143.4839,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,41.3165,0,-5928.25255435,0
TRANSFER,0x756755c740a156bcee4b0427346937010f007e0e14d64aca528ac6e52234f852,1752139858196,HYPE,Transfer,0.1737,0x8cecbba63620a56d409ff0fdc7241fdf202d03bf,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,7.176676049999999,0
TRANSFER,0xfcb0ef175992e13095cd0427346910016d00553bd4db9500979e434821009223,1752139855602,HYPE,Transfer,228.88,0xf132619dab75d696d8d69e8ae364e6acccb76cd3,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,9456.52052,0
TRANSFER,0xe7610a8aff284412c4c404273468c3013d0052f322f69026f03df0533f3a5b2c,1752139850157,HYPE,Transfer,502.338,0xee172170faca00eb9309a87a46413cb5215bce91,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,20754.847977,0
TRANSFER,0xf81292a95819365e6493042734689901bd0030a237f27d773e273c8a85e21f72,1752139846646,HYPE,Transfer,1499.9307,0x5054096d36acd7b1b9ac1b6c7314baa50fb11956,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,61971.88676654999,0
TRANSFER,0xc70110b1c08cbcb038b3042734685801a30091ce6bc3855a197e51a2a94c39a1,1752139841658,HYPE,Transfer,1999.1205,0x8bee7340304a051b16cecee05fb8c999db3b65ed,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,82596.66213825,0
TRANSFER,0xbaaf00c41a36a99f0bf80427346810011f0086a069af6ea18f9e9c99d151eea2,1752139836661,HYPE,Transfer,2242.7228,0x035ae7d933dcbfe617ffba194a88af0c2867b90c,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,92661.4565662,0
TRANSFER,0x1cf0ad0bafd4dac700a504273467b00124009f2178192058ebe47f7ac8592674,1752139830176,HYPE,Transfer,4799.99998,0x33ba873aa26b9c44c311e44bfd502dc7ad9cda8a,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,198319.19917366997,0
TRANSFER,0x9969c56ed92a10b8b1ec042734678f013d00151d9337e1d57b35295fd777003c,1752139827441,HYPE,Transfer,12759.75761383,0x744727a6fc563f54fd0f6f0442c0bd1e212011f9,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,527188.5254518072,0
TRANSFER,0x3d3362f2cfe8fc1968760427346756013100fa3f34bbf4eafab7e6424599d9be,1752139822798,HYPE,Transfer,52061,0x6455327f820edd69c4cd665b995e0fec679d7f9e,0x0d0707963952f2fba59dd06f2b425ace40b492fe,41.3165,0,2150978.3065,0
TRANSFER,0x4803e109d3ef84f95b1604273423c201650049745bfb3aec6b39c6a0b18a0249,1752138520986,HYPE,Transfer,-258.5639,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,41.3165,0,-10682.955374349998,0
TRANSFER,0x67cda1eb243259a54146042733c063020136009d2f50020074638969a62a5ed9,1752136598498,HYPE,Transfer,-149.7339,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,41.3165,0,-6186.48067935,0
