class,hash,time,token,type,from,to,px,amount,value,USDAmount,priority,fee
PERP,0xdf57057c18727f20b904042732119e01ae00bf8103e08b752baacf3eaf5dae54,1752128239566,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,41.66,-3000,-124979.99999999999,-124979.99999999999,-1,0
PERP,0xdbb589b2d96c8f4d1029042731ce9a02020c00bb8db4ad25f51575dd924f37d9,1752126925081,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,41.67,-3000,-125010,-125010,-1,0
PERP,0x7c97e30f2f07ea24d76b042731ce0d01fa00c23773a119edcaad87976bb12a5d,1752126913305,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,41.67,-3000,-125010,-125010,-1,0
PERP,0x5f8f627e97c44b39e87804273183db02031e00c9acc9b089885989677b54f02a,1752125465143,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,41.555,-2000,-83110,-83110,-1,0
PERP,0x2ceb56f13824a61e37e804273183b20201bc00e60df49465a0506304fcfc6e4b,1752125462124,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,41.555,-2000,-83110,-83110,-1,0
PERP,0x518e8ffdcfddc02cdae804273183710192002b7ff7a6653b5add6e9f99d5ebb0,1752125456890,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,41.555,-2000,-83110,-83110,-1,0
VALIDATING,0xf1b2c7a92ee37ab0f36b042731819601cd004042946e6c8eb017a55d322b417a,1752125420587,-,tokenDelegate,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,-,,,,-,-1,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1750401810055,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,36.38911297719268,7999.999999999997,,,,
PERP,0x780b5e8cff492570a0570425de32d101c2005e795b08f80c3cf8c73589a9229e,1750401152442,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,36.69,10000,366900,366900,-1,0
PERP,0xd078f931ba47bb2a47a10425de30ac0201f7001c3d05503bdea86cf337720a00,1750401109623,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,36.615,10000,366150,366150,-1,0
PERP,0xd5fe79a634eac3851f760425d3cd1502014f003783d5666926efea5147381e54,1750348325728,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,36.525,10000,365250,365250,-1,0
VALIDATING,0x17d17f4cd8a2c781e1510425d3c91501f300db5c6114dc6e63226b99c128029a,1750348247655,-,tokenDelegate,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,-,,,,-,-1,0
PERP,0xa42082e0675e0b16c83c0425d3c79a02015f00079fa7f722832688b26ce1e5cb,1750348219274,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,36.515,10000,365150,365150,-1,0
PERP,0x82ecc9aea460427a1faf0425d3c6a501950056caa455a71bc1aa5a028ae54b14,1750348199776,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,36.475,10000,364750,364750,-1,0
PERP,0xd58742379426aa922e530425d3c64a01890078cf8dc35c809828ee8c3536d2a3,1750348192769,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,36.475,10000,364750,364750,-1,0
FAILED,0x96a15195e42dc3228a2304254d00260105007d63b5d8669fa5208e39575c43ab,1749661182501,-,VoteEthDepositAction,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,Deposit has already been credited.,,,,-,-1,0
PERP,0x9c39771ed94fb710520e04254c0c500202cd00f979a38d591f5ada956eaf9e55,1749656437205,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.653,-1000,-43653,-43653,-1,0
PERP,0xd2f93638d093b52ee00204254c07e702037700d90732b9902d136527bba4bf4e,1749656348691,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0xc9db9a73e3f7ee331c9c04254c0795020137005a39838648d40f0306fb9d589d,1749656342194,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x48c08773802b0349850a04254c064d0201d200872ba73534807a6a3f40586423,1749656315825,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x4d29dd9dc63363316d7504254c06210201f200e0d8b2d89ea3b3c26c3ea9da38,1749656312646,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x2eecfde0fc572754a87b04254c05f202013e00b0ca2be8b2a1b09f2ae4dc6630,1749656309293,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0xe9634ec6de856173703004254c05bc02018000a6ad9505ab24e12be39576a306,1749656305500,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x39f59811199b464b6d4c04254c058702023a0032055f839e3925de1dbd39c4f1,1749656301451,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x063173bf7389a765986304254c0567020b57001a4e9ad63277e1d76423e03f83,1749656298999,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x70eb70914cfdbbd813f404254c054b02048200c5d8682f649e38f1ee813c6606,1749656296408,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x7140eafb57868f94bfc804254c05230204ac0033f4421c3f1d59f16b2ee38219,1749656293150,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x7f72f062aa912483968604254c050402048e0075fa31ccea86cfddbecd050f5a,1749656290352,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0xc34ebceec7470a4ea49004254c04db0205210094d66b3c6cf35a1b9ce8a8ab24,1749656286625,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x6fb60fe9200619e2125804254bfd260201ff00994cb678ab145548e1f7e989ee,1749656139355,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x1a07fd68febe92bca78404254bfd0201f4002d70f106609d4c4b0fc6366ac5da,1749656136999,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x839c0784eeba68e3af7d04254bfccf01f800af6b340f03ecfa9f34a458550bb3,1749656133369,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x96cb9d737ebb75d5f86404254bfca802013200db76b09a2899a6eb4efd028f89,1749656130791,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0xe8e1290e0d07229c2b1504254bfc89020273001460826c1cd2dc1a90a7de5d2b,1749656128641,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0x4800a9438d514479b2b004254bfc6302024b000028fc80f71700835436083a7b,1749656126074,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.7,-1000,-43700,-43700,-1,0
PERP,0xa4da0040440ae330635304254bfba802016e0017673bfea6eaac8669056659e0,1749656112472,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.903,-1000,-43903,-43903,-1,0
PERP,0x008fb284c27e40322f1804254bfa3b0201c1003a861051970eaf663a0817a308,1749656085180,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.962,-1000,-43962,-43962,-1,0
PERP,0x9813e5cd9a86421fbc7b04254bfa0402047f00f9c768142f4eba8b67fa981fae,1749656080973,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,43.962,-1000,-43962,-43962,-1,0
PERP,0xd5f91f2d7d897ac1841604254bf82602042f00fe90912d96056e94c16fd62ca7,1749656042909,HYPE,order,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,limit,44.041,-1000,-44041,-44041,-1,0
VALIDATING,0xe2fc78cc0def1298256c04254bd9ee01e800a4b56b8426a663ab7526adec6f40,1749655459188,-,tokenDelegate,0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,-,,,,-,-1,0
