class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x9c51053d4a1aec8e171a0426cf53f30188009c7d51add5b3514811b62a7de627,1751629239460,FUND,Transfer,15.69,0x8e19f5c387b62da2537ff9b4c1235cd385f903f0,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0.79656,0,12.4980264,0
WITHDRAW,0xec3dec736ea63fe46ac0b24e6b324813f2218ca63f04bc27e18347a0de54202f,1751622921995,USDC,Withdraw,-100021.45,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,Arbitrum,1,1,-100021.45,0
TRANSFER,0xbc3742fbf104a66f7c740426ce03b901150017278d78fc75a3bb4c20a9c927b0,1751622584838,USDC,InternalTransfer,100022.45,SPOT,PERP,1,0,100022.45,0
SPOT,0x0bd10c1c82a076a2ecb30426cc9ab60202d100998dc1079c6eadfc477bcc1d4a,1751615480898,HYPE,Sell,-1.29,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.489,0,-49.65081,0
SPOT,0x2c3495a17444c68668a20426cc883e02015900220d4a8be403fb44c501b17389,1751615120965,HYPE,Sell,-40.44,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.534,0,-1558.31496,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1751615119006,HYPE,Sell,-0.47,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.534,0,-18.110979999999998,0
SPOT,0x884bde10c42335803c040426cc880602034a00194fd81a4e4201e378ab837f38,1751615116839,HYPE,Sell,-26.69,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.534,0,-1028.47246,0
SPOT,0x85746cad50c80199bf8c0426cc880502016e004606b87ca12e5e61641915ee6b,1751615116776,HYPE,Sell,-74.7,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.534,0,-2878.4898,0
SPOT,0xd40f73e53c4027c37b500426cc87f10201cb003c990fcc02647baa7ef7393ec9,1751615115151,HYPE,Sell,-5.76,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.534,0,-221.95584,0
SPOT,0xd1d8e2614b4fb3fd98f10426cc87c902023c001feaa012784d46b02de5e1a1fe,1751615112306,HYPE,Sell,-30,0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,0xffffffffffffffffffffffffffffffffffffffff,38.534,0,-1156.02,0
