class,hash,time,token,type,from,to,USDAmount,priority,fee
VALIDATING,0x139a3a00c15e2324317a0426834c3c017e00321a3a3d335e833d950ef6f25a2f,1751247477695,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
VALIDATING,0xa3b2222a46c19ccfef300426715c5b02011100ac8ec9b386704ebd6c69c30895,1751155642094,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
VALIDATING,0x96409abd347b3be628320426715b64013500bfee3ef0ed5c0bbdde43d9d05f9b,1751155621963,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
VALIDATING,0xd2ed61f95ed6141964ba042650d2d80203b300161db072032b1b1d788b71654b,1750988436367,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
VALIDATING,0xdefa83d874126be84630042650d0db020262002b0c8988e486ac96b970ed27bc,1750988395730,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,0x0000000000000000000000000000000000000000,0x0f991873aab3e14191978946d48f30f624ae9867,-,0,0
SPOT,0x998115e16dad8f1ea2e804249b7fbf02030f0076f6caac2369d5a9b099aafbbe,1748752192487,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2958806.4000000004,-1,0
SPOT,0x85705febb60c0ba43b1704249b7eee02028800eef15418c17ce705540f58389d,1748752176052,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2500000,-1,0
SPOT,0x1448c41db0dcb4dd446a04249b7c0602010c006e105d0270d5210b1340c009c4,1748752113702,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-5449315.2,-1,0
VALIDATING,0x2f0cf81ea41867d09ba0042403e953016e0026a15a05e5d6e2de76b82b690157,1747979848749,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
TRANSFER,0x17ba7ff420cd5a48449404237793420141006e0b16d22df0388274e678a2977a,1747261553197,USDC,Transfer,0x0f991873aab3e14191978946d48f30f624ae9867,0x1dad878cfdf4e21d2195011e09356578bb20e532,-100000,0,0
SPOT,0xdf74bd82d74d80e422e2042377912f02014d003a13f21ae8dc93ef5ec2ffd579,1747261511038,HYPE,Sell,0x0f991873aab3e14191978946d48f30f624ae9867,0xffffffffffffffffffffffffffffffffffffffff,-13.27067,0,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1747261455058,HYPE,Twap,0x0f991873aab3e14191978946d48f30f624ae9867,0xffffffffffffffffffffffffffffffffffffffff,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1747261421077,HYPE,Twap,0x0f991873aab3e14191978946d48f30f624ae9867,0xffffffffffffffffffffffffffffffffffffffff,,,
VALIDATING,0xbe389638b2c1c3ba7c9704233910120201990016889c23587ff3fd2cbea24df6,1746936197677,-,tokenDelegate,0x0f991873aab3e14191978946d48f30f624ae9867,-,-,-1,0
SPOT,0x31d043d238863861d11804231910720201840131d25b0adfb315903672ffcb48,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2950.17,-1,0
SPOT,0x547217fd76cc8b3c92a60423191072020184013041a1088cff2229ca193bc99e,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2949.6613500000003,-1,0
SPOT,0x66321b1030c9ee905db70423191072020184012ff914f69dc332f6a659ccf8d7,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2949.1527,-1,0
SPOT,0x0fa2eeb02c7cbf01be4a0423191072020184012ef38768bb02137702cb29c655,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2948.64405,-1,0
SPOT,0x34b6b832b7900a2e89710423191072020184012d465bee0366c054e02e0eb418,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2948.1354,-1,0
SPOT,0x19bda97f7d55460d4daf0423191072020184012ca55ad494f8c2b4ff39dc30b0,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2947.6267500000004,-1,0
SPOT,0x03538c4732816085fd4a0423191072020184012b0f06354c226a935cc1f8bd4f,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2947.1181,-1,0
SPOT,0xbdc2c28ec962be13e8210423191072020184012a1597dfd12d5396a76417acc4,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2946.60945,-1,0
SPOT,0x69273161df20635eb85a042319107202018401291939c34f3023db536fc60097,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2946.1008,-1,0
SPOT,0xb8b89e2724d444589a3a0423191072020184012825f30ef56136143ba9335cdf,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2945.59215,-1,0
SPOT,0xa994df238b551ec57df404231910720201840127db936e82be7d54e9fb3f9856,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2944.9817700000003,-1,0
SPOT,0x8ddb84a6b92c11802a9904231910720201840126ebf616f075cd6714b4682949,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2944.47312,-1,0
SPOT,0xeed62b005cf85009470a04231910720201840125d3b14946c761765e747cedc8,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2943.9644700000003,-1,0
SPOT,0xb57ffef2fc45e8eabb490423191072020184012436c7af3bf8e3c9f8c457e266,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2943.45582,-1,0
SPOT,0x007264b2dad3b37e25fc04231910720201840123b925f8a6a824201e8ad95d68,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2942.94717,-1,0
SPOT,0x0a20185e6372cc90f7c404231910720201840122502468d416cfb4bb15635daa,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2942.43852,-1,0
SPOT,0x59ecb3ae872e1c52f9e7042319107202018401211efe8b015c45dfa687f06199,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2941.92987,-1,0
SPOT,0x04fb701a0927d30b7ebd0423191072020184012048147dc15f5b1290668a24a7,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2941.42122,-1,0
SPOT,0x1ae526c9b3f5881cfaaf0423191072020184011f2d4b97ac087510562eea76dc,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2940.91257,-1,0
SPOT,0x72494b3f7acfd3c0aa3d0423191072020184011e0f63f9e4d6972e137e0c8558,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2940.40392,-1,0
SPOT,0x0e49331e4713796e93bf0423191072020184011d971d7b144214cefc05ca6bb5,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2939.89527,-1,0
SPOT,0x44b7690d775b4156f7b00423191072020184011c1049205e336141f7e33638fe,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2939.3866199999998,-1,0
SPOT,0x9f72d0b96f4482b3ddf20423191072020184011bb1f06f69cbde44caf4ea4dbc,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2938.87797,-1,0
SPOT,0xc8bdec7458f3c64567db0423191072020184011af07d011e11e054c3b3ea4c8e,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2938.3693200000002,-1,0
SPOT,0xac68c00b74dee587ad800423191072020184011915886c5293699c97b7143eb2,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2937.86067,-1,0
SPOT,0x8bbfcc147ccd54f74c1d042319107202018401185eeb64cceaa1230cd5e0d97c,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2937.35202,-1,0
SPOT,0x02534c5f6fcac762958004231910720201840117c5d92b7a074e417b58204e9a,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2936.84337,-1,0
SPOT,0x5daf75d74a54faa5dfbc042319107202018401162e6df5a2b8eb35867ccd52a5,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2936.3347200000003,-1,0
SPOT,0xfe9792ff286a7f71f75604231910720201840115cfaa06d2d07a9003607256ac,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2935.82607,-1,0
SPOT,0x8bf561ef43464a1d620904231910720201840114b895a246288194ba822e83df,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2935.31742,-1,0
SPOT,0x00048630f99ef93a497e0423191072020184011361663c991410204c03bfa5e8,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2934.7070400000002,-1,0
SPOT,0x6a392873f81790225681042319107202018401128f3c289d087f5632a428d86d,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2934.19839,-1,0
SPOT,0xf20f8945a083e14f297d04231910720201840111afef164baa4d151630883444,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2933.6897400000003,-1,0
SPOT,0x9ad40f0e0867fd4303ca042319107202018401109ed91dd7bec2df051364799e,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2933.18109,-1,0
SPOT,0xc955b92283ab4ede10ec0423191072020184010f154d42b054538f2ef41ded6e,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2932.6724400000003,-1,0
SPOT,0xb4e50b46d72f56132e8c0423191072020184010e4f9fdce717c5932e5ff90bbd,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2932.16379,-1,0
SPOT,0xedfa638d42feeab2a21a0423191072020184010dfd9f319824b0c1dd1f8dff9e,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2931.6551400000003,-1,0
SPOT,0x3dff09dfd19aea573f630423191072020184010cf593665548d755aa54cc44fc,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2931.14649,-1,0
SPOT,0x785c1b58e3d63204ab3f0423191072020184010b823bf3a94d784bafa5c03a93,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2930.6378400000003,-1,0
SPOT,0xa5ef0636ba91666c7c9b0423191072020184010a7afea4854e1a22b104ff0359,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2930.12919,-1,0
SPOT,0x688284063b2e5e308c1604231910720201840109894b1854e7ff34238707ebee,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2929.62054,-1,0
SPOT,0x546b81609f9401ca89740423191072020184010872fa392fab742f04b4f4e116,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2929.11189,-1,0
SPOT,0x41bf5974f97019e1af9904231910720201840107ce6e210027720f00f743cf1a,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2928.60324,-1,0
SPOT,0x192f1bef9eb71d459b7104231910720201840106c7779b379d9c4b50b9cd234b,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2928.09459,-1,0
SPOT,0x359e22b5a23dc6f9e15304231910720201840105fda1eb70b61fa0a7e240b3c3,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2927.58594,-1,0
SPOT,0x10c71843e311b0af79ee04231910720201840104961d3cc04c3b3c9b9eb1f172,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2927.07729,-1,0
SPOT,0x40527368973b72fb5ec6042319107202018401030c29fb8861ffd943329922f1,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2926.56864,-1,0
SPOT,0x5e8066023c43cc6ebd1b04231910720201840102e8f6c9ad2cf07df5e53bc49e,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2926.05999,-1,0
SPOT,0xec8c4ce2984e33870c360423191072020184010109850040d86829f9c5c8cebd,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2925.55134,-1,0
SPOT,0xe5242c505c06e6606d5e042319107202018400a5e3ae4ad8371295488e0340ed,1746770033633,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2925.04269,-1,0
SPOT,0xb3c70b4891bac5ba4c6004231910650201e201311011916d2ba0eed3165b31a0,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2924.43231,-1,0
SPOT,0x2c948b5643047b0af86404231910650201e20130e5c4b84424a4c0c2be9bd963,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2923.9236600000004,-1,0
SPOT,0x82c3dc9ed2dc900c996704231910650201e2012f5ad324395ce8620045b3d1e9,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2923.41501,-1,0
SPOT,0x586ae8d2bdba4346ad0604231910650201e2012e5a674b209a5c6887f681ced4,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2922.90636,-1,0
SPOT,0x033cc004f139e38c9b6504231910650201e2012db2b730aa6f232a4dfeb226d5,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2922.39771,-1,0
SPOT,0xeb556c7caa071fb1330d04231910650201e2012cae2bd9bf6ca694e0672f90e9,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2921.8890600000004,-1,0
SPOT,0x4ca33770a7da81d14e2e04231910650201e2012bfc28d5f14716c259de8178b2,1746770032417,HYPE,order,0x0f991873aab3e14191978946d48f30f624ae9867,limit,-2921.38041,-1,0
