class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xf5cf698a774ebee23274042733954c013800c3692a30680c43ff956a39cf3cfd,1752135762373,HYPE,Transfer,6.06084706,0x81196517de1d77ebc8a1951c3ea1a103e732479c,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,41.548,0,251.81607364888004,0
TRANSFER,0xd90b1dbf758a49faf9c504273394ac01b80062757704968bb3a204858f1d1731,1752135750650,USDC,InternalTransfer,300000,0x81196517de1d77ebc8a1951c3ea1a103e732479c,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,1,0,300000,0
FAILED,0xc831672fa11cfa5385710427291914010100f99157c8b0e0cce505d07009e4b2,1752083576823,-,evmRawTx,,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,L1 eth api error: already known,,0,-,-1
VALIDATING,0x6b9d2b83813c6a32c0ed042707ab12013f0040a7beb30b984e530ce129a84610,1751915550814,-,tokenDelegate,,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,-,,0,-,-1
VALIDATING,0x209cbc0d0b469a57f001042707a40e01a600256a8fefcee7f04d08cc91217daa,1751915412541,-,tokenDelegate,,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,-,,0,-,-1
TRANSFER,0x75ced9d7ba623fa4b5900426cf50bc01a100ac80d6fef5eabc5f555742596c87,1751629175778,FUND,Transfer,15.69,0x8e19f5c387b62da2537ff9b4c1235cd385f903f0,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,0.79656,0,12.4980264,0
TRANSFER,0x6c9baf25752610a8bb040426be37580144003ce59e8d562d1e4142d262c3d310,1751542711959,USDC,InternalTransfer,107000,0x81196517de1d77ebc8a1951c3ea1a103e732479c,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,1,0,107000,0
FAILED,0xfc32b3b89953b2e15a300426bcb026018700d1845b097bb0af2ac52fbba64824,1751535050287,-,evmRawTx,,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,L1 eth api error: already known,,0,-,-1
FAILED,0x357b52103786c1147a670426bcaebe010100214ce136a24c743d722b7cfa4fa4,1751535023529,-,evmRawTx,,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,L1 eth api error: already known,,0,-,-1
FAILED,0xaf0ca7a1834900a56b5d0426bb0abe018f00da3006247db62a24d2d408d324f5,1751526894765,-,evmRawTx,,0x13c50dcdee4bbcba71baf578b345cdd35c7928be,L1 eth api error: already known,,0,-,-1
