class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,15950.16743335,0x0000000000000000000000000000000000000000,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,-,0
TRANSFER,0x5d3ec5315065ca745cb90425b46e770201f500a4730b93ec3384af50c422daef,1750188160531,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,-,0
VAULT,0xcbb56bddfe48e517156f04249cb39901f60081a22b8690da51d372ab45c41362,1748758414219,USDC,vaultDeposit,-3000000,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,-3000000,0
TRANSFER,0x99aea379221ea60fc06704249cb0e60163006195cb046972bd67a7a40339c863,1748758359093,USDC,InternalTransfer,3000000,0x45d26f28196d226497130c4bac709d808fed4029,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,3000000,0
TRANSFER,0xb9bbc55501950364dde50423f6676602024c000a7f41d4965758395a947defe3,1747911845420,HYPE,Transfer,50000,0x45d26f28196d226497130c4bac709d808fed4029,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,2062525.0000000002,0
VAULT,0x98ed77ef3f3fcc2e0ba10421ebc83101eb001c206d4ba161634f5c6248f69cf7,1745172748959,USDC,vaultDeposit,-472452.114658,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,-472452.114658,0
WITHDRAW,0x2817297042a664f838a6f0d73cbf0a70129159940de0db4d6c908df21d4b46c2,1743002772387,USDC,Withdraw,-999999,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,Arbitrum,1,-999999,0
VAULT,0x4476d3f2fe120d6209270420506b73020104007ca03e894d91fa48ed27c57506,1743002153732,USDC,vaultWithdraw,1472452.114658,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,1472452.114658,0
WITHDRAW,0xfd96cab62e825505bf195998a816012ba9031450eadc2e01202f4231737889d2,1743001791967,USDC,Withdraw,-499999,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,Arbitrum,1,-499999,0
VAULT,0x0bc7cfc4fba83214ac050420504b2501ef00f0b43c4ab7bd545f983d48aa07d5,1743001514289,USDC,vaultWithdraw,500000,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,500000,0
WITHDRAW,0xc0758212634d6d92262e4c9d1bf25b51c8da13e1b30bb060bdf21387703761ad,1742999658539,USDC,Withdraw,-1999999,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,Arbitrum,1,-1999999,0
VAULT,0xa0fc0fd9a136192b629904204fdf1902034000c33a06e045783be00dd9aaa0f0,1742999385689,USDC,vaultWithdraw,1000000,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,1000000,0
VAULT,0x88321860277a52455cbd04204fd5a50202fa0027d1de9ca28d25722a32c8abba,1742999200614,USDC,vaultWithdraw,1000000,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,1000000,0
TRANSFER,0xe10297004beccb27e41e041e2fff5401b800139d521cabdf938f2c03577a6677,1740143599392,JPEG,Transfer,125000,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,937.25,0
TRANSFER,0x1f01420accc510b6ac47041d9d1d1e02011600ccf115a8baad6000c540527d16,1739350702496,TIME,Transfer,8333.333333,0xb932c0d5c87b5f8354cc8898ba74e5f28510c10e,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,21.693333332465603,0
VALIDATING,0x81bab008a3a0ec1a0b63041c0b2bc7014500685b4ce295567486656989b2503a,1737478615464,-,tokenDelegate,,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,-,0,-,-1
TRANSFER,0x5d46a1fcab4c440f27e5041bac650c02022700b9eb78067a490a4ea6d0f7a20e,1737110077334,SENT,Transfer,6000,0x3d855cf5fff6eec436123d8f49e7afeac2b2a242,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,0.282,0
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,4067.13484083,0x0000000000000000000000000000000000000000,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,-,0
VALIDATING,0xb87e8feab2e7708ab9c7041b303868013c003d43478f564b10f86514b7b66b13,1736582804006,-,tokenDelegate,,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,-,0,-,-1
VALIDATING,0xdcf79f47eaa8def23c1c041b3036540144007c58c72c9603ff0fe55dfc9ea443,1736582770514,-,tokenDelegate,,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,-,0,-,-1
VALIDATING,0x91bdfe2e6c72738d0f4d041b30352d013b0076401a7bb1dc2df9820f437e5398,1736582750974,-,tokenDelegate,,0x1419e75330c71ce463102e6a1eb62fe80b412d5f,-,0,-,-1
