class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xa0d3931416e2a24679ad04261b04eb01d200de2b975416af315287349ace2e18,1750715255361,USDC,Transfer,-475000,0x156115e100141e9330620c253225cc5ee598a31a,0xe4cb8fb856a3cba209ea8e19dfea979f335d143d,1,0,-475000,0
TRANSFER,0xab89c50514588731af9804261b012c0201c90048bcf8a7458fe6bc7049b1ae90,1750715183892,USDC,Transfer,-1,0x156115e100141e9330620c253225cc5ee598a31a,0xe4cb8fb856a3cba209ea8e19dfea979f335d143d,1,1,-1,0
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,5780.09826077,0x0000000000000000000000000000000000000000,0x156115e100141e9330620c253225cc5ee598a31a,,0,-,0
SPOT,0x56be510586b9078f28e60425a0116902027900ebf81f3b92da9265206e3d180a,1750084475579,HYPE,Sell,-659.34,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.727,0,-30149.64018,0
SPOT,0x38344d5c85f473c222290425a00e6702024900c811d2859694d1b7cfe730130b,1750084412574,HYPE,Sell,-28.01,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-1278.2643600000001,0
SPOT,0x9591aca623ade936bf770425a00e67020247005524123388621df6876ee5e927,1750084412574,HYPE,Sell,-31.45,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-1435.2522000000001,0
SPOT,0x97d178125511445a0f070425a00e67020246000ad468f4d371edca30325d9fc9,1750084412574,HYPE,Sell,-27.76,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-1266.8553600000002,0
SPOT,0x190d971e92fb6426592b0425a00e650201bf000f8a931ba1562f8dff49612ec6,1750084412373,HYPE,Sell,-107.05,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-4885.3338,0
SPOT,0x2f9e4a68781e9acce6b50425a00e650201bd0061dd19c7ea26e761c1db51d358,1750084412373,HYPE,Sell,-62.89,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-2870.04804,0
SPOT,0x5f871eec7a30dda775f30425a00e650201bc00c4cc4d9d090eb2bfdfde4e39c7,1750084412373,HYPE,Sell,-5.62,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-256.47432000000003,0
SPOT,0xa20218eb0253346f37cc0425a00e650201bb00463000c3046209213ebd66de0a,1750084412373,HYPE,Sell,-68.91,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-3144.77676,0
SPOT,0x37ed9f43418518679f7d0425a00e640201740094abd634e13928b3a1a37ff3be,1750084412288,HYPE,Sell,-0.24,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-10.95264,0
SPOT,0x12ce37585b54f9723f070425a00e620203a1002b5582d441587fbc26ce5d8d5b,1750084412173,HYPE,Sell,-13.6,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-620.6496000000001,0
SPOT,0x2fd721ebd77ba7064a9c0425a00e5b0202a20040bb3ec7ae69874ad33d944641,1750084411679,HYPE,Sell,-24.04,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-1097.08944,0
SPOT,0xf2f360305a12469275210425a00e5b0202970022fddda1cfe610e6a2b139ae84,1750084411679,HYPE,Sell,-34.94,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-1594.5218399999999,0
SPOT,0x6f818fa3408ea1abcdca0425a00e570204cf008896191a52fc6542e57e9966c8,1750084411415,HYPE,Sell,-1.32,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-60.239520000000006,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1750084411071,HYPE,Sell,-1.64,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-74.84304,0
SPOT,0xd305c50f11ff8e83b1e30425a00e5002024f01015dbc0b61f874eb4a380b1044,1750084410923,HYPE,Sell,-4,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-182.544,0
SPOT,0xd6646ded75bf9867d9470425a00e5002024b00cc4b9aefe4f34dba4e54ae382f,1750084410923,HYPE,Sell,-26.8,0x156115e100141e9330620c253225cc5ee598a31a,0xffffffffffffffffffffffffffffffffffffffff,45.636,0,-1223.0448000000001,0
