class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,17499.10832174,0x0000000000000000000000000000000000000000,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0,-,0
TRANSFER,0xa127a639b9a6d6264bf60425b474ce0206e000c01670a7aaaf31fa26b8ab2364,1750188286782,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0,-,0
SPOT,0x1730d7baa56d228ed5cf04237c7d4801b70034500cdf912e6a2ebf41908ddf42,1747286685306,PURR,Sell,-1000,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0xffffffffffffffffffffffffffffffffffffffff,0,-145.23,0
SPOT,0x2e2c5ac44cccbfea289a04237c7c6b02018400aa76c39cdaf385df71e6a047b9,1747286668105,PURR,order,-10,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,limit,0,-1.45,-1
TRANSFER,0x4d208a407c7725e7b5a3042356eaa801ca008ac1a7c55183d7abf829513e4bf3,1747091905636,HYPE,Transfer,-99999.99,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0xa7621b2a64ec9438669071922dc9bc5c1534f8c7,0,-4121749.5878250003,0
TRANSFER,0xa3e1cdd3649a51e3576b042356de5c02010f0024da750065e5e95a9864075547,1747091660610,HYPE,Transfer,-1,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0xa7621b2a64ec9438669071922dc9bc5c1534f8c7,1,-41.2175,0
SPOT,0x6dfe2335272d81c8725804234b3511020285000a7548ea5bfd09d7782e251f45,1747030469067,PURR,order,1,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,limit,0,0.155,-1
VALIDATING,0x8e3c337666eb13c893d40422de558202038300cd58e8b02244b5d14356e80d00,1746462673438,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x9c98a0b67284a6afa4b30422de54120201790000af6402e08ad229ae66720f8c,1746462644011,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x553b74540a375aac83b10422de52ab016200d552a20ab5f3f776fb6a2e05a651,1746462613633,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
TRANSFER,0x42fe42b395df89e12513041eb6c042018500868d8e2bf1ff33679630cb20d54a,1740853071732,USDC,Transfer,-0.83852477,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0xab4ada40112e0051a5add07f2304d749bb8944fa,0,-0.83852477,0
TRANSFER,0x403cdcf2a4ade6fb8ae5041e94693901ba003b7d83a82807ddc525e2dfd03f8f,1740674466692,HYPE,Transfer,-5,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0x2222222222222222222222222222222222222222,0,-206.0875,0
TRANSFER,0x11cedcdaf32d9b7cf838041e2fff5401e5001350642294e59521aa7e42724ba4,1740143599392,JPEG,Transfer,82236.84210526,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0,616.6118421052395,0
TRANSFER,0xf1d9f11e114922cf2ce8041d9cfd6c020138006b63deaf4c36f59549492efb9f,1739349944174,TIME,Transfer,8333.333333,0xb932c0d5c87b5f8354cc8898ba74e5f28510c10e,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0,21.693333332465603,0
VALIDATING,0x98873993ebf9fd261b4d041d150c1d01fe00f9d342a758e3a3cfa03ce932a47e,1738618966570,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x179b8cec58446577a6c3041bbc80c201fc007af59869e304ca5a5c67ed416cdd,1737176925401,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x272e3c5a3ee8f6394a63041bbc7fc901b100e63cb38023bf2fdef749a4c2f9fc,1737176909857,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x4539dae49d54135eacbb041bbc7e0201c5000f08a63663dcfc2ab8fe937e7275,1737176881245,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x7d99a6fa3985289ebcaf041bbc7c3702014c004b23a7cb165608efc344d1cfa6,1737176851966,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x6c11feb7ea3a9d0a01b6041bbc786d020139003ddeaac49aae6f47d6a5190a29,1737176791161,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x2cb1007e1c430ab65fdb041bbc777001cd00476358facfc30741fb7e3f37b9ce,1737176775236,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0xff16df3e9a409ec1943c041bbc7237020144002f97ca36d3e08136f9a102f65a,1737176690532,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x737fdb5a86021e63e3c8041bbc70b001d600ff453243a055ce7474fe92df832b,1737176666017,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0xc7dff8cd503f634aaef6041bbc6f2c02013d0004d42b4b44128c359b6be720d1,1737176641626,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
VALIDATING,0x93e734d9dd1758a66f3c041bbc6df002012e0003fb1e8af465c7ce4cf25d35e8,1737176621302,-,tokenDelegate,,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,-,0,-,-1
TRANSFER,0x61b1652055733b61928e041bac6508014f00c2d8396798403ebb9b82e14307b3,1737110077131,SENT,Transfer,6000,0x3d855cf5fff6eec436123d8f49e7afeac2b2a242,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0,0.282,0
TRANSFER,0x22eed518b7faadc7b347041b949351018300ef9c5523ea95d05cf6396ff1e602,1737011009803,USDC,Transfer,0.0044383,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0x1da722cfa8b0dfda57cf8d787689039c7a63f049,0,0.0044383,0
