class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,14404.21277511,0x0000000000000000000000000000000000000000,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,-,0
FAILED,0x28501b1a8b08cd1180ae04247ab8d2010a00db85c5950a7954f503574543d68d,1748582738609,-,VoteEthDepositAction,,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,Deposit has already been credited.,0,-,-1
DEPOSIT,0xc247a0a7505a0b6c06f40e671c66680565388757db92eec6bd68d925bf9bf15f,1748582738609,USDC,Deposit,2000000,Arbitrum,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,2000000,0
DUST,00000000000000000000000000000000000000106,1748390400112,VAULT,Spot Dust Conversion,-0.00859802,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0xffffffffffffffffffffffffffffffffffffffff,0,-0.00053834782626,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1748331674044,BTC-USD,Twap,119.11483000000032,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,,,
SPOT,0xc64c14cd9d72eea755800424478be702010700b139eea9df2c634d7aacc7a3cf,1748323544409,VAULT,Sell,-338.51,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0xffffffffffffffffffffffffffffffffffffffff,0,-21.258766509999997,0
FAILED,0x66bceacb0dee9c22c9f10424478ad601fa00b31cb310c4fcb34536b89ee53e77,1748323524158,-,VoteEthDepositAction,,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,Deposit has already been credited.,0,-,-1
DEPOSIT,0xa60ea2b0873d42ed7229205c837f7294b63e178b9a8dd09f7dd391063b58ab42,1748323524158,USDC,Deposit,1304759,Arbitrum,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,0,1304759,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1748263160010,BTC-USD,Twap,177.02054000000038,0xffffffffffffffffffffffffffffffffffffffff,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,,,
FAILED,0xe054ba45f32c1c8817c904243b7b4b016d00dd733b737d373dcfc1578af17a1e,1748262503933,-,VoteEthDepositAction,,0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,Deposit has already been credited.,0,-,-1
