class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,5851049.59149414,0x0000000000000000000000000000000000000000,0x43e9abea1910387c4292bca4b94de81462f8a251,0,-,0
VALIDATING,0xb0d5f649a06527d05ec004243638ab01dc009b84286cd45d889817f7f6dc5a01,1748235961771,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
FAILED,0x4692ae46d45a520a07f7042436326d015700cbc91a6f2e93351adefa9397b0d3,1748235841081,-,cWithdraw,,0x43e9abea1910387c4292bca4b94de81462f8a251,Insufficient balance to withdraw from CStaking,0,-,-1
VALIDATING,0x9a938e5e4681784818f20422eb26d8017600f42282496deabd51fa04547eb74f,1746530810711,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0xc837eb2215c72f11b7740422eb26d2020112006897b2686482876c27fdaa6981,1746530810323,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x603ebbe7b9c0eb76c61c0422eb231a01a5009e89cefc3faf617e8834fe113bd8,1746530733915,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x2cecccac689bf583ae3e0422eb23140201000016751d215bdd3aaf30d766dd0d,1746530733479,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x018186ba97d6b9c85f130422eb1e3802014c0085505d792cec8c4c3dcc4e2146,1746530638145,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x1bf2f9abbbf1baf6c02d0422eb1e320201030019d39d68837e6719b9ae2979b7,1746530637673,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0xcd8a7e85e801a4bccdf30422eb192002011c00f1dde1a984b6f671c9f20e027b,1746530532183,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x568860fb5ff792a207dd0422eb191a01cd0057fe96f02baa3e8ab28aa1edeb6c,1746530531779,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
FAILED,0x74e4e8445020fe6a24340422eb18a902014300de28c8363a91ce373d74d88c31,1746530521913,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,Invalid nonce: duplicate nonce 1746529414113,0,-,-1
FAILED,0xbf29acbd8bfb3a0435220422eb18a201440045ffcfa83beb50933a36cd0d406b,1746530521217,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,Invalid nonce: duplicate nonce 1746529414112,0,-,-1
VALIDATING,0x8d739c84230cb893525b0422eb0f2e02012200678ef3f582a3a396bd95b246a0,1746530328030,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x604f651f91394bac64d20422eb0f270201d0008d7cd18a03353335b7dd771512,1746530327540,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x852dfe5211d44eec9bdf0422eaf8bd0150000fb45f7101f3980d3a8949306e1a,1746529865334,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x629d5e4fb66907c773440422eaf8b40148006e96d183508d48ba5b1825e533b4,1746529864637,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0xc5b4864dc82a68e5cf280422eaf731016900c9ae1cf9323ef1950db53edef293,1746529832584,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x2c0caa4e1add138f8df00422eaf72c0201060063a7e88fe67c2357a6c5f3a98a,1746529832071,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x54b2e4d8601ecae0ef4e0422eaf4e202010500c25ad2e525bd238edce0181301,1746529781519,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0xa6762a6dac78f9d522eb0422eaf4dd01a2009340ffb89a35a548391998c39376,1746529780955,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0xc882f34181b0be46580d0422eaf1d501c7009e45ffd7ad385d6ed56e8a41ef38,1746529721214,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x612f68fc03234194ca1b0422eaf1d002022800580f9e66d56ebe56bea154287b,1746529720875,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x86a2c6ad1b0daddeb6d20422eaea31014b00f773bf60502cf9815d022830532d,1746529566844,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x3f2725fb9b9a2e2d9feb0422eaea2901fe00fbe14f803cc2c73267bf1ad3d151,1746529566334,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0xba23e4e30ecea69bdd640422eae6e401a900cd20945d42b9fe297248d16ad2dd,1746529503696,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
VALIDATING,0x1c2251a0e5178219adde0422eae6db02010500c647c308cce570604ac92a516d,1746529503094,-,tokenDelegate,,0x43e9abea1910387c4292bca4b94de81462f8a251,-,0,-,-1
DUST,00000000000000000000000000000000000000038,1736380800021,BUBZ,Spot Dust Conversion,-0.01,0x43e9abea1910387c4292bca4b94de81462f8a251,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0031807000000000003,0
TRANSFER,0xfb4b422670fd8a5f3da9041af3ded101c100dda6341904dd9cf25a06772b35d2,1736331508907,BUBZ,Transfer,0.01,0x0ef5cbf621f37e75cfa17ecfb29dc836aa95eba0,0x43e9abea1910387c4292bca4b94de81462f8a251,0,0.00030555,0
