class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,3664.86604595,0x0000000000000000000000000000000000000000,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,-,0
TRANSFER,0x683b8d170489742cf188042408046302015400ac5b170cc4725a72187f27029f,1748000570540,HYPE,Transfer,-40000,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0x1468cae31a4f5745ce9fca8fe055df8aa90e1de7,0,-1651860,0
TRANSFER,0x4048f1fe8a915e79b0a70424057e6a01d600e6b4f3ab1abe1af2c50763a67425,1747987872194,HYPE,Transfer,-39990,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0x1468cae31a4f5745ce9fca8fe055df8aa90e1de7,0,-1651447.0350000001,0
TRANSFER,0x7aa5bb8ddb2d1b27c04b042405701b02014100d699ccb89309c7d6bc353a45a3,1747987592812,HYPE,Transfer,-10,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0x1468cae31a4f5745ce9fca8fe055df8aa90e1de7,1,-412.96500000000003,0
SPOT,0xd402eb2e9e3e38c7d5ff0424056de60201b500d94c96e5ce9d6ea7d592280031,1747987548259,HYPE,Sell,-1,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0xffffffffffffffffffffffffffffffffffffffff,0,-34.948,0
TRANSFER,0x084552af91ae80a7fd97041e300179020152003c69dc08bddb28a54c873f0662,1740143643371,JPEG,Transfer,46052.63157894,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,345.30263157889215,0
TRANSFER,0xac852bc01ff3e65af07f041d9d0edb02012a0022454d52d55d43c9b36b7e0568,1739350357914,TIME,Transfer,8333.333333,0xb932c0d5c87b5f8354cc8898ba74e5f28510c10e,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,21.693333332465603,0
TRANSFER,0x2d93c468148ff89157bb041bac650c0201670078d684d9f982b4e14d821c5727,1737110077334,SENT,Transfer,6000,0x3d855cf5fff6eec436123d8f49e7afeac2b2a242,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,0.282,0
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,11277.48859655,0x0000000000000000000000000000000000000000,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,-,0
TRANSFER,0x48596c28f0ec22e0ff66041b644394020172003dca2e51e1f26cc3e855a8001a,1736803070745,LAUNCH,Transfer,1,0x97634ac52d5bf7620aff17be184d87a2e8659104,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,0.038233,0
DUST,00000000000000000000000000000000000000031,1736380800021,BUBZ,Spot Dust Conversion,-0.01,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0031807000000000003,0
TRANSFER,0x226aa1090096f03f33f0041af3f0e601a70088fe065ff17de14118c903d452b4,1736331802287,BUBZ,Transfer,0.01,0x0ef5cbf621f37e75cfa17ecfb29dc836aa95eba0,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,0.00030555,0
VALIDATING,0x741ecd8a2dbe4711045a041a4d2c060163003a158a419147aac9ebcac7f34934,1735631718912,-,tokenDelegate,,0x493db0ed7514c975e9abcc110bd40c473b6763e3,-,0,-,-1
VALIDATING,0x80cf946dc8b1b4137175041a3fd72401ab00614554b0f4cd5f0be3624e194b97,1735553619090,-,tokenDelegate,,0x493db0ed7514c975e9abcc110bd40c473b6763e3,-,0,-,-1
VALIDATING,0xcc33b716469eb6819dea041a3fcb5e01b9003f69978bdcd14a12ab1afc3b2de5,1735553350361,-,tokenDelegate,,0x493db0ed7514c975e9abcc110bd40c473b6763e3,-,0,-,-1
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,1299.89995834,0x0000000000000000000000000000000000000000,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0,-,0
SPOT,0x812ddac19ed7141ccc410418801d9301f2003547eaf0b830c4e7f5f5b5d886bf,1733422247545,HYPE,Sell,-1,0x493db0ed7514c975e9abcc110bd40c473b6763e3,0xffffffffffffffffffffffffffffffffffffffff,0,-12.797,0
