class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
WITHDRAW,0xc0029ac6269acdff75568bab42b232c66ddbc6b61c0d7996fc68e75078df186a,1752148845667,USDC,Withdraw,-26999,0x4a207d289fd49e60502451099771127bcf35b961,Arbitrum,1,1,-26999,0
WITHDRAW,0x3fc09e056ef4e01714d57c53c753afe3d75630581675ecf25d232ac21cc2b21b,1752148815827,USDC,Withdraw,-499999,0x4a207d289fd49e60502451099771127bcf35b961,Arbitrum,1,1,-499999,0
TRANSFER,0x2136080e35c9a531a9d70427362891011f0039aa81a96c2dc998c5798a681a90,1752148552881,USDC,InternalTransfer,502602.96,SPOT,PERP,1,0,502602.96,0
SPOT,0x4a5ecdf21cd6e794b49f042736149a02011c004c1995e71e30a8326dd2c73461,1752148161807,HYPE,Sell,-362.71999999999997,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,41.348417401852686,0,-4842.85698,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1752143336068,JUP-USD,Twap,-434678,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,0.45910396370529194,,,
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1752142794003,JUP-USD,Twap,-162795,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,0.45947438877007385,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1752142298049,HYPE,Twap,-2109.14,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,41.6295544418992,,,
SPOT,0x334a6ec3fd7dd8209908042734be4501e3008fde0a7d3480c372e370ed1d60ec,1752141514689,HYPE,Sell,-1199.8999999999999,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,41.66016167180599,0,-4380.85635,0
SPOT,0x3724e1a636d06f3f04a2042734be0a01ba0034f177fc6d6f390e676a91124107,1752141510501,HYPE,Sell,-1199.93,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,41.66547709449717,0,-4255.05825,0
SPOT,0xb81308041608373e88bd042734bdd30201a300a151737d8fb309feed426b6820,1752141506796,HYPE,Sell,-1199.64,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,41.667449276449595,0,-1982.36145,0
SPOT,0x85f3ee68fa0b7da4c654042734bda002016d00285ebeae6625f785ed3b012cf0,1752141502956,HYPE,Sell,-1199.41,0x4a207d289fd49e60502451099771127bcf35b961,0xffffffffffffffffffffffffffffffffffffffff,41.67859301656648,0,-647.5828799999999,0
