class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,20379.93084094,0x0000000000000000000000000000000000000000,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0,-,0
PERP,0x59156c485c204d9a5405041d41a37c02029000dbe2d9b02e6bbc80d295550d30,1738857176175,SOL-USD,Close Long,-119.76,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-5660.2728,0
PERP,0x63ce12858651efbe98d2041d24539c02054900d5e065b042cd10da6327f90d34,1738700300643,SOL-USD,Open Long,119.75999999999999,0xffffffffffffffffffffffffffffffffffffffff,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0,12363.746399999998,0
PERP,0x415480273749498ab3aa041d240e92020259006a9fc97287dfdd456e8d57b7b8,1738698788253,SOL-USD,Close Long,-53.46,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-11326.5702,0
PERP,0x9970fa1cdacc4d84e557041d240e900205ce00127b17e8cd41e255b13362f173,1738698788029,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0x69376e31b1612237c929041d240e900205cd0076f4e1c3652e7c6ab8987623ac,1738698788029,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0xcb1bcae118ac48f72193041d240e900205cb00ac22976feeb5f236f71aaf75c5,1738698788029,SOL-USD,Close Long,-4,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-847.48,0
PERP,0x6366cff1cff8d8813ab8041d240e900205a50065a12a2b37949062356f5670e4,1738698788029,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0xbede96d57353c3ae84fe041d240e900205a4000a4764f9fc4e3cad01bcbd555d,1738698788029,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0xd498b30ba40f0cef7e66041d240e900205a300b2900472a32d1af2e3b6acce4c,1738698788029,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0xc30f36783f34820a7165041d240e8f0203d30092245d4dd6eda54a8f968dd868,1738698787947,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0x4696130d67caa005851f041d240e8f0203ce004b2e42a1c269ef9804db053a19,1738698787947,SOL-USD,Close Long,-4,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-847.48,0
PERP,0x97deef09f0f5a3a2a50e041d240e8f0203cd0039ca093a578516913d933c3ddc,1738698787947,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0x47ca60da9eeda4947ff5041d240e8f0203cc00eb074e48ad0c3722286b9854e9,1738698787947,SOL-USD,Close Long,-5,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-1059.35,0
PERP,0x7e3a8759c69fb061041f041d240e7c02037d0055d4fbffb9385527542d769ec3,1738698786589,SOL-USD,Close Long,-3.16,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0xffffffffffffffffffffffffffffffffffffffff,0,-669.5092000000001,0
PERP,0xace3c833346fb0213497041d240e47010900397f5a821317927c1e26f46a6b01,1738698782111,SOL,order,-104.62,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,limit,0,-22165.8394,-1
PERP,0xa0a3c9b1ec56908c451e041d1100fe0204f1000eb9b5feb057b5214a1849cded,1738597482070,SOL-USD,Open Long,94.12,0xffffffffffffffffffffffffffffffffffffffff,0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,0,19673.9036,0
