class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,63613.24494999,0x0000000000000000000000000000000000000000,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,0,-,0
TRANSFER,0x3d40661cef9ac4d6da510425b46ba702018f0065143001d729a56cc28c2f476e,1750188101822,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,0,-,0
TRANSFER,0x7bb572e903a8759b9e180424c061bf01d600e257a1f15f66d6074e0b7fed5d76,1748940751996,USDC,InternalTransfer,0.1,0x45e946f5fe127173c7219af0858ffbe52fd75331,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,0,0.1,0
SPOT,0xd38a0a2e5d2a7e0c38d104241ffeed02016d0130c2ce486346362ed81b35cf1d,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-13237,-1
SPOT,0x61aea24183758eeb825b04241ffeed02016d012f4f8ac91eccb8364b0b1c182f,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-13182.993040000001,-1
SPOT,0x0c4695f56ef58858c61404241ffeed02016d012ef1fdc1bc0a5b5ac2da8626d3,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-13128.98608,-1
SPOT,0xbdb4d9a9f65eb862866e04241ffeed02016d012df373a3dc9ab30065da3e9c8c,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-13074.97912,-1
SPOT,0x363bafae2e8f2358a36e04241ffeed02016d012c6806f4c21618f93a865abb28,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-13020.83979,-1
SPOT,0x2a086ad1534333c3627704241ffeed02016d012bddaac8d8069385fd3dd0f189,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-12966.83283,-1
SPOT,0xb3abff563066cc804c2704241ffeed02016d012aab580012c9295855ed0dd866,1748122562155,PURR,order,-13237,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,limit,0,-12912.82587,-1
