class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
SPOT,0x1955c2e9d8cdd486bce80427349a9b01bc006c9a3ffaceb4897e2cce66b74cc8,1752140819811,HYPE,Buy,3.46,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.75,144.455,0,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1752140819156,HYPE-USD,Open Short,-3.46,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,0xffffffffffffffffffffffffffffffffffffffff,41.779,-144.55534,0,0
SPOT,0x8679477c3172db3776450427349a7f02012c00b6affcdd3f42b5ef711be18613,1752140817587,HYPE,Buy,0.27,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.75,11.2725,0,0
SPOT,0xead2fc2293f124c4141a0427349a7201540012cbf71804f7ee76e3bc60de46f2,1752140816617,HYPE,Buy,3.51,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.75,146.5425,0,0
SPOT,0x7b17a6dc40cd7c41bd210427349a72015300b38d567e5e60899db8fd717887c4,1752140816617,HYPE,Buy,5.31,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.75,221.6925,0,0
PERP,0x4448ea2ad8f9aa985d7304273499da018b008015e5f86f12aed32ce857e67b8c,1752140805768,HYPE,order,-239.52,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,limit,41.779,-10006.90608,-1,0
SPOT,0x34f8c7f73a8c406b297e04273499c70201c10033227bb6847ed4eecfcf3078ee,1752140804242,HYPE,Buy,73.85000000000001,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.7488769126608,65.96342000000001,0,0
SPOT,0x7c635d3896ed4de959cf04273499be02015800af7c66b9dc4ea8a39c6ca5dd14,1752140803632,HYPE,Buy,0.41,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.748,17.11668,0,0
SPOT,0x8005fca9309f506cdcfa04273499be02015700bed1d6c6cb7f0fe8c967dce30d,1752140803632,HYPE,Buy,97.11,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.748,103.53504,0,0
PERP,0x3507338d56121699dc6904273499be020144009e2ddef51fd32534bafb75fa65,1752140803632,HYPE-USD,Open Short,-73.85,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,0xffffffffffffffffffffffffffffffffffffffff,41.778,-3085.3052999999995,0,0
PERP,0xcc7124954a13f1610cda04273499b7012e00bbf3ce2ba43bce2b924d0ee508d4,1752140803080,HYPE-USD,Open Short,-97.11,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,0xffffffffffffffffffffffffffffffffffffffff,41.778,-4057.06158,0,0
SPOT,0x7805b0f20182ddbb57b004273499b301340072606ec4d792555a2582b2026244,1752140802816,HYPE,Buy,1.83,0xffffffffffffffffffffffffffffffffffffffff,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,41.748,76.39883999999999,0,0
