class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
WITHDRAW,0x2e1499a95cc81857b4f3cd679f827ec8d66c93636604bb57bbdb860fa708d09d,1752024860885,USDC,Withdraw,-500001,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,Arbitrum,1,1,-500001,0
TRANSFER,0xa85fa7b76490a9cc5ce504271d57df01850020b102de97b9d041489c80861473,1752024597149,USDC,InternalTransfer,500000,SPOT,PERP,1,0,500000,0
SPOT,0x2150c781c19b6f4af10a04271d243b02011300e244f2d7ac979c1a25c114ba6e,1752023571324,UBTC,Sell,-0.0001,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109100,0,-10.91,0
SPOT,0xd4b068efe5f75b5acec704271d2428016200f9fbc8bc4578549c895116b9b1d4,1752023570163,UBTC,Sell,-0.0001,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109100,0,-10.91,0
SPOT,0xc1e2a792baa71fb3332404271d242602015400020e57ee50f5a2218a7bb6a604,1752023569997,UBTC,Sell,-0.06598000000000012,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109104.05941194268,0,-98.19,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1752023407050,UBTC,Sell,-0.00019,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109138,0,-20.73622,0
SPOT,0x97b92e28beb2e9fd668b04271d1b050201fd009ca65bf40fd229d53d24023140,1752023391615,UBTC,Sell,-0.0275,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109138,0,-3001.295,0
SPOT,0x877ebf3709c71be744db04271d1ad401ce004cfb0c9b95ecdcdc1ce1884a6c5e,1752023387633,UBTC,Sell,-0.00948,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109138,0,-1034.62824,0
SPOT,0x3488b99bf96c9088238704271d1acf0202e8004043c1bf62f5efafd55ad3ba66,1752023387303,UBTC,Sell,-0.0001,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109138,0,-10.9138,0
SPOT,0xd3a7f3df5c0ec2b5166f04271d1ac50201290094d4736a52073b0e1b7c1288d2,1752023386498,UBTC,Sell,-1.3142599999999987,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109146.89521860224,0,-1090.29861,0
SPOT,0x70ff2e26539cc5d2b25d04271893ab01c600ae7e732642c92197de8caa2e7dc5,1752000486240,UBTC,Sell,-0.00055,0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,0xffffffffffffffffffffffffffffffffffffffff,109002,0,-59.951100000000004,0
