class,hash,time,token,type,from,to,USDAmount,priority,fee
FAILED,0x67cbbd7568606045a1ed0426e708be012600cd59ecf766089e92b21de4c08b14,1751750204031,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x29f778180d427cd617450426e707bb010100d245f193dc75384fdf6f3b42c537,1751750183869,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x8349bb2777d05cc032e20426e6e30f010200ecb9b94197b6e416abd7a91a7acb,1751749434947,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x89c4d058856659d2d4a80426e6e0400000ce754759cea150d4e0594ba1e44927,1751749379287,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,"L1 eth api error: nonce too low: next nonce 71, tx nonce 70",-,-1,0
TRANSFER,0x57493fe60d231195d20d0426e6be4a010c009272c227b75a70a708d7f7763d90,1751748687137,USDC,Transfer,0x656c8da58d738295e03550796dd83900aa7c6525,0x45ab58a2034f03aa446baf3bb1d236706f866cbc,-1988.75715,0,0
TRANSFER,0xf23b9c2a8d7f4201a2ff0426e6bd0b018400dcf60ca8727ffdfef00ed886b0d4,1751748661182,USDC,InternalTransfer,PERP,SPOT,1965.53,0,0
REWARDS,0x8ff1a38866f4ebead5e30426e69335014d00ce3aafb315e0a8b8d9262322dee3,1751747818009,USDC,rewardsClaim,0x0000000000000000000000000000000000000000,0x656c8da58d738295e03550796dd83900aa7c6525,633.176006,0,0
REWARDS,0x830fa40d5f25136163c70426a1a5580126001138784d34d8d14b6c0dc7d43550,1751399848891,USDC,rewardsClaim,0x0000000000000000000000000000000000000000,0x656c8da58d738295e03550796dd83900aa7c6525,353.109614,0,0
FAILED,0xbd7a88e750a06f68554a0426a130fe010400546cadfffe44b490db7f49824705,1751397585612,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x74ebc798917417225f070426a12d5d0102003a478ac31a115d27c0ba8570d007,1751397515915,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x8e8fc443dba68190a36a0426a12c71010300467f9acd6d8e7764cb5410074be1,1751397498223,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x9ab4d1fcdf16b440a37f0426a1261c017b0060162b5dd8131469e50d40b8f404,1751397376360,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
TRANSFER,0xe8b15ad2a0aa831a97b10426a1227d01ce00c0be5257c6d63f5317c82a408a74,1751397306317,HYPE,Transfer,0x656c8da58d738295e03550796dd83900aa7c6525,0x2222222222222222222222222222222222222222,-5468620.0355,0,0
FAILED,0xfe3159130b1521f788c40426271cfd0103002c22f9834f9e98192f4062797f30,1750776599951,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0xff54048e18f6425a6aaf0426271827015d0093f42a3c793a0a2503b95152b035,1750776501427,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0xb995e545dc64f80e179004262717580203df008962fad41aff54394b6a35b53d,1750776486178,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x1adff1a8e35c33d66e5c042627152901010066e2d5103a909a5d8f5f8990563a,1750776440090,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
FAILED,0x607c47156a28f420fd2c042627143d0201f20057769cbd13b0f3fbc6d7887365,1750776421618,-,evmRawTx,0x656c8da58d738295e03550796dd83900aa7c6525,L1 eth api error: already known,-,-1,0
