class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
SPOT,0x7af8d6bd6164ef564a5c04272803fa019600263935312efe1997ba23a48b406a,1752078243911,LAUNCHCOIN-USD,Close Long,-2871,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,0.1285,-368.9235,0,0
SPOT,0x7fd57d7b264c72dcc1fd04272803ed0201cc00c2ec2968d86238f09e8d53ae15,1752078242773,UNI-USD,Close Short,5,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,8.1836,40.918,0,0
SPOT,0x9094e5ad101816e2651004272803dd01d700c0c290dc2abcf47c17a537cc8de5,1752078241676,SOL-USD,Close Short,0.3,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,154.36,46.308,0,0
SPOT,0x5953b861368a7450f9bd0426fa87a90201bb00f9ef9bbd5a98366852d9dcc12c,1751849551263,SYRUP-USD,Close Long,-635,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,0.5471528818897639,-61.824560000000005,0,0
SPOT,0x56dc6285b2acc9218b400426fa87970201000077c8aa016a1fcd1967f867005d,1751849550039,COMP-USD,Close Short,0.78,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,41.418,32.30604,0,0
SPOT,0xc137f1c2d90748cfac520426fa878501f0000bde735d633806369100acb9ffb6,1751849548838,AAVE-USD,Close Short,1.62,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,286.24,105.9088,0,0
SPOT,0x7c80721fc486fa2e7ca90426c9f12a01d9005ad4202dcb522da51be7faadd469,1751602141947,AAVE-USD,Close Short,32.629999999999995,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,276.6711406006111,1679.6502,0,0
SPOT,0x8b86118ca02145941e270426c20ca401cc0052f6e00e3e84e0e6467382bf8353,1751562114887,KAITO-USD,Close Long,-600,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,1.5726183333333335,-385.2625,0,0
SPOT,0x5d96796d5925dab202a40426c20c93020106002e839ed14f4199ad773111bff7,1751562113600,PURR-USD,Close Long,-15716,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,0.19160480783914483,-221.24025,0,0
SPOT,0xa95f6a9413e1e6a7baae0426c20c8202035b0013a841bf24589f98c9a3a3c09a,1751562112467,ETH-USD,Close Short,8.4977,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,2574.3,21875.62911,0,0
SPOT,0x208113eef278ac1e7b560426c20c700182009b6e0b667f8fe7580a2f841cb35a,1751562111220,BTC-USD,Close Long,-0.20796,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,109313.00000000001,-14386.683930000001,0,0
PERP,0xd56d8b13361d9727e8700426a924bb0201180039057fef1d444263e44cb5353a,1751437135203,PURR,order,0,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,trigger,0.1644,-,-1,0
PERP,0x749ea948bb7ab8630ab00426a73193020249004b4aa6cf82cf62b8ceb350d192,1751427455956,ETH,order,0,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,trigger,2207,-,-1,0
PERP,0x1de3e8270717bda520d10426a73124020118000e60a23b4eab81428ab813908d,1751427446913,BTC,order,0,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,trigger,97201,-,-1,0
SPOT,0x71f2df271a3fb28019520426a7307001e2009826747e24d1df307d7f5d2ad8f2,1751427433480,OP-USD,Close Short,513.4,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0.53284,273.560056,0,0
SPOT,0xbaa1e366b9cc76a9791e0426a7304d01d700614b0efc5acfa28152fc8e10a04c,1751427430943,MNT-USD,Close Short,180.5,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0.57387,103.583535,0,0
SPOT,0x7013860e14282dcd7e1a0426a7302a02021b0012a406b00c7377ad14fe438b99,1751427428506,ARB-USD,Close Short,1919.6,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0.32956,632.623376,0,0
FAILED,0x18c2ed444034c865f56a04269ea8320000c1b772faa434b5723b153053ea4b62,1751384916348,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,"L1 eth api error: nonce too low: next nonce 100, tx nonce 99",,-,-1,0
FAILED,0xdf56e8b55f1229c4f78b04269ea7c5019a002ef415fcb42d4cfaad1fa8e59611,1751384907532,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x9c91e67afdc9c06ab89604269ae380018a00a1a238a655179e22b96fbd310f71,1751365981085,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,"L1 eth api error: nonce too low: next nonce 98, tx nonce 97",,-,-1,0
FAILED,0xa79b2f8dcea0a96768d204269ae3320179009ec7dc17f0e7d290e45d6f60fe19,1751365974959,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x0d8ed95220e6d83a701604269ae2c30000a9c01f08b108b6cd07d6a020653154,1751365965810,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x8892c765e97de10fe97904269ae1040101006ca9244dff7f62575d27116ecae0,1751365928902,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x5057919356109ef0c84c04269ae07d0178001846df7b4fb8aa6b1bce49496259,1751365917825,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0xa8d28be183e5ecfbe75c04269ae02e01010054bcc88798955a8ae5c0e397244d,1751365912030,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
SPOT,0x004afd99c401e739332c04264b35b501e8004310d6374fcd0e1a30b72cb21162,1750959955442,ETH-USD,Close Long,-0.0726,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,2427.1,-176.20746,0,0
SPOT,0x4622a0b4940ee795a8f904264b35900204ac007bc352f2beb737c7f80f752a07,1750959952123,SOL-USD,Close Long,-2.4799999999999995,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,142.15608870967742,-137.8855,0,0
FAILED,0x06d537712f91bfe4ff4f0426216205010100989158c59462934da0c6b0c52ca0,1750747436568,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x7bb6db37b62d7105f8b9042621618702019f001b550eb6457ab90cfa4fc1207c,1750747427353,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x59432b40881c43ea790204261ef9ad01e300e0d9f99cc8cb0f805487dbda7da6,1750735346031,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x365f1111e5f20bc7dd5804261ef13a010600d7401200ecd813ae3b6bcf329aac,1750735182330,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
FAILED,0x31b0bdfd15882b28b84c04261ef0da02012f00805f1da170df99841169cc0d2a,1750735175175,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
SPOT,0x24be9a32db9265d41ddc0425f3f1bc0201d000bd51b318fe8e82b3822c24024c,1750513416605,SOL-USD,Close Short,6.709999999999999,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,141.20000000000002,197.67999999999998,0,0
SPOT,0xb4b2d2696ea0430406420425f3f1ae020268002c42a112ef1943fc6b042f5753,1750513415289,ETH-USD,Close Long,-7.6114999999999995,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,2433.1,-18216.863009999997,0,0
SPOT,0xf106282b45fae2516cd60425f3f19e0203a20068d2082092dfd73942fd9ae08e,1750513414084,BTC-USD,Close Short,0.00112,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,103715,116.1608,0,0
SPOT,0x658f223683552171dac90425f2d85101710066935962ac8dc593c2a8768918a3,1750507746064,MNT-USD,Close Long,-453.8,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,0.63833,-289.674154,0,0
SPOT,0x13b031b224312876f0c10425cf3f1d01b7000edfeee15c7477406fd6c29b4fdd,1750325355609,MNT-USD,Open Short,-24331.6,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,0.6153340745368163,-8208.24448,0,0
FAILED,0x64baa39a1fc68127febf0425cd70c7013d001a4f0756c19ef87630097939fb4a,1750316078806,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
SPOT,0x86e9d2f27ca9cd49301e0425cd6ebf020166003ec743bcebc2fd8056513558bd,1750316036882,USDHL,Buy,22977.02,0xffffffffffffffffffffffffffffffffffffffff,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,1.0009999999999997,3368.6452799999997,0,0
FAILED,0xa8d85fad76a1e3284d950425cbc7b101eb00690e9b487f302c94120a394c4921,1750307607711,-,evmRawTx,,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,L1 eth api error: already known,,-,-1,0
SPOT,0xb044eb72fc8080d4c80f0425cb5be501bc001b0f630f08c26f0106c6dcbe8336,1750305468342,HYPE-USD,Close Long,-8.55,0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,0xffffffffffffffffffffffffffffffffffffffff,38.448,-28.836,0,0
