class,hash,time,token,type,amount,from,to,px
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1752149309004,UBTC,Twap,6.663649999999924,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,111181.63774014515
WITHDRAW,0xa54a18a16f4ef0a73618e3e3a8882bc85794fdbdac5822146cace5a4a23df227,1752074414151,USDC,Withdraw,-499999,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,Arbitrum,1
WITHDRAW,0x0132fe970d7fd6e1130c363f637a541a32fb5b1919a0d6151ae9a83041138d75,1752074211217,USDC,Withdraw,-199999.004414,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,Arbitrum,1
TRANSFER,0x0bb5cdafba930eb5de2f04272730ea016600a7df0b30e29b46067c7fd326d973,1752074174774,USDC,InternalTransfer,500000,SPOT,PERP,1
TRANSFER,0x8b8700763a4835db1e3d04272725af01280080e2e37307724858aa3a1988b741,1752073954733,USDC,InternalTransfer,200000,SPOT,PERP,1
DUST,00000000000000000000000000000000000000264,1751846400068,USOL,Spot Dust Conversion,-0.00009177,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,0xffffffffffffffffffffffffffffffffffffffff,151.9
FAILED,0xf1f410dd6b23483316af0426cd61f701bf0061295ceaa986b6c676aee200925a,1751619385321,-,twapOrder,,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,TWAP order value too large. Max is 5000000 USDC.,
FAILED,0x09f0c69582f467c0648f0426cd617601e800bad7b5b4f4d4e6cf0cacc03894ad,1751619376237,-,twapOrder,,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,TWAP order value too large. Max is 5000000 USDC.,
FAILED,0x84ff303810036c0af0030426cd611701b100d82215b17b0512e5a00a87d281b2,1751619368905,-,twapOrder,,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,TWAP order value too large. Max is 5000000 USDC.,
FAILED,0xfd514de11c4b786c0b380426cd60a701d2009eebf6aa9d24c50572be5997bd64,1751619359581,-,twapOrder,,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,TWAP order value too large. Max is 5000000 USDC.,
FAILED,0x819339f0989160bd72950426cd5feb0205a70061dcb04e40a447864be3c44158,1751619345101,-,twapOrder,,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,TWAP order value too large. Max is 5000000 USDC.,
TRANSFER,0x30ea4c07358fdfed20d00426cd0fde020152000a9cc287e24871d67307757888,1751617787746,USOL,Transfer,49392.91999865,0xa822a9ceb6d6cb5b565bd10098abcfa9cf18d748,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,157.265
TRANSFER,0xc9f798c8f77e2a7ef4490426ccda6e0201cc00bfa250c76dd9e2d03e15c0d730,1751616729600,USOL,Transfer,49.99809312,0xa822a9ceb6d6cb5b565bd10098abcfa9cf18d748,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,157.265
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,2415.70365766,0x0000000000000000000000000000000000000000,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,
TRANSFER,0x00cb4fd3964c664a804e042564e20c0201020004693541d15aed0ca3e0a1e135,1749781532314,USDC,InternalTransfer,-5311469.07,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,0x567110130473121dedea5308f007f15fe58356db,1
VAULT,0x4e18597a6613d152861c042564d95202024a00bc1fd95c6675e8f848e3944599,1749781349554,USDC,vaultWithdraw,5311469.071318,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,1
SPOT,0xb5644cf29ccf25571e11042563f8d90205f600217fc19314484d140e4c6c11c3,1749776661214,HYPE,Buy,13.79,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xf55370731a8524046ae5042563f8d90205f4000f5cf16fbcd4e73af06aed5d40,1749776661214,HYPE,Buy,1087.42,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x51646476a2231d81fc06042563f8d90205f20031256083994881b369fc15b6a3,1749776661214,HYPE,Buy,186.19,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xeaa9ab359415ca859003042563f8d50207c100c5e13c8c3c8d9a2b2c5bbba11b,1749776660894,HYPE,Buy,4.93,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xf9dc4d66df1954a8b6bb042563f8d40202220024c0ac9e65c31c180b344dbf81,1749776660794,HYPE,Buy,3.9,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xcfde2f1f590b22fb3123042563f8d30205e100dd52054d8fa1a4af7b1585db6b,1749776660685,HYPE,Buy,37.5,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xfa0100334b98eb2a2c30042563f8cf0202a200dc5c26f13b199c6e8447882721,1749776660323,HYPE,Buy,9.93,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x62fb0d7db98af9475196042563f8ce020b8e00ea9cf4366462d5c72d43494b77,1749776660258,HYPE,Buy,56.61,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x8f36478a2dd54790cd1e042563f8cc0202d100744b4f0a9bbaaa2870d43cc274,1749776660122,HYPE,Buy,43.18,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x166150929a53815faa6f042563f8cc0202cf00c41da0517aae4cd2b42e1488a4,1749776660122,HYPE,Buy,39.31,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xabe67a440e64d3097010042563f8ca02033e005c8e08b72dfc6a9a87b774f3fb,1749776660000,HYPE,Buy,3.9,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xec1ff0f57d0332239776042563f8c30201b200c3f29a2541d6976da63dc804db,1749776659400,HYPE,Buy,13.1,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749776659039,HYPE,Buy,63.63,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xb0394e5f6aeb1c0434a2042563f8bd020307006756d5a65472d8a9ebbc7be3c7,1749776658972,HYPE,Buy,13.1,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xfed7829640913441b5a9042563f8b702018c00abeb7ba3ed2533505bdec05ce5,1749776658527,HYPE,Buy,3.07,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x30027713c694e17413ec042563f8b702018b00549e5b7eb19ac72ed704d4926e,1749776658527,HYPE,Buy,21.47,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xc6e8e7a5c1608ea95e87042563f8b402025600603107107b0d8fd1b2d564c095,1749776658317,HYPE,Buy,13.1,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xce745141d5328e0f3f67042563f8b30206ab00085f5ab57a6434a2c4354d0ee9,1749776658247,HYPE,Buy,53.19,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x2fbcf6d43bdb634cbe97042563f8b30206a700a79f3d29dfed2e522beea43e8a,1749776658247,HYPE,Buy,64.22,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xbb6648f528a2634d00c4042563f8b30206a500cd1a209b68a10a666b35906b62,1749776658247,HYPE,Buy,63.34,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x19e3fd47955bdf5338f3042563f8b30206a30050c7adaec191999f0bac8cd163,1749776658247,HYPE,Buy,380.2,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x0c4e37587f81953b4621042563f8b30206a20024f9bbddbcaa43dbe8e24c517b,1749776658247,HYPE,Buy,118.85,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x53e4253cb9d87518d088042563f8b20203a200677d1398896b2b6657cc043287,1749776658158,HYPE,Buy,42.35,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xedf42890a85857ebdf1e042563f8af0203c90090387c284b763873dbc311033d,1749776657941,HYPE,Buy,13.1,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x162692567b8406d1c636042563f8ae02025c0044e3a4b7b5a11036249af47ee1,1749776657766,HYPE,Buy,55.75,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xfaff128c419d5c674d2b042563f8ae02025900b3f7edb7aec0e56187c510905c,1749776657766,HYPE,Buy,25.89,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x10d9af8c8e8af73c52b4042563f8ad0202a9006285cb83e4feb7986ffec79a95,1749776657721,HYPE,Buy,22.15,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xcfdc384f8518064892be042563f8a902047a0047bcccf1fbe5224d4c4023ebe3,1749776657316,HYPE,Buy,299.39,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x3646f14674429b60a51b042563f8a702028200ba94932855939fe967c0672e7a,1749776657134,HYPE,Buy,400,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xeec953b8a7fe9dce7072042563f8a6020a4c0018b007832d57a378594f2f3808,1749776657074,HYPE,Buy,3.9,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xe7f1c6cb6955b96a4946042563f8a402030700e2de1cfb056211de02708f8980,1749776656776,HYPE,Buy,55.38,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xb76f58452b82cce12826042563f8a301f200297d8630e570c675bbc636cddc06,1749776656699,HYPE,Buy,3.9,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x0681481dbc227c0dc92f042563f8a301f00099eb1c7236666906166d33f56e92,1749776656699,HYPE,Buy,615.15,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x5a70c0d9d96b76491d97042563f8a10207f50017820ec5c7e804eca1a924a5d0,1749776656533,HYPE,Buy,778.56,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xbffcbf922722e874bd03042563f8a10207f3005fe2bcd812b7043522f10db06d,1749776656533,HYPE,Buy,22.25,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x18fb83027b15c1fcfdf0042563f89f02047b0066fdf8d7c1cb4f5bbd4ddbb814,1749776656245,HYPE,Buy,7.5,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x6ed59d27bf88bfb7fe38042563f89f02047a00a4bfc1c112e073968422bd8974,1749776656245,HYPE,Buy,3.9,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x7fbdc8311f1dc0a08040042563f89f02047300e0a0f9cf5e7d8100c8bf52a010,1749776656245,HYPE,Buy,101.65,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x1b1287cc756ab9e3defd042563f89f02047200d04a90c68713d9d7fa48f3c60e,1749776656245,HYPE,Buy,42.3,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xd4de3ec32d80ce4ed190042563f89f020471009f753c615d02a26890ca0750b1,1749776656245,HYPE,Buy,86.52,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xa80cf353579dfb2d62e6042563f89f0204700080b8a48a1d6d4c7c543cacdd64,1749776656245,HYPE,Buy,38.46,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xc35a9bde7a948c17f3f2042563f89b0204f30028b8813b3d342a6cff79927a68,1749776655894,HYPE,Buy,38.46,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x174b9863c0c3a03b0565042563f89b0204f200306761f281e4566142ad6aaa81,1749776655894,HYPE,Buy,42.3,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x81b69991c9f731b157e3042563f89b0204f1001241cee653d2a575e46d774736,1749776655894,HYPE,Buy,38.46,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x2f115f942cbb64dc2996042563f89b0204ef001afca5bed6544726aa4a550946,1749776655894,HYPE,Buy,36.53,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x929d3933a855cbdd9ce9042563f89b0204ee0006121de9747861c5310d17be26,1749776655894,HYPE,Buy,34.84,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x403eb3a3707960741d45042563f89b0204ed00a6184aba898844a97e875994db,1749776655894,HYPE,Buy,6.04,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x14bbc729890bef9b7136042563f89a0204ce0043692b26211a75d3a017a7c699,1749776655841,HYPE,Buy,130.72,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x60254efa8a6ee051fa74042563f89902047000bbe7212dfd55d9569253ad0920,1749776655755,HYPE,Buy,74.98,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x1a5d7feca96f3080e336042563f89902046d00d9a57a4a001eb94b0f2f601943,1749776655755,HYPE,Buy,30.46,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x52e88aec580076308b1e042563f8960205f800d94efe100697bc0ef4d039e99c,1749776655411,HYPE,Buy,3.55,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x859ea5aac10806213a43042563f88f02049800fc558206268a6ef724eefdafc8,1749776654805,HYPE,Buy,7.36,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x32e4f8b569c39e697162042563f88f020497007a34ba38873d584efed92427a6,1749776654805,HYPE,Buy,72.29,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xbedeb3c208ca0d141041042563f88f02049600659bdfb0969ffd47730885e022,1749776654805,HYPE,Buy,446.95,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x0a8550b9e83fa9e6be9a042563f88e0201b10089059ad593b5a7976dbef426d1,1749776654804,HYPE,Buy,81.21,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0xe863485c01743d9140ef042563f88e0201b00059978859da0ba712849efa9c11,1749776654804,HYPE,Buy,401.78,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
SPOT,0x251019b7636f684e4784042563f88c02079e004d30695e0b2fa0df6459f96ebb,1749776654661,HYPE,Buy,29.23,0xffffffffffffffffffffffffffffffffffffffff,0x7be1cba648ebe1ab8084244d23f28d68a86480d8,38.1
