class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,170.64380332,0x0000000000000000000000000000000000000000,0x7dacca323e44f168494c779bb5e7483c468ef410,0,-,0
SPOT,0x92bd56b63cc60c6c147e04246b59b0015400fa7a4c1521c0682a362909ed96eb,1748504573934,PURR,Sell,-8872,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-1388.0053599999999,0
SPOT,0xe720068d105cdec0716f04246b477702018b0005800ba86a0152add9213b3c5f,1748504215554,PURR,Sell,-10948,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-2675.1438000000003,0
SPOT,0xc8ca7ffcfa1ae22cde3304246b2aad02013c00d45d6cda88cf1254b121be09f3,1748503643501,PURR,Sell,-6599,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-36.3885,0
SPOT,0x5785d653a9ac0dd90b7b04246b185a0174005e12d65aa3889ecd2579e38f0f1b,1748503273169,PURR,Sell,-13389,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-1181.1489000000001,0
SPOT,0x78f04c778fe06ccf72bd04246b024802024f00149d6d7a605c2d5c6fc9c5523d,1748502836739,PURR,Sell,-17192,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-2265.09024,0
SPOT,0x03428f583dc42adb29cb04246ae9e50201d200cf748c5fe7c86f5ecf254a9886,1748502339113,PURR,Sell,-5170,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-112.0997,0
SPOT,0xd4c8c6357333b9244bf104246ad5df02018700cd7c742ede6b102c808cb9bcad,1748501937803,PURR,Sell,-7151,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-961.019,0
SPOT,0x1cf0d147373b3708758204246ac08301a700f15b73b069d7883f31a032604794,1748501507319,PURR,Sell,-12179,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-908.19792,0
SPOT,0xc252b64c7582868e208304246aaa0f018c006fabc4564fcb0749313d58de7491,1748501057383,PURR,Sell,-97,0x7dacca323e44f168494c779bb5e7483c468ef410,0xffffffffffffffffffffffffffffffffffffffff,0,-23.20531,0
