class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,6423.1273659,0x0000000000000000000000000000000000000000,0x807a2e2e469df84b299da5f90f15dda4380daca1,0,-,0
WITHDRAW,0x274e4bd6d208f7ba3438b1fcefc0e8de8cd20c3076c0dfa54848124ae2124963,1749462166196,USDC,Withdraw,-5699569.922439,0x807a2e2e469df84b299da5f90f15dda4380daca1,Arbitrum,1,-5699569.922439,0
TRANSFER,0x3e668bdc9dc9ae35766a042525615a02011300488ebb0246814ff8f2ccc76310,1749461874044,USDC,InternalTransfer,2712791.83,SPOT,PERP,0,2712791.83,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749215838120,HYPE,Twap,-19138.969999999837,0x807a2e2e469df84b299da5f90f15dda4380daca1,0xffffffffffffffffffffffffffffffffffffffff,,,
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1749215830005,HYPE-USD,Twap,19024.979999999905,0xffffffffffffffffffffffffffffffffffffffff,0x807a2e2e469df84b299da5f90f15dda4380daca1,,,
WITHDRAW,0xa75e233ba1ceae270fcf4e450a4294ccb58468068406a1194f3fe91278665a25,1749043154226,USDC,Withdraw,-3389999,0x807a2e2e469df84b299da5f90f15dda4380daca1,Arbitrum,1,-3389999,0
FAILED,0x512ab2752974107c58190424d47c5c02012400ae418badf70e53e05049b57f00,1749042877558,-,withdraw3,,0x807a2e2e469df84b299da5f90f15dda4380daca1,Insufficient balance for withdrawal.,0,-,-1
FAILED,0xe09e9d6d0726606522cf0424d47a1f02038b00bb3480022785f539c67fb63ba3,1749042834008,-,withdraw3,,0x807a2e2e469df84b299da5f90f15dda4380daca1,Insufficient balance for withdrawal.,0,-,-1
FAILED,0x124abb9513d6b5f0a20b0424d478ae02042800275db7252ace338184d7b1434b,1749042803110,-,withdraw3,,0x807a2e2e469df84b299da5f90f15dda4380daca1,Insufficient balance for withdrawal.,0,-,-1
FAILED,0x296f197a54ead999e7370424d47734017800da47a91936f4e511f1a997c99bac,1749042774038,-,withdraw3,,0x807a2e2e469df84b299da5f90f15dda4380daca1,Insufficient balance for withdrawal.,0,-,-1
TRANSFER,0x878f726b6191f0676a740424d475b8020136000ef59082f06f05626b57303c2d,1749042743934,USDC,InternalTransfer,3398740.58,SPOT,PERP,0,3398740.58,0
TRANSFER,0xa1b0ec951259dd2af1e30424d47318017f002fee38094610d227021ddb8656ae,1749042692581,USDC,InternalTransfer,998000,PERP,SPOT,0,998000,0
