class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,15644.88289978,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
TRANSFER,0x46437e25af5a532a7b75041ba29bb8018500f5a3b7a83e42e31cab4905d0db84,1737069401561,SENT,Transfer,6849,0x6dc420ebda65bd5f5c1dbb9a275d221fed4d0883,0x8196e0648cb16e9151c2920618a58605706b5836,0,0.321903,0
TRANSFER,0x1a4a8d10e2c52165336e041ba2785b02012800d1382742112ba2a75792980212,1737068825342,SENT,Transfer,1975,0x6dc420ebda65bd5f5c1dbb9a275d221fed4d0883,0x8196e0648cb16e9151c2920618a58605706b5836,0,0.09282499999999999,0
TRANSFER,0x0ea867a6242b244894f8041b6ccb74017e00c1a55b16cf4b47b8ca1934f9b16f,1736845735306,LAUNCH,Transfer,0.5,0x97634ac52d5bf7620aff17be184d87a2e8659104,0x8196e0648cb16e9151c2920618a58605706b5836,0,0.0191165,0
WITHDRAW,0xd304b8673b00d781fc2a2cde0ffd1a44b30d3dbb5736bf438790cca49d3fc423,1736133646417,USDC,Withdraw,-999998.999999,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-999998.999999,0
VAULT,0xda836ae6847c31dfa9fb041ac41ecb01f800ac0faf78926baef2ec3490d28100,1736133174316,USDC,vaultWithdraw,999999.999999,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x8196e0648cb16e9151c2920618a58605706b5836,0,999999.999999,0
VALIDATING,0x4f1cb9cd1615303a9423041a62a592012500af346e6a5a4bc3e561f07268485c,1735727796088,-,tokenDelegate,,0x8196e0648cb16e9151c2920618a58605706b5836,-,0,-,-1
SPOT,0x56b1d16f8c2331499f9c0419def94d014700462c7f0f854c57d6de4d840f7611,1734976787221,HYENA,Genesis,0.82983372,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
WITHDRAW,0xc0c82210bf0465be51cc370f2aa7ab4aa671ca51192c805f09e4043055114b9a,1734963308296,USDC,Withdraw,-566252.06,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-566252.06,0
TRANSFER,0xaa9482e47dc4b0435dbb0419dca74501d500fe6877e8925a9baf4a3b697a23c0,1734962975709,USDC,InternalTransfer,566253.06,SPOT,PERP,0,566253.06,0
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,6612.45937955,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1734318543000,PURR,Twap,-723420,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1734317621026,PURR,Twap,-6393,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1734317598016,PURR,Twap,-270187,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,,,
WITHDRAW,0xd28bb4c1fb5cde320893b9ece0c56192551135f32bf6a2617aa073236ef59818,1734313489010,USDC,Withdraw,-2527261.73,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-2527261.73,0
TRANSFER,0x4299a70cb9b7ad20874304195672e2017c003d621c1c8cc17a1160544614208c,1734313193136,USDC,InternalTransfer,2527262.73,SPOT,PERP,0,2527262.73,0
SPOT,0x34d228675ad6b06d291e041956642401a400eaf7bccd21da7a7c47ea2fd63565,1734312954000,HFUN,Sell,-84.36,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,0,-10940.0476,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1734312917029,HFUN,Twap,-124.07999999999996,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1734304065061,HYPE,Twap,-3016.890000000002,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1734304061023,HYPE,Twap,-3012.390000000001,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,,,
FAILED,0x4fdb4840959a862ac4e90419444488018f0053683eabacbe11bd35b255c8b93a,1734237417161,-,twapOrder,,0x8196e0648cb16e9151c2920618a58605706b5836,TWAP order value too large. Max is $2000000.,0,-,-1
WITHDRAW,0x7c17a3b3ab74203bacee3a98521f09283d914e56467b1ee48ace285e860e355c,1734236293841,USDC,Withdraw,-2364317,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-2364317,0
TRANSFER,0xb5bd930f72316244ee0d041943ee1d013f00fd9b72669700aa599633bad63bbc,1734236013027,USDC,InternalTransfer,2364318,SPOT,PERP,0,2364318,0
FAILED,0x6b2c10573bed5eaf054704194337130186009b84ebcd8d7e7a8055b85bd520c3,1734233039677,-,twapOrder,,0x8196e0648cb16e9151c2920618a58605706b5836,TWAP order value too large. Max is $2000000.,0,-,-1
WITHDRAW,0x4bfe3b462a739869d198b31b50fd1fd639438f56a833fc55ce01bb808db208e1,1733994185715,USDC,Withdraw,-488521.24,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-488521.24,0
VAULT,0x4da7a9310f231a86bbbc0419098e0c017a00085ed6e1bbd06bc6a6b8184d3268,1733993721339,USDC,vaultDeposit,-1280649,0x8196e0648cb16e9151c2920618a58605706b5836,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,-1280649,0
TRANSFER,0xe0541c378fd501645d81041908ee64013e0038438a41a6f4bf12cfe36030f316,1733991117131,USDC,InternalTransfer,1769171.24,SPOT,PERP,0,1769171.24,0
TRANSFER,0xf60c8dc06a2c19d0ea4f0418eba98901f50057888b96c5403bf5283f958fb085,1733869124582,USDC,Transfer,0.003483,0x96dc669b5d463acda704eda27ea12add47643ea4,0x8196e0648cb16e9151c2920618a58605706b5836,0,0.003483,0
SPOT,0x71e7fef118fbff4f997e0418662f05019f00aca3a5e3c90e979a2900b4c5b0f2,1733313887955,BERA,Genesis,29408.61605,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
VAULT,0xe7cdd2054ef6d6ebd7e20418610e5f0201c6005f4cb0208493e9a66de6659eb4,1733292528518,USDC,vaultDeposit,-2719351.85,0x8196e0648cb16e9151c2920618a58605706b5836,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,-2719351.85,0
TRANSFER,0x68e919903a336f968a5e04186108c402013d00f80451f0324e180397b8566a8a,1733292438748,USDC,InternalTransfer,2719351.85,SPOT,PERP,0,2719351.85,0
SPOT,0xb7d2abda86cc83ac4b2f041853e9b60202480053091e7c024d39c65aeedf1306,1733238002403,MUNCH,Genesis,115550.58008,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
SPOT,0x74410b7bacb6fc88d68a0418342e4c02014c00d94ef2e29f5db33d6cb68f8e5f,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38440,-1
SPOT,0xd5080db7514328b4fcb20418342e4c02014c010140c65aff4856a2ddde9117b0,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38480,-1
SPOT,0xdf1380a1cb2623b21cd50418342e4c02014c010261a0f60f4a1044d8006d8313,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38522,-1
SPOT,0xfe51ab3daa493aa1849b0418342e4c02014c010309acf101b9307a05d22ac995,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38562,-1
SPOT,0x431443bddba8b87fcb090418342e4c02014c010485acf3e620804e7728d07256,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38602,-1
SPOT,0x193020582375e0c24d410418342e4c02014c01055de68f3a29a576c580cd8a24,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38642,-1
SPOT,0x2f2382a036942a1d81250418342e4c02014c010647b6de10a83443d908ba7f75,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38682,-1
SPOT,0x97aad73567dab900fe730418342e4c02014c01074fca1b977c379de35960140b,1733105992910,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-38724,-1
SPOT,0xa1b9304a1400e3e8f1790418342e4402017a01072e91deeeb5ba1499dc1a04cd,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36702,-1
SPOT,0x2065d0a622f33644d1860418342e4402017a0106ca3870f8c3903c890def7e46,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36662,-1
SPOT,0x02619a87e546636e32770418342e4402017a01050cabb8eeefba9d1090f9e4f8,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36622,-1
SPOT,0x85e9e4f8a94bf945456c0418342e4402017a010468c8172e32b87ae26e92cb6c,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36582,-1
SPOT,0x4ad8b10a0aadd681f0490418342e4402017a01031ca93ab2d0cd0a102b8148cb,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36542,-1
SPOT,0x397bcd6dbb213fbeea900418342e4402017a010206d834747308b77da72b7f96,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36500,-1
SPOT,0xc812efc64c83c4e9569e0418342e4402017a010117434cbafca4eabb8379be4b,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36460,-1
SPOT,0xe733adfc2691d2d4f3eb0418342e4402017a004a40deef582f183126efc885f2,1733105992382,HYPE,order,-2000,0x8196e0648cb16e9151c2920618a58605706b5836,limit,0,-36420,-1
SPOT,0xe614ab1cb91c996ff3ac04182aa63001f300e8ca8ce7e8cd309dece0b6cad171,1733066300492,PEAR,Genesis,491675.15889,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
WITHDRAW,0x3def5faf3b7f2ef929e3309cb0627a6e4da51988fabe648ed92f118b09b602aa,1733038855079,USDC,Withdraw,-2499998.77,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-2499998.77,0
TRANSFER,0x7d836dbd3ade496c2428041823fa2901970058e4967390ddf6afa1b5b474d5db,1733038577843,USDC,InternalTransfer,2499999.77,SPOT,PERP,0,2499999.77,0
SPOT,0x12855a37b9cb11cffacd041823eca901b10012cdb4cca578caca3c4d8d246c10,1733038358772,PURR,Sell,-203,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,0,-31.388420000000004,0
SPOT,0xed65fff9da32fcdce835041823ec050201cd0018da1d57adb6714a007b8a2a61,1733038348378,PURR,Sell,-59356,0x8196e0648cb16e9151c2920618a58605706b5836,0xffffffffffffffffffffffffffffffffffffffff,0,-53.44,0
WITHDRAW,0xc38baefc347d4acb86625fa725c30fd2fe2509662769cfe5e972b7a8f47bad0f,1733035009649,USDC,Withdraw,-213766.742831,0x8196e0648cb16e9151c2920618a58605706b5836,Arbitrum,1,-213766.742831,0
SPOT,0xcc96062e54105a8a27ef041823112601cb0049da812399045348688beeab1040,1733034784325,NEIRO,Genesis,437128.478404,0x0000000000000000000000000000000000000000,0x8196e0648cb16e9151c2920618a58605706b5836,0,-,0
TRANSFER,0x8592ae48199f0d3c1f94041823028402012a0001d38132689e63e6e59edeee01,1733034544155,USDC,InternalTransfer,213767.74,SPOT,PERP,0,213767.74,0
