class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
WITHDRAW,0x46133c8c1b2ef7030caeb478c61e3486594aaf72265ffe5243a308ade2544f6b,1748592128069,USDC,Withdraw,-9509411.02,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,Arbitrum,1,1,-9509411.02,0
WITHDRAW,0x836c84a9bc9a539ed60006d72430f8f16b05467b084ee31589b1f0f327d8cc5f,1748591767226,USDC,Withdraw,-4999999,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,Arbitrum,1,1,-4999999,0
FAILED,0x380f6d26116a29c564b704247c6f0102014600573b145742461573448d247b9c,1748591496763,-,withdraw3,,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,Withdrawal amount over single withdrawal limit.,,0,-,-1
FAILED,0x3137081e23eee2f87cc104247c484101d3009b26b571565d25f42dee6e48a3ca,1748590736311,-,withdraw3,,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,Withdrawal amount over single withdrawal limit.,,0,-,-1
WITHDRAW,0x3f442e47f2365ce750bad74fb0148100ce3f978c9c89a281eb08bf840380c7ed,1748590607050,USDC,Withdraw,-99,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,Arbitrum,1,1,-99,0
TRANSFER,0x944045c867ec7eebaae304247c342a02025c00dba0cb4ae2a91c9e7cdb1f0755,1748590334548,USDC,InternalTransfer,14509512.02,SPOT,PERP,1,0,14509512.02,0
SPOT,0xc7f452bee3a3772ae96f0424353b4701ff001633cfec312d92eae5e7658ab0ad,1748230953207,HYPE,Sell,-17.94,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-681.72,0
SPOT,0xac269b375619f95ccd860424353b3c01ea0039ea4d96ce4669b2b4864086d7d7,1748230952395,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
SPOT,0xbdfc9da05f476bb725870424353b3902018a00d16b4337063c49670e5f9505a1,1748230952159,HYPE,Sell,-20,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-760,0
SPOT,0x397f2d0f6ef093deaac40424353b3902017c000d4504f7c62ce64293f026847c,1748230952159,HYPE,Sell,-89.27,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-3392.2599999999998,0
SPOT,0xbe108fde8eb20d2e1ed90424353b340201660079c0a9d9d95727b67dd7589c7b,1748230951801,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
SPOT,0x70a2b665d4e3ec869cf10424353b3301ff00651d7fe20ea7eb88370a2c0507ff,1748230951711,HYPE,Sell,-10,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-380,0
SPOT,0x1abbf5c700cd07f497670424353b2601d400acc441372436caa15bfc75186aa7,1748230950506,HYPE,Sell,-4,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-152,0
SPOT,0xadb52f97b6577fb8c5e90424353b2402023b0037f4bcc146fada080bc5c09b3b,1748230950345,HYPE,Sell,-20,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-760,0
SPOT,0x557cb4a3e794ee42bf5b0424353b1201c1006554781829fadac2d84130bb98b4,1748230949119,HYPE,Sell,-0.53,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-20.14,0
SPOT,0xd938b923c3bb711fb3ca0424353b1201c000637d73ca606e416352631bbb6eac,1748230949119,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
SPOT,0x876f35a6adc96c556dfa0424353b1102010c00daa11fb4e78dcc0680202d9ec7,1748230949055,HYPE,Sell,-75,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-2850,0
SPOT,0x1d60e1a20776d08385570424353b0e02010700e5ee4093055b51f70865b3c164,1748230948854,HYPE,Sell,-8.6,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-326.8,0
SPOT,0xd4146166e36fbca70ca90424353b0c01a70012f274db1240d415a0bae4ebb1d6,1748230948714,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
SPOT,0x21d6907df049236c98970424353b0b0201d6001707baffabe631df164e6372df,1748230948655,HYPE,Sell,-24.87,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-945.0600000000001,0
SPOT,0xb13a0da5a7b776c1c73d0424353b0b0201d500d4ff990154331e63dbf6b3c4b4,1748230948655,HYPE,Sell,-12,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-456,0
SPOT,0x1c9e4dc7fd38ca73c91f0424353b0a01b700636e6c09a163064e731a8c1696d9,1748230948584,HYPE,Sell,-11,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-418,0
SPOT,0x2061d7786b58361ad25d0424353b0902024e0048e658a602a18be0ec3b9ecdc0,1748230948506,HYPE,Sell,-20,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-760,0
SPOT,0xdff773a6cc813cda32e90424353b060201c200815e34cb3a0dca854608548b43,1748230948304,HYPE,Sell,-3.08,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-117.04,0
SPOT,0x4bbd9e117b7c139f3fb20424353b060201bf007ed989034a94852cbc6fe6025c,1748230948304,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
SPOT,0xc9e36a224e9eaf72d7960424353b000201a5005578dd15daf2eee6d94af842ce,1748230947918,HYPE,Sell,-13.27,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-504.26,0
SPOT,0x4dcad78aabb3845a932e0424353b0002017f002c771356e6c994b45b8fa5477d,1748230947918,HYPE,Sell,-125.76,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-4778.88,0
SPOT,0xb67ddcca22c53679f3040424353b0002017e0021e3242fbf828a1293c546b7c9,1748230947918,HYPE,Sell,-8.62,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-327.55999999999995,0
SPOT,0x6c9a218fc80b3c04e6780424353aff02017400f89289800645691e8b67aa4c1d,1748230947852,HYPE,Sell,-63.33,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-2406.54,0
SPOT,0xa6ade562a0fcf1881fc40424353aff02017300253964b54792f0766300b197eb,1748230947852,HYPE,Sell,-501.13,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-19042.94,0
SPOT,0x8e7344c6ad12364e7d7f0424353aff020172001828b0bceb5f31e1f6ba242cce,1748230947852,HYPE,Sell,-11.5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-437,0
SPOT,0x545c3176a59b6ce948760424353aff020171005406ea9c8c06210f8b8a6b99b0,1748230947852,HYPE,Sell,-30.88,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-1173.44,0
SPOT,0x9a30c0a8a7abb776cdca0424353afd0201cf007846d8f8aa7b87a976170609b0,1748230947696,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
SPOT,0x95e953daf4484cbaebe20424353af80203ef0008fad2cc5684f37184a87b96ed,1748230947335,HYPE,Sell,-12,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-456,0
SPOT,0x7ed6a1272e7ccdd8395d0424353af202026a00bee2a5edb0854fc6b63cad3687,1748230946890,HYPE,Sell,-5,0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,0xffffffffffffffffffffffffffffffffffffffff,38,0,-190,0
