class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0xf69b1699588baf1b631d042734eaa902028100366ffbf59c8fc6d27dd99c4622,1752142360209,HYPE-USD,Open Long,4400.94,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30006.34241,0,0
PERP,0x4007467df416395daa1c042734ea6a01700037a96ab91a101b654f574c03d3b6,1752142354828,HYPE-USD,Open Long,2200.4700000000003,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30086.292820000002,0,0
PERP,0x885164cad10bbf747b1e042734ea240181004d68459cc6faa07cf437a8a671c5,1752142350058,HYPE-USD,Open Long,4400.94,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30126.63477,0,0
PERP,0x4d1e047023737ceb8819042734e99400007d38a9b868fa4ef13c5c07761fe32c,1752142339831,HYPE-USD,Open Long,1466.98,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30206.585180000002,0,0
PERP,0xd5ace578692030fc3dc9042734e9630203fe0039428996aeba7839ff93dddf86,1752142336442,HYPE-USD,Open Long,2200.4700000000003,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30232.990820000003,0,0
PERP,0x6422d1ebdd8ee11e590e042734e8d6020173004a872fcb03b230dab8f620b80f,1752142326378,HYPE-USD,Open Long,3667.45,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30273.332770000005,0,0
PERP,0x2d2d243cb23f687dcaf7042734e85d000004912bea8363bf2c2751dac37e9ff7,1752142317614,HYPE-USD,Open Long,3667.45,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30340.08036,0,0
PERP,0x416557bf28e2b74cb8bd042734e831000044cd6cb821ca9a67515f12c6aaa5a7,1752142314622,HYPE-USD,Open Long,2933.96,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30406.82795,0,0
PERP,0x15d66e4d406fa1d76636042734e7ec02013c007a1edb59dfac16531e43d458a7,1752142310066,HYPE-USD,Open Long,3667.45,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,-Infinity,30459.63923,0,0
PERP,0xb6091ef2f5531014881f042734c071018900e690bcaf1afbbb3962c9830da8fe,1752141556851,HYPE-USD,Open Long,733.49,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,41.618,30526.386820000003,0,0
PERP,0x85ce14378b40218dd080042734c02d00009a38b170a2242972fc4e1bd589646e,1752141551430,HYPE-USD,Open Long,672.96,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,41.636,21565.782560000003,0,0
PERP,0xb95ea4b24b33f2edfd4f042734c02402029a006b723dd503b490a252ca23c92d,1752141550828,HYPE-USD,Open Long,12.47,0xffffffffffffffffffffffffffffffffffffffff,0x8bff50aad8b4e06c5e148eaeb9d7aef69e26cdc3,41.636,519.2009200000001,0,0
