class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,81734.96085658,0x0000000000000000000000000000000000000000,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,-,0
VALIDATING,0x4b47fc4654c7fb7473680423e7fc2302012c006ac4c7ae2439f050ed18b93691,1747838073994,-,tokenDelegate,,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,-,0,-,-1
TRANSFER,0x158094abf7e37c79fd0a041b643bf60201a800ce903f6254e4bfffbe4306f6ac,1736802921225,LAUNCH,Transfer,1,0x97634ac52d5bf7620aff17be184d87a2e8659104,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.038233,0
DUST,00000000000000000000000000000000000000101,1736380800021,BUBZ,Spot Dust Conversion,-0.01,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0031807000000000003,0
TRANSFER,0x40ab463006f17181c9d7041af3e2bc02023300d5d7480b51992926e6e6acbc14,1736331572691,BUBZ,Transfer,0.01,0x0ef5cbf621f37e75cfa17ecfb29dc836aa95eba0,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.00030555,0
VALIDATING,0xff55d18da4e3ddbe328f041a3fd72301f10023d885aee39a4363a9bf64db02d1,1735553619023,-,tokenDelegate,,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,-,0,-,-1
TRANSFER,0xd854c81677fd619ed987041a127a8101a700be24e78796872b21bd1db37ba712,1735286491978,USDC,Transfer,0.009963,0x96dc669b5d463acda704eda27ea12add47643ea4,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.009963,0
TRANSFER,0x7fc0340282b14f0133a5041a1279cd0203700050b2b83fc7fc8e6789226895f0,1735286475493,HYPE,Transfer,0.00211505,0x96dc669b5d463acda704eda27ea12add47643ea4,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.087413958975,0
TRANSFER,0x4bf3931379ea2e5258de041a0e8f2801670009fd9cb42cb4527e8761bd892f97,1735262830074,USDC,Transfer,0.002094,0x96dc669b5d463acda704eda27ea12add47643ea4,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.002094,0
TRANSFER,0x65afcdbda3026b6d19a8041a0e8e8c012a00874f2819a151a2dde6f48b68101a,1735262815068,HYPE,Transfer,0.00586577,0x96dc669b5d463acda704eda27ea12add47643ea4,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.24242934121500004,0
TRANSFER,0x072b591f750a4a8231b60419b127c70201700075c3f4be9d44618a6441f55315,1734701646353,JEFF,Transfer,0.95108,0x9006e1dfdbcea4f77eb6cd05708d2242188ad571,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,7.4069159319999995,0
TRANSFER,0x7c8ea99828652577631304197f9b8e02010d007a0012b1340b9a9d9a216d9c48,1734486154735,USDC,Transfer,0.003754,0x96dc669b5d463acda704eda27ea12add47643ea4,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.003754,0
TRANSFER,0x9deb9c745c3d4d72e1e904197ec6c7019700e63d3bad7521e9c8de2bda9d1b81,1734482667375,USDC,Transfer,0.004281,0x96dc669b5d463acda704eda27ea12add47643ea4,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.004281,0
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,2871.65243059,0x0000000000000000000000000000000000000000,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,-,0
SPOT,0x031132efe5ed6c7552f70418f7103c01a00020aa94e5dd4311b437ea1bd7ae9b,1733916642864,PURR,Buy,119,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,4.8103,0
DUST,00000000000000000000000000000000000000102,1733788800013,FATCAT,Spot Dust Conversion,-0.00696969,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0002787876,0
SPOT,0x0f49ea397acbedd36cb90418d410e502015c002af07160be2a8d699857fa202a,1733770953989,FATCAT,Sell,-16.2,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.6045678,0
SPOT,0x6595fd3cd4668549ce720418d251d501b000ba38929c57c2df2634a4dd23444a,1733763678876,FATCAT,Sell,-397,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-14.815643,0
SPOT,0xf729283b87596c128fce0418d250420201d30000d48bc1fd1fc99a89f7cc23ec,1733763653543,FATCAT,Sell,-283.49,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-10.5798468,0
SPOT,0xb7a05e52b7983f0c314c0418d24e5e0172007119f6153775f84077c0cdae3719,1733763622914,FATCAT,order,-696.69,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,limit,0,-44.00433378,-1
SPOT,0xc686126b7810cccb66fa0418d24ddb0202710095a7bd9b70ed826ffc010f8b06,1733763614659,FATCAT,order,-696.69,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,limit,0,-44.00433378,-1
TRANSFER,0x590f55158f24db03ca770418cf220f0201b00080b6d075851dd29bdaf3592de5,1733750409995,FATCAT,Transfer,696.69696969,0x9b4da8243fced2f6b0ea59c098ccc6724f309ea0,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,59.93126672667318,0
SPOT,0x24fb542b276d9e89226d0418abe486018b00457d4afcc73842c4d0621dfe6740,1733604043804,PURR,Buy,39,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,11.279190000000002,0
TRANSFER,0x63a4ed4530fe3c5524a7041886d30502014600b9bc11db121cd87a5926b7ba0e,1733450129626,USDC,Transfer,-0.22587914,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0x501a76325a353a4249740ada1d4bce46dbdd67d6,0,-0.22587914,0
SPOT,0xd924cb779178e3e9ff92041886cea60201a1008a6e2d2944b7e4039fb20e1f26,1733450057690,PURR,Sell,-40,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-10.9512,0
SPOT,0x3fd8c639ccaae58db895041886ce3d02017c001f5950652a9488093f92505f44,1733450051016,PURR,order,-20,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,limit,0,-5.037599999999999,-1
DUST,00000000000000000000000000000000000000104,1733443200143,MUNCH,Spot Dust Conversion,-0.26409,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.00006933418860000001,0
SPOT,0x5c8fa99f486eed4668200418732b840204c300c6c2dbbb44dc33b2659abf0a37,1733368266861,PURR,Buy,255,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,70.5942,0
SPOT,0x642de4b4f9a8547bac060418732864020220007ab09d82e1b771bf5cf43c07c0,1733368216793,MUNCH,Sell,-320877,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-71.23148523,0
SPOT,0xb7d2abda86cc83ac4b2f041853e9b60202480053091e7c024d39c65aeedf1306,1733238002403,MUNCH,Genesis,320877.26409,0x0000000000000000000000000000000000000000,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,-,0
SPOT,0xd7ca1fe408ab19a1ba1404183519180201bf00e9f65aff4c8cf22e4a1a2afaaa,1733109785890,PURR,Buy,195,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,46.05728,0
DUST,00000000000000000000000000000000000000105,1733097600064,WOW,Spot Dust Conversion,-0.46422,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.003419537364,0
DUST,00000000000000000000000000000000000000106,1733097600064,NEIRO,Spot Dust Conversion,-0.046911,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.00012508349040000002,0
DUST,00000000000000000000000000000000000000107,1733097600064,PEAR,Spot Dust Conversion,-0.073473,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0000982995267,0
DUST,00000000000000000000000000000000000000108,1733097600064,MEOW,Spot Dust Conversion,-0.020639,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0000476224286,0
SPOT,0x4402f5e244691a66590604182c590e02018d00bd77215f6715951f51c0dd30ed,1733073377149,HYPE,Buy,1011.21,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,8494.164,0
SPOT,0x39f9c1d769c94183d11504182c58e301e1002803d86784364da237c3789d4996,1733073374442,HYPE,Buy,11.47,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,96.34800000000001,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1733073372105,HYPE,Buy,1.67,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,14.028,0
SPOT,0xce05a1511490171b89ff04182c58ba01bb00c96648bd54a2aa7c87f668719c4e,1733073371903,HYPE,Buy,113.53,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,953.652,0
SPOT,0x22b23f2c68001bf34e5b04182c58b4020101002a53d8eb143b7d556ddcfeb083,1733073371500,HYPE,Buy,69.96,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,587.664,0
SPOT,0x9d8f49b25ef9eea68f8a04182c58ac020111007a5f2c1b85137c3a0bcbf88e7a,1733073370963,HYPE,Buy,3912.4399999999996,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,4234.524,0
SPOT,0x91fd6e2ead0784d5c85f04182c58a602016800bce9d229022c281aafe11982c8,1733073370561,HYPE,Buy,1333.23,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,11213.264238000002,0
SPOT,0x7c27a642a3e15e449eba04182c58a30201ea00ad3e1bdbb94bbef1b753454e17,1733073370360,HYPE,Buy,232.07,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,1951.847942,0
SPOT,0x2633acf9f565c8de150e04182c588f02016b006eaf8ed25ddc2b6758799ec5e1,1733073369154,HYPE,Buy,131.08,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,1102.4614480000002,0
SPOT,0xc1302cac77e876ffeba804182c586c02010b00eef431cde3026f4a1b3fd0c8b6,1733073366805,HYPE,Buy,3377.21,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,14229.92592,0
SPOT,0x484b16998e5566d3d7d504182c5840020154008198eb4a67648a2436a0d30226,1733073364174,HYPE,Buy,996.87,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,8394.841644,0
SPOT,0x598f956d85283534617d04182c5828019c007452d1358b866044caf627ea7e3d,1733073362768,HYPE,Buy,335.52,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,2825.481024,0
SPOT,0x98f986d4a99d05ed53a604182c581a02017d001123da6ab80efc88402fe4bd6e,1733073361796,HYPE,Buy,454.23,0xffffffffffffffffffffffffffffffffffffffff,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,3826.751481,0
