class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x9e89b4814a0403d63bd1042455e05f02032c00ac56c8453c00922ef124982783,1748395868013,HYPE,Transfer,414256.94098,0x2222222222222222222222222222222222222222,0x97f8219e401f07752a60ddb0a75efda96d1389d9,41.2255,0,17077949.52037099,0
TRANSFER,0x046ac65ad930e67275c804226a7b5702017000ba698044857e9bab3cd47cc454,1745847905493,HYPE,Transfer,-0.00000405,0x97f8219e401f07752a60ddb0a75efda96d1389d9,0x2222222222222222222222222222222222222222,41.2255,0,-0.000166963275,0
TRANSFER,0x9230cec5f03a5fdf55ac04226a79430170007f9b774f679abc300b8f8ee6cc6b,1745847863085,HYPE,Transfer,-414256.94101,0x97f8219e401f07752a60ddb0a75efda96d1389d9,0x2222222222222222222222222222222222222222,41.2255,0,-17077949.521607753,0
VALIDATING,0xe12d14b5364526579bf80421b9b355020220004049e8b4183f54007025cd431d,1744901880961,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x62b3b90d5497abedc02f0421b9b2fc01fc00defaa9df80934cf6ff307a9a3c99,1744901874190,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0xea4dd66be8318c8ab54a0421b9b29b0169003aa34398924e381dc2c011a79cb1,1744901866425,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0xc3a47e9afcf9f425c5870421b9b24e020263004f17f77e1461fdef15ccacfe1c,1744901860580,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x3bce90dc9601bb95a9960421b9b20d01bc00d4e919e16b57fe83215093238b8e,1744901854308,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0xf890baf30976c1656c230421b9b1b2018a004c298c56eaa42478d39181490be7,1744901847341,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x7c1294b18c219acc47890421b9b16002011c0069bbc793e03d55a1cdf4b2e2a8,1744901841411,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x77176bf79e305e152dae0421b9b03602011300281da5ff3757cc8dc134ed3b5f,1744901816155,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x885bfe1d941c7a9c791f0421b9afdb0201d10063d3c3c57ba346ec328a7f6ed6,1744901809016,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x895d0081d3b8989e17780421b9af8201f3009ddbc123bab7971fe17a72652bf0,1744901801868,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x19c3ad6e678d5bbbd8000421b9af23016b008a4e2e72f890d927504beeddf1d7,1744901794993,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x615ed0c13f5a749ed9860421b9aec001df0033f6701fd574cfd47b4389d40b57,1744901787799,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0x93c8911950bf3f1daa700421b9ae5001a7005fe646ee1824de85565f04c75c19,1744901778348,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
VALIDATING,0xc0972d76b7cea32bff440421b9ada70201c1006ce116268466154deef92437eb,1744901764676,-,tokenDelegate,,0x97f8219e401f07752a60ddb0a75efda96d1389d9,-,,0,-,-1
TRANSFER,0x6d343269ff2e20af4a5b041e3000550208470078e4c1310492a4cb3f46daaed8,1740143621440,JPEG,Transfer,62500,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0x97f8219e401f07752a60ddb0a75efda96d1389d9,0.007498,0,468.625,0
