class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x2d381e8fcfae244a533004272f67d6012c00f3533d022fa51fa413c47e5d68c8,1752114999723,USDC,InternalTransfer,1074.28,PERP,SPOT,1,0,1074.28,0
SPOT,0xea1148ec6f05c218010804272f38e202020e00b6ffbbef704d92a2a4b45a255b,1752114091000,HYPE,Sell,-624.42,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.476,0,-25898.443919999998,0
SPOT,0x8cd4b9a858c627b82d3704272f38e102043d00cd75f6a28ca538871a52bbd12e,1752114090921,HYPE,Sell,-624.12,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.467,0,-25880.38404,0
SPOT,0xf667268f096b7b84f48804272f38a10203210032f6f2cd2f72baec93f1f75ec7,1752114086122,HYPE,Sell,-510.99,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.457,0,-21184.11243,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1752114086039,HYPE,Sell,-0.3,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.457,0,-12.4371,0
SPOT,0xb637af0e417d7f854d6f04272f389d0201ec000bd4cad4ec31c9b38e3dcb2c6e,1752114085840,HYPE,Sell,-12.06,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.457,0,-499.97142,0
SPOT,0xb98330cc25902131574b04272f387b020208009a5dd55e8f28c99b9e4f9e9e4f,1752114083127,HYPE,Sell,-24.87,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.457,0,-1031.03559,0
SPOT,0x7bac7ce2f955754fd31b04272f380a0201ea008431b41128070d27723be42b9b,1752114074260,HYPE,Sell,-328.08,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.45007388441844,0,-3134.1492,0
SPOT,0x35ecb7a0dc0659f20bd304272f37c50201b6007eb450f6f4d662204d36acfac1,1752114069159,HYPE,Sell,-371.04,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.448,0,-15378.86592,0
SPOT,0x9e5f1ff8a6b280b39c5104272f375f02020d0045bcce80c22d34c5af8456bc7c,1752114061922,HYPE,Sell,-623.22,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.438,0,-25824.990360000003,0
SPOT,0xc36fd46f805047c4b28e04272f375802030f00dbff7b0303cc155a9d8b5bdd60,1752114061392,HYPE,Sell,-208.13,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.429,0,-8622.61777,0
SPOT,0xf5fe592e07a3a7d2c1b304272f37580202eb001a0548f1830b11561dfe424691,1752114061392,HYPE,Sell,-131.5,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.429,0,-5447.913500000001,0
SPOT,0xa5cb0e5b62bd51928fa104272f37580202e5000d6792183770da251ef2b4df1c,1752114061392,HYPE,Sell,-283.29,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.429,0,-11736.42141,0
SPOT,0x8db9245d00ab0305ecbc04272f37580202e300ae3b83ade2ae93f5bf3a31ae73,1752114061392,HYPE,Sell,-1080.23,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.415187395276924,0,-25788.297779999997,0
SPOT,0x9099cb438253b1082b9704272f375701e900b6e8a2d825cb7b8617e0fe3cb61f,1752114061268,HYPE,Sell,-164.71,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.41,0,-6820.6411,0
SPOT,0xad355cd1eb9c5ac0ffec04272f37350202d500636e7468944903a6ce2b5f83c2,1752114058851,HYPE,Sell,-176.22,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.401,0,-7295.68422,0
SPOT,0x5628600f3909913c5ce104272f372a0201cf00ed1c9e2ac757942ffdd35e65ad,1752114058061,HYPE,Sell,-0.26,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.401,0,-10.764260000000002,0
SPOT,0xf9ce47e2658741d4bb8f04272f371f020328007ab1b6adcab35acc7a2ee72ab0,1752114057167,HYPE,Sell,-111.67,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.401,0,-4623.24967,0
SPOT,0x2b9fd68eb5d5da2c96b504272f371d02047c008edcd0f7dca00676548a1bc643,1752114056933,HYPE,Sell,-75.44,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.391,0,-3122.5370399999997,0
SPOT,0xde7e6a13e78122de018b04272f371d02047900c9ad2528a1e4823da29a90abef,1752114056933,HYPE,Sell,-224.55,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.382,0,-9292.3281,0
SPOT,0x889477d06549cae238b004272f371c02011b00cf5d467eaab4bcd1279de96c3a,1752114056863,HYPE,Sell,-26.19,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.382,0,-1083.79458,0
SPOT,0x4fa395c634265235e35f04272f371c02011a002b9fd0b8dc8c3f208a5c21e194,1752114056863,HYPE,Sell,-370.68,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.382,0,-15339.47976,0
SPOT,0x7b11670dc3b22f66235704272f370002020d00e4457385ed42861ecf7bee3d04,1752114054405,HYPE,Sell,-22.5,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.372,0,-930.87,0
SPOT,0x3977d1d409c08797e6d604272f370002020c00eb63146cc3ecf0f0e234dada6f,1752114054405,HYPE,Sell,-598.62,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.372,0,-24766.10664,0
SPOT,0x2429ebd96be61be6feb404272f36fd0202aa00adc156fc818570076f45355c5a,1752114054204,HYPE,Sell,-15.74,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.363,0,-651.05362,0
SPOT,0x716585ce93df9938744504272f36f00202c6009451d279c22c29bd3d5779c3e4,1752114053179,HYPE,Sell,-605.08,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.363,0,-25027.92404,0
SPOT,0x037245101652c0f0a41604272f36ce0202fd00bb726e1aaaa63098d7264538d6,1752114050758,HYPE,Sell,-55.45,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.353,0,-2293.02385,0
SPOT,0x3c1b695efe3596ba54a504272f36c702047c009bd44df1bf0381489ab94805d0,1752114050310,HYPE,Sell,-12.09,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.353,0,-499.95777000000004,0
SPOT,0x97061b1cc6ffe30c661404272f36bf02019f00465521c55f969235f82a73ef12,1752114049778,HYPE,Sell,-552.98,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.353,0,-22867.381940000003,0
SPOT,0x4c27be0b68df19bd1cfe04272f36b602027600a5f6a490eb9d457d951b85ff1e,1752114049176,HYPE,Sell,-445.6,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.344,0,-18422.886400000003,0
SPOT,0x5bc0f62f862146cc24b504272f36b602026b00969383fa9bace66651a638e47a,1752114049176,HYPE,Sell,-174.61,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.344,0,-7219.07584,0
SPOT,0xbf2008665d7328e4908804272f35ab020359005c9344c0c0facd38f87b95a423,1752114030129,HYPE,Sell,-716.66,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.333649987441746,0,-25623.97985,0
SPOT,0xaee46da03c2a6fc5204904272f35ab020347004f901eac76818d7456c973f4d6,1752114030129,HYPE,Sell,-41.06,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.325,0,-1696.8045000000002,0
SPOT,0x45e10744476d833ffbbb04272f358a02030f00f379d3de1a59c270302bdfddfa,1752114027900,HYPE,Sell,-16.12,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.325,0,-666.1590000000001,0
SPOT,0xd55dd556604fa8595e6804272f356b02018300a3f61018ea28f81de84b68ab2a,1752114025687,HYPE,Sell,-273.23,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.316,0,-11288.770680000001,0
SPOT,0x71561d8f10fd803c3a9f04272f356901a300a3ab4db7dbebbc1855d31c6a97bc,1752114025543,HYPE,Sell,-30.3,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.316,0,-1251.8748,0
SPOT,0x7e4ced54a4b4dfda332f04272f352f01f90061911941957ae3425fd7ee674463,1752114021087,HYPE,Sell,-200.78,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.316,0,-8295.42648,0
SPOT,0xd3829f1ff2c556a0d1cf04272f329a020336009ad684186713f024777c14264e,1752113972766,HYPE,Sell,-142.13,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.306,0,-5870.821779999999,0
SPOT,0x3124700120d2b01dc62904272f32990205460040842c71488e72114e93169e90,1752113972667,HYPE,Sell,-30.55,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.306,0,-1261.8983,0
SPOT,0x1d6556a31f3e6277be5a04272f328b0201fb008532207d27d24a57f4cad0c7ad,1752113971432,HYPE,Sell,-105.9,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.306,0,-4374.3054,0
SPOT,0x55ed4e32654e265b47fe04272f328702028800eac4ceb7ee4c3961303e23a27a,1752113971154,HYPE,Sell,-168.4,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.306,0,-6955.9304,0
SPOT,0x489145df471dba37da4c04272f32820201d800e97f5224fcebe7a57e8ac29964,1752113970832,HYPE,Sell,-172.03,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.306,0,-7105.871179999999,0
SPOT,0x2b7b2feaa2bd249395bf04272f32700201300010961692828f2bd125ffa844fc,1752113969618,HYPE,Sell,-287.41,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.297,0,-11869.17077,0
SPOT,0x0e77d4db411af1f4e89404272f327002012f00582c6b1effffe047546ba1e697,1752113969618,HYPE,Sell,-331.3,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.297,0,-13681.6961,0
SPOT,0xe870c625a5eb3538ada804272f326e0201730027210a388837ac935631150d33,1752113969506,HYPE,Sell,-315.25,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.288,0,-13016.042,0
SPOT,0xc6a8a7463c7a09546ed504272f326802013b0007e724375315a9ef200b2a29db,1752113969102,HYPE,Sell,-35.56,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.288,0,-1468.20128,0
SPOT,0x6daf9df06c8c63a3237c04272f326601f80087d48f02df143868402ecaa7209e,1752113968973,HYPE,Sell,-267.6,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.288,0,-11048.6688,0
SPOT,0x5eb0e813f58aa7d9a7a204272f326601f400566167844e3a97dfbc5e6aa7d8eb,1752113968973,HYPE,Sell,-8.89,0x992ec71207c9e183e64c81461908f1a1a783af6a,0xffffffffffffffffffffffffffffffffffffffff,41.278,0,-366.96142000000003,0
