class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,2433.42971997,0x0000000000000000000000000000000000000000,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,-,0
TRANSFER,0x55fbbc85100759f6fdf20425b46d3402021c00ee8059618e9105e594f3e27192,1750188134374,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,-,0
WITHDRAW,0xba0804e4621f8f570e31d35b33f94d55cd08e5de38ef38bc57a066933b9c035b,1741720391101,USDC,Withdraw,-571480.054574,0x99967871e6c4f9a5185abc57edede9e9540191f6,Arbitrum,1,-571480.054574,0
TRANSFER,0x5f945c0207292d15b750041f5be3da0201fd007a50fcd2cb1f335c36dc3383fd,1741720102481,USDC,InternalTransfer,181700.38,SPOT,PERP,0,181700.38,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1741656661042,HYPE,Twap,-13372.67999999993,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,,,
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1741656150108,HYPE-USD,Twap,13372.679999999938,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1741110253054,HYPE,Twap,9071.930000000004,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,,,
TRANSFER,0x3ce2c9435e2abbec224f041ee722ac0175005cfb6d2734ee91567c819c9676c3,1741108424522,USDC,InternalTransfer,150000,PERP,SPOT,0,150000,0
TRANSFER,0x9187f40d351caca89d63041d2912f201da00d6b8ee5918b8147678de1bcbe7d1,1738725621378,USDC,InternalTransfer,22184.24,SPOT,PERP,0,22184.24,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1738714514081,HYPE,Twap,-1466.6500000000012,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,,,
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1738714499082,HYPE-USD,Twap,1467.440000000002,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,,,
WITHDRAW,0xf563bdf941f80a84ecb8d34266043a02b59015021d70f6eca0bae21f9e7414a5,1738712677550,USDC,Withdraw,-526026.357338,0x99967871e6c4f9a5185abc57edede9e9540191f6,Arbitrum,1,-526026.357338,0
TRANSFER,0x9d5499d9e2b1a94e7488041d2693690187001eb132b4fef5cd84c462efca9bd1,1738712397341,USDC,InternalTransfer,264524.8,SPOT,PERP,0,264524.8,0
VALIDATING,0x9012e58edd418a0177f3041b9179a10125007143c501d9b176b930ebe166cfab,1736998106854,-,tokenDelegate,,0x99967871e6c4f9a5185abc57edede9e9540191f6,-,0,-,-1
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,5316.49128719,0x0000000000000000000000000000000000000000,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,-,0
TRANSFER,0x58fefed7b84415550446041b6461080164003f428337a99b605e88eac0c7abb9,1736803660872,LAUNCH,Transfer,1,0x97634ac52d5bf7620aff17be184d87a2e8659104,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,0.038233,0
SPOT,0x24633cbda59ff33f5ff80419ebf82101a00062eec36f4337edb154f5f791ea2b,1735054679788,HYPE-USD,Open Short,-688.44,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-20649.06936,0
SPOT,0x473535be9cb0c308c9120419ebf7ce0201fc0086328cfc8ff33b0c7b681e1a58,1735054672327,HYPE-USD,Open Short,-60,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-1799.6399999999999,0
SPOT,0xaa6d258acdd17c92ddb50419ebf7ce0201fb007c39cea97f9245e0fc28e03dd4,1735054672327,HYPE-USD,Open Short,-50.04,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-1500.89976,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1735054664004,HYPE-USD,Open Short,-40,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-1199.76,0
SPOT,0x3fe8679d486c86263f010419ebf76c02018e000dd06d5884884faaced6399302,1735054663604,HYPE-USD,Open Short,-49.63,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-1488.60222,0
SPOT,0xdc779f21451f33cf9f940419ebf74301ec00c6c4651f99924c96b9982d04b6c4,1735054660024,HYPE-USD,Open Short,-599.64,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-17985.60216,0
SPOT,0x41137102dffa1640641e0419ebf73f02010b005cf2b69419d63d49be8711d76c,1735054659623,HYPE-USD,Open Short,-1376.14,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-41275.94316,0
PERP,0x6015f4e0072436316c3f0419ebf72f020192000af636d92e5e71915e5baa4e5d,1735054658212,HYPE,order,-2885.47,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,-86546.78718,-1
TRANSFER,0xc6dcb88682a587f113ec0419ebf57801db00a126e330f3e1f0419d1cbb783fa9,1735054617244,USDC,InternalTransfer,100035.48,SPOT,PERP,0,100035.48,0
SPOT,0x1d6d5f9503ad1daf08dd0419ebf49102011b001c026ce6e6ece529a9ba042c58,1735054596051,HYPE,Sell,-69.71,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-2081.68002,0
SPOT,0xed9cf76e805ec3a0fe6c0419ebf48b0201c800ba79c7a7de7e39252a475de2bc,1735054595519,HYPE,Sell,-38.72,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-1156.2566399999998,0
SPOT,0x3cb5d8ecd577b6d78dcf0419ebf489020231007780c3400868ba8296b185627f,1735054595319,HYPE,Sell,-50.02,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-1493.69724,0
SPOT,0x2dd799f3d51c4f13452a0419ebf48801d20051c5416c17b909a6b9918d41173e,1735054595243,HYPE,Sell,-1515.91,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-45268.10442,0
SPOT,0xd750fe2d62f5c1ee1e4a0419ebf45602023000d7d26151e9b056ab7d49f11523,1735054590623,HYPE,order,-1674.36,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,-49999.73832,-1
SPOT,0x49313241d81e2f90f9270419ebf1d10201d30048cfe17b3a1ff044f0d501db6c,1735054531128,HYPE,Sell,-1679.59,0x99967871e6c4f9a5185abc57edede9e9540191f6,0xffffffffffffffffffffffffffffffffffffffff,0,-34156.76,0
DEPOSIT,0x032bfcf9414f99f7d780f1bcb3f5956cdd0eb88d33b25644e2458491b0dae5eb,1735001134368,USDC,Deposit,283180.38,Arbitrum,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,283180.38,0
TRANSFER,0x3bbe28228c6499fb37e60419d4c52a0170007514ad591dba7cb90249cfce9197,1734914647459,USDC,InternalTransfer,143000,PERP,SPOT,0,143000,0
FAILED,0xd351e12cf5d1be1bd82f0419d4c41b010200f1d0f16baa4d422692339ff4a63e,1734914622574,-,VoteEthDepositAction,,0x99967871e6c4f9a5185abc57edede9e9540191f6,Deposit has already been credited.,0,-,-1
DEPOSIT,0x1da1d0f06bab9d09ef2796c36802a4de4bff341153b0b17954dea6fc6abbf063,1734914622574,USDC,Deposit,286454.74,Arbitrum,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,286454.74,0
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,553.71436189,0x0000000000000000000000000000000000000000,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,-,0
SPOT,0x43aebbc7b73dd7d5ee0504189d6ab001bb009513b2edf49a0b63ca35e445e07d,1733544017646,HYPE,Buy,1677.4499999999998,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,6433.264,0
SPOT,0xdc992ca86963923e0a6904189d69b3016c0077524602e33acde3defdbed461ed,1733543999830,HYPE,order,1776.82,0x99967871e6c4f9a5185abc57edede9e9540191f6,limit,0,26272.06052,-1
