class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,4884.77348007,0x0000000000000000000000000000000000000000,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,-,0
SPOT,0xa1e1b079b884eb35e9d10424eb999b02055e00a76481eadcff82e7cf143688b0,1749161034935,HYPE,Buy,799.65,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,27068.1525,0
SPOT,0x572e18e048e4c1db26050424eb999b02055d00eb41c51a1db9a293184a5b4d0e,1749161034935,HYPE,Buy,5,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,169.25,0
SPOT,0xdbd547409f656fd206360424eb999a0201d500295149502dbf64f890ab6b5191,1749161034850,HYPE,Buy,5,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,169.25,0
SPOT,0x41bd54ec2b8c77ea7b550424eb99930204d50036919c864079c54c720b013b1a,1749161034230,HYPE,Buy,5,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,169.25,0
SPOT,0x5a76fe3f2a7ac807c12f0424eb9992020715002ab959c39f085ff17a84c15fc0,1749161034096,HYPE,Buy,55.24,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,1869.8740000000003,0
SPOT,0x8508b93df65aed7df6b10424eb9992020714000a390a9d942cb7023386edbbba,1749161034096,HYPE,Buy,58.55,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,1981.9175,0
SPOT,0x0ca7ef11e1361a2be1bd0424eb999202071300d44b67dd99099a2ec9146e8766,1749161034096,HYPE,Buy,40.06,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,1356.0310000000002,0
SPOT,0xb9acc493e03587fc1def0424eb9992020712005735c3baf78f1b7961c1ec59ac,1749161034096,HYPE,Buy,347.87,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,11775.399500000001,0
SPOT,0x9e4fd64c853a265d3ed20424eb9992020711004de9e22fda8b8c631f21b448f7,1749161034096,HYPE,Buy,354.35,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,11994.747500000001,0
SPOT,0xc4eec711cee56be961920424eb9992020704006990225d667d29e36ef0d99e1e,1749161034096,HYPE,Buy,41.75,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,1413.2375,0
SPOT,0xe38e506d266a54f3f1220424eb998f0209a800a387259b95bf78b715eb7493ca,1749161033823,HYPE,Buy,500,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,16925,0
SPOT,0xbbe34cf7ca48ad46a5be0424eb998b0203ca00394b66c35a703e758b95308f09,1749161033416,HYPE,Buy,4.4,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,148.94000000000003,0
SPOT,0xbf1efe6d01bd11d90d190424eb99850202ce00a27b5783c1ed2c0137975df630,1749161032832,HYPE,Buy,4.4,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,148.94000000000003,0
SPOT,0x9a75573fdcc5281510cc0424eb998102068c003670c23316c29e48e1b33faa2f,1749161032577,HYPE,Buy,4.99,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,168.91150000000002,0
SPOT,0xe242058df2d94840c08b0424eb998102068b009f3b493708c5ecc434355c310e,1749161032577,HYPE,Buy,4.99,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,168.91150000000002,0
SPOT,0x1efae0542d2af5f421b40424eb998102068a00f176cd9af2c2b53bb6d1f90997,1749161032577,HYPE,Buy,4.99,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,168.91150000000002,0
SPOT,0x82267756260eebd84dc10424eb998102068900fa370fbec2e7138fd63b90ebdf,1749161032577,HYPE,Buy,4.99,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,168.91150000000002,0
SPOT,0x24eaff6284e069c5c9fa0424eb996f0201b10078999ccb0eb47a45ba2039f2b9,1749161031139,HYPE,Buy,4.4,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,148.94000000000003,0
SPOT,0x8dffd8d82717b2f19e020424eb996b02010e00befb44a12006e25796a9e584ca,1749161030853,HYPE,Buy,500,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,16925,0
SPOT,0x79bca1cdc7720959fcc30424eb996902028c00eb74c6abe8e00db303e0ad9f41,1749161030736,HYPE,Buy,30,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,1015.5,0
SPOT,0x5024a50fbd4e7724e2ec0424eb996602024f003155257f753bfb3c77e204f621,1749161030535,HYPE,Buy,61.18,0xffffffffffffffffffffffffffffffffffffffff,0xa0d66bab5f04cb3055cc2f6b0494cb33be32c2c2,0,2070.943,0
