class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,73775.69501873,0x0000000000000000000000000000000000000000,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,-,0
TRANSFER,0xae7cb370577128c18163041b643d0c02013300773662dae394dc395779318a93,1736802942958,LAUNCH,Transfer,1,0x97634ac52d5bf7620aff17be184d87a2e8659104,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,0.038233,0
DUST,00000000000000000000000000000000000000025,1736380800021,BUBZ,Spot Dust Conversion,-0.01,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0xffffffffffffffffffffffffffffffffffffffff,0,-0.0031807000000000003,0
TRANSFER,0xf65922a42e442de0848d041af3e42f013e00c8a07573d6ad79d0c72c436ec9b4,1736331595729,BUBZ,Transfer,0.01,0x0ef5cbf621f37e75cfa17ecfb29dc836aa95eba0,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,0.00030555,0
VALIDATING,0x79701f49447f5876859b041a226bf301b200f97637fe6816deff6c8feb9a57f5,1735380387810,-,tokenDelegate,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,-,0,-,-1
VALIDATING,0xdddab4d61ba74499b0b7041a226be2014b00c90ead7b98159a913313e1947d30,1735380386234,-,tokenDelegate,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,-,0,-,-1
VALIDATING,0x2e20721394dae6b804bf041a226bd101a9000aab4f499f9dc770516c3c5fdee1,1735380384786,-,tokenDelegate,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,-,0,-,-1
VALIDATING,0xf8fdcc97ecdb324deb54041a226bc0019200d76290b92f2705ea74e784e55516,1735380383367,-,tokenDelegate,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,-,0,-,-1
VALIDATING,0xcf24c84f2611eeb42e22041a226bad0144000fbe6352d2e208b0d8d51a4224e2,1735380381756,-,tokenDelegate,,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,-,0,-,-1
TRANSFER,0xe2bc0233672a425f440c0419c3fc2e020103004bc18c6a1cc40d1bfef06d4263,1734813441487,USDC,Transfer,0.003407,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,0.003407,0
TRANSFER,0x1971829902d0dcddb6a90419c3fba101e200e83371c32d90aae1c0933a9c5c47,1734813428502,HYPE,Transfer,0.09927654,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,4.10304975993,0
TRANSFER,0x88412691307ca766e9b30419c11a6601aa005a0e31690f4316fada73000ce27a,1734796038724,HYPE,Transfer,0.99976202,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,41.319664405590004,0
TRANSFER,0x1677bf0f4ab51f08a7f90419c11922019c006eae140ac5355b6a621ed0e40f6b,1734796008461,HYPE,Transfer,0.69931995,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,28.902543873525,0
TRANSFER,0x06dcaba1d59f270024d80419b66ca1019b002b22d2dccda182d3ab954d54c899,1734732914108,HYPE,Transfer,0.35577067,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,14.703823905765,0
TRANSFER,0x52eba4139f57ed5605da0419b668a201b1004f6873f594fd339beb9426cf338f,1734732821082,HYPE,Transfer,0.90777028,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,37.517691787260006,0
TRANSFER,0xc45f46c7cd5b533132350419b65f070169008a855b470f2e9f0f6cbf68a35a82,1734732598712,HYPE,Transfer,0.48154222,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,19.901899181490002,0
TRANSFER,0x79758d3151990d2591830419b65e0e01db0004a548f185859fb249731fc7a533,1734732576682,USDC,Transfer,0.009057,0x96dc669b5d463acda704eda27ea12add47643ea4,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,0.009057,0
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,2440.77145376,0x0000000000000000000000000000000000000000,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,-,0
SPOT,0x71e7fef118fbff4f997e0418662f05019f00aca3a5e3c90e979a2900b4c5b0f2,1733313887955,BERA,Genesis,2322.741091,0x0000000000000000000000000000000000000000,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,-,0
SPOT,0xb7d2abda86cc83ac4b2f041853e9b60202480053091e7c024d39c65aeedf1306,1733238002403,MUNCH,Genesis,272730.80057,0x0000000000000000000000000000000000000000,0xa20fcfa0507fe762011962cc581b95bbbc3bbdba,0,-,0
