class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,26023.20485726,0x0000000000000000000000000000000000000000,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0,-,0
TRANSFER,0x5b217a68db1d2b84ea260425b46f560201bc00f1471c052539e9b5a893f4cdfa,1750188176815,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0,-,0
WITHDRAW,0x50b6812b0d4c45f8f6f976be3ed331b575319390aa483134c1320e35f3cbc05c,1750055695077,USDC,Withdraw,-1535399.001438,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Arbitrum,1,-1535399.001438,0
TRANSFER,0x8dd0e13013b0b3e1efa204259a7617020111005bc46df26f6ef19cefaf032b15,1750055435271,USDC,InternalTransfer,1535400,SPOT,PERP,0,1535400,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749885523033,HYPE,Twap,-36611.160000000105,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,,,
FAILED,0x7ec1967b01864861fa7d0423faa0c0010300df568810c8538baf24b87988005e,1747933091874,-,evmRawTx,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,L1 eth api error: already known,0,-,-1
TRANSFER,0xc7cb1c953f58898e228d0423fa9ce202019400fe009f56e274c20a6c405a74a2,1747933018755,HYPE,Transfer,-69010,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0x2222222222222222222222222222222222222222,0,-2830893.7150000003,0
FAILED,0xd904dae33ad641fcaf5104235bb8f2020293002dd338faed0f3587a5e4c6338c,1747117145151,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Trading user must request before staking user,0,-,-1
FAILED,0x1c9909bac4c4b991e5d704235bb87c02030f008212513193a2104cc612c7c1de,1747117136231,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Cannot link a staking user to itself,0,-,-1
FAILED,0xc564895bc1c79f384b4b04235bb39f0204d200c245908e96325ebf30a1f23895,1747117037411,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Cannot link a staking user to itself,0,-,-1
FAILED,0x17eaa8cfda615443bc4904235bb34f0202230084bd6b57c3f0134617f3f1ec88,1747117031036,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Trading user must request before staking user,0,-,-1
FAILED,0xc7757e11aca3fa8ecc1f04235bb2a402012d00301f17e78c706696081aeaeb65,1747117017762,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Trading user must request before staking user,0,-,-1
FAILED,0x6f85b34434d367dd89ff04235badd00178005514dae7c919cf28d5d9659bbc1d,1747116921545,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Staking user has no staked HYPE,0,-,-1
FAILED,0x44cfcd2a079e03d5c0af04235b8e5001fb00ed8866ef0ce7f07c36ff3bd316cc,1747116280548,-,linkStakingUser,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,Staking link error: Staking user has no staked HYPE,0,-,-1
TRANSFER,0xc69bd0d1309ec0c7a2b10421dc7c61019400234f2e5eab76f857c8424fecf06a,1745089061937,USDC,InternalTransfer,1054.5,PERP,SPOT,0,1054.5,0
VALIDATING,0xa45e94f14dfbeee20646042135f9500202fa0069720d5082363bc16546194225,1744203881810,-,tokenDelegate,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,-,0,-,-1
VALIDATING,0x0ca206d2aed10cf85ed6042135f82d01dc001bd58dd036a2fdcea9b9ba39ac0b,1744203860333,-,tokenDelegate,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,-,0,-,-1
VALIDATING,0x547e45d28238af65bc52042135f75d02014500bc10db974fa217a26eeeb81dde,1744203844911,-,tokenDelegate,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,-,0,-,-1
VALIDATING,0xe7a304f421f2b40dbdc1042135f65002018400fddb02dbe664c54420dd08d146,1744203823706,-,tokenDelegate,,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,-,0,-,-1
PERP,0x420f2c3cceb379598ed704212ddfdd020137002d436ec1786cdedf6197592cb1,1744161627740,ETH-USD,Close Long,-93.8368,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-54976.515219999994,0
PERP,0x1fce65d259bf96384f5804212ddf950201600016e7ff45459eab66ac12cc6a85,1744161622038,ETH-USD,Close Long,-23.4592,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-16161.59952,0
PERP,0xc4d92ff3adc049c6ae49042110ad9002064e00de2b80339c043346e7870e437a,1744008877036,SOL-USD,Close Long,-930.0639999999999,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-23893.0776,0
PERP,0x4e85f5ed1fc607945ac304211097310109004defce5ab0936bb30470ca521d47,1744008404871,LTC-USD,Close Long,-1725.5050000000003,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-6128.01153,0
PERP,0x9d20f1fec364119b585c0421104a1b0203a1008a9a5f38758a99c711d575ea2c,1744006751544,HYPE-USD,Close Long,-73913.82870000001,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-2755.015095,0
PERP,0x739175f3effe7d6e9b2d04210ff732017500f38b71012262a6c2781f614c77a6,1744005055400,HYPE-USD,Close Long,-19170.653400000003,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-3599.4846000000002,0
PERP,0x1c833edc8337d08a7eee04210e754f019e004f6c98046dde65b5cbb6fcfebe83,1743997082161,HYPE-USD,Close Long,-13421349.241699997,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-1721.5223100000003,0
PERP,0x334f70edef97f95ae22504210b60ea010d004d926daaafd33cee4f466c410b64,1743981021826,HYPE-USD,Close Long,-3930727.4995999993,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-33676.727999999996,0
PERP,0x39e2e4b47172c3e52f9b0421099af9020507006d5a594091fe9506710339af3f,1743971819935,HYPE-USD,Close Long,-5060563.4921,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-10228.55454,0
PERP,0xe2f0c04b67fc41fcc41d042109947602020c0052e0d50e63825ac2bdf8e1e68e,1743971682397,HYPE-USD,Close Long,-15034454.277599994,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-2555.94596,0
PERP,0xdba0ceac38d18e2d36400421085f550202c200d429d69e7b4578bb500d1a844b,1743965416014,HYPE-USD,Close Long,-9385732.484499998,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-4334.2302199999995,0
PERP,0x766b22d7a6c15f8f4fef0421080ab00203730023705d3dd217a1dbfe8f96a41e,1743963674808,HYPE-USD,Close Long,-12001947.620599998,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-3389.89916,0
PERP,0x3ac60cc94ff69b886c63042107ff8b01da00db42a9a8ea7cd59307d41d76a4ea,1743963453610,HYPE-USD,Close Long,-14732651.6008,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-6566.3327,0
PERP,0x4ab56151dcb268c6fadf042107987b0000819279ad96ec12dd687dabd5c4f2dd,1743961365858,HYPE-USD,Close Long,-19683279.42590002,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,0xffffffffffffffffffffffffffffffffffffffff,0,-18690.36144,0
