class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,5509.57718424,0x0000000000000000000000000000000000000000,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,0,-,0
TRANSFER,0xe45de340e3d8a91d4cd70425b46be302033d009ae3caa3b0fc59c36ffb57c1a2,1750188106291,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,0,-,0
SPOT,0xda56b63d612b80a88f780425a52f6b020283013164478690316515b5f79fabb6,1750110521015,HYPE,order,-851.26,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-44861.402,-1
SPOT,0xd9bb0c589305e71bf2520425a52f6b0202830130c741b6533d139e727054ab2d,1750110521015,HYPE,order,-846.96,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-44561.95344,-1
SPOT,0xce8bb6ff49556988ed020425a52f6b020283012fc5e532118c5a0359fd506b0a,1750110521015,HYPE,order,-842.66,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-44264.08714,-1
SPOT,0x64254b0b72e6b1b425830425a52f6b020283012e96a8848d200b4f2575c8c78a,1750110521015,HYPE,order,-838.36,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-43966.11348,-1
SPOT,0x4c0bbf71a9410c68ba8b0425a52f6b020283012deef98e34dc073d55e188e7f1,1750110521015,HYPE,order,-834.06,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-43669.71347999999,-1
SPOT,0x195449d22933b28c7de50425a52f6b020283012c9d5fa68c11cd54eab443f4b6,1750110521015,HYPE,order,-829.76,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-43373.214719999996,-1
SPOT,0x4eb8fa468667430d03780425a52f6b020283012b2e57f931b4f867933093d518,1750110521015,HYPE,order,-825.46,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-43078.28102,-1
SPOT,0xd11fec43b441c35d40c20425a52f6b020283012ad5ee1291404b30c1af9d3bfd,1750110521015,HYPE,order,-821.16,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-42783.25716,-1
SPOT,0xd47fcdae0cb59c6ddeac0425a52f6b02028301295724608796b31cc27d294fae,1750110521015,HYPE,order,-816.86,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-42489.78976,-1
SPOT,0xa4e8d7b40742262bcca10425a52f6b0202830128dc6504359f742096ada5b40c,1750110521015,HYPE,order,-812.56,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-42196.2408,-1
SPOT,0x9a3c2892525cdee83cce0425a52f6b020283012715a5258bf68f5fe01d76a24e,1750110521015,HYPE,order,-808.26,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-41903.43144,-1
SPOT,0x78ffa57ab53b4285a80f0425a52f6b0202830126ee206f2720436c828a1ff6fe,1750110521015,HYPE,order,-803.96,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-41612.16564,-1
SPOT,0x00c4a1a3ad06289ad9460425a52f6b0202830125285b78ecb985445ffc935e66,1750110521015,HYPE,order,-799.66,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-41320.83118,-1
SPOT,0x0fee60cd48723c7eb4e40425a52f6b020283012482d253f56cec5b617bc9fe08,1750110521015,HYPE,order,-795.37,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-41031.54756,-1
SPOT,0x0a308452b540a81a432c0425a52f6b0202830123a23737f7db8245b05c802bc2,1750110521015,HYPE,order,-791.07,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-40741.68714,-1
SPOT,0xe139192ba5c90184fff00425a52f6b0202830122df9811ca4c295a5c502dc4c9,1750110521015,HYPE,order,-786.77,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-40453.35309,-1
SPOT,0xe363984cbbc0942517080425a52f6b02028301218d989b659696590be9dfe4ec,1750110521015,HYPE,order,-782.47,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-40164.96757,-1
SPOT,0x7fb69077a01ccfac05b90425a52f6b0202830120e4ea93cee501ff5e5c93e22e,1750110521015,HYPE,order,-778.17,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-39878.09982,-1
SPOT,0x45242c94f5d6047d21a20425a52f6b020283011f8b68659a72cd9741697fe147,1750110521015,HYPE,order,-773.87,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-39591.1892,-1
SPOT,0xd56c8ad76631924e8cb40425a52f6b020283011eb283cd45884c3d9e6a1d6e79,1750110521015,HYPE,order,-769.57,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-39305.01818,-1
SPOT,0xf0ad4966969aad3344010425a52f6b020283011d65bb631a58504162b7fe172d,1750110521015,HYPE,order,-765.27,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-39020.352029999995,-1
SPOT,0x727ffcf95c0bd95f07060425a52f6b020283011cc0cf0423f15fb2f8fa0ff1b6,1750110521015,HYPE,order,-760.97,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-38735.65591,-1
SPOT,0x69b4096f38f77eacec2e0425a52f6b020283011b4521dc3bb89357b212fd75c2,1750110521015,HYPE,order,-756.67,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-38452.45606,-1
SPOT,0x46ecb2bc5937152392e40425a52f6b020283011aaecf3ffe08faa657f6065caa,1750110521015,HYPE,order,-752.37,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-38169.23484,-1
SPOT,0x373623b205fba86a79710425a52f6b02028301192acd5a17a2c18fa229e9ea9c,1750110521015,HYPE,order,-748.07,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-37887.50129,-1
SPOT,0xa2830290fe95aa6056a00425a52f6b0202830118bc872a94f4be310ab8085fc4,1750110521015,HYPE,order,-743.77,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-37605.75497,-1
SPOT,0x00a52c47ccc641a882470425a52f6b0202830117c9867a7364ad7ae404a6a534,1750110521015,HYPE,order,-739.47,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-37325.48772,-1
SPOT,0x8cdf6e59323b1583cbc00425a52f6b02028301162ad20ab2103adce06fc7450b,1750110521015,HYPE,order,-735.18,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-37045.720199999996,-1
SPOT,0x9467c03828ccca444fae0425a52f6b0202830115f77fd4d992113969f97968e8,1750110521015,HYPE,order,-730.88,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-36766.18752,-1
SPOT,0x18de845a641229bfc82f0425a52f6b0202830114c6e53cd6a360b7cf10b0e7e4,1750110521015,HYPE,order,-726.58,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-36488.121020000006,-1
SPOT,0xedf0024084c9d292bc000425a52f6b02028301137abf0f131a754fe6d2dc9fa0,1750110521015,HYPE,order,-722.28,0xa69e24a291687a7cc0bb1d8bc09ba74e667d4d9e,limit,0,-36210.06324,-1
