class,hash,time,token,type,amount,from,to,px
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1750971853039,BERA-USD,Twap,199999.99999999977,0xffffffffffffffffffffffffffffffffffffffff,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,1.6569920152093411
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1750960434046,RESOLV-USD,Twap,-500000,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.14715784077407068
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1750948436170,BERA-USD,Twap,3278.6,0xffffffffffffffffffffffffffffffffffffffff,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,1.6718044577840332
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,2638.12095878,0x0000000000000000000000000000000000000000,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,
TRANSFER,0xc531a39cd1be2193ae0e0425b46e6201eb00c2ce86374c4d42397f0bceec6aa9,1750188159047,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1749689908119,RESOLV-USD,Twap,-326237,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.34580774742269493
SPOT,0x61e19bdce8dcd0f6761304253b2c930203c800166aa797c2421b16e733667871,1749571550005,POINTS,order,-4888,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.014196
SPOT,0xbc595a9c2cee3c65cc0e04253b2c67020685004037f040907da66e6e17fb6335,1749571546147,POINTS,order,-4888,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.014201
SPOT,0x770544faae96b37cab0904253b2c410202790081218c8629d2ec32736d6bd6ec,1749571542428,POINTS,order,-4888,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.014211
SPOT,0xb7e612c5802a1b8c7a540425385ae70203fa008d8e02634f185de0d14cd66b54,1749557421310,POINTS,Sell,-4781,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.014936205605521858
SPOT,0x991adc5ff9c5c87fc1070425381867020d2a008afa0c2b14d28f2b0a3c03827b,1749556134918,POINTS,Sell,-4552,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.01492826625659051
SPOT,0x4347e51a4536cfe3ae13042538137c0203b600d31d41680eddbc6c53a81db104,1749556040339,POINTS,order,-3111,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.014927
SPOT,0x671cf02a37ed42e4d70c042538135f0201f80086e6f419ca406b539c17aca9eb,1749556037366,POINTS,order,-3111,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.014931
SPOT,0x9156b0cca2e20dcd6349042538133702038f00305edf44681b3f4540dc45a463,1749556034093,POINTS,order,-3111,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.014939
DUST,00000000000000000000000000000000000000464,1749513600020,VAPOR,Spot Dust Conversion,-0.72293,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.002937
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1749513207005,POINTS,Sell,-2957,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.013494
SPOT,0xa0d0aa8fff755dd1e3f704252dc92402020100cb8f9d7a0521e142aede5e9d74,1749504340247,POINTS,Sell,-1646,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.013464
SPOT,0x069152d899e34bea998604252d9f4802049c00607e41d2cfef730e2ef517e648,1749503529249,POINTS,order,-3111,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.013464
SPOT,0xb262e0fe912d4d43f55904252d9f290203fb0007e175dbcb9a04e49a9ab53d1c,1749503526378,POINTS,order,-3111,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.013474
SPOT,0x50bba80f85f04f022f9204252d9db1020439007732270f71c34accde66d84240,1749503497352,POINTS,order,-3112,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.013494
SPOT,0x5e7ef848d23c1894675704252cf71e020168006cf9c2181972da69b3233ad066,1749500204852,POINTS,order,-3000,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.013662
SPOT,0x7c1de7947e040bd828df04252ce04801a70043a4d1cee728577a70f5329e5cff,1749499746370,POINTS,order,-3000,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.013664
SPOT,0x5f0d55071326a1c506e904252ce02a013200b66a44e0121c5fc3a3a91260cdb5,1749499743472,POINTS,order,-3000,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,limit,0.013674
SPOT,0x0b3fcba19dda3045c02704252c858f014a0079d658f5bb5432025b92b789ee24,1749497967070,VAPOR,Sell,-1,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0xffffffffffffffffffffffffffffffffffffffff,0.0024272
FAILED,0xe00880dbe7416bcff34704252c0848019800ac1c359d560579aa83865136337e,1749495512281,-,approveAgent,,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,Invalid nonce: duplicate nonce 1749495413613,
FAILED,0x92bf782cebe591a73cf204252c084601e900a1692356172f83eba26bff059d74,1749495512148,-,approveAgent,,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,Invalid nonce: duplicate nonce 1749495413613,
FAILED,0x07516a0aa62bb963a9ee04252c0608011200fb402d20ee73b63a8687b3eddea4,1749495469179,-,VoteEthDepositAction,,0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,Deposit has already been credited.,
