class,hash,time,token,type,from,to,USDAmount,priority,fee
VALIDATING,0x7ede540adbb8ab801f2804231617df01cd00e751459311629370c11f18329360,1746754709801,-,tokenDelegate,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,-,-,-1,0
VALIDATING,0xab052468e673e3d31edb0421c05d2e017d002ed436e71027e2afbd9169d933a2,1744937078487,-,tokenDelegate,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,-,-,-1,0
PERP,0x3be541ae3c75e9afdb1204212ef5dc02017d00b30ff0d6d81ea7fa3a15f8416f,1744167332579,HYPE,order,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,limit,-48.30273,-1,0
VALIDATING,0x34fe290aaf6eb2b246b804212e008502010f00abc79284632a39e0e4bf817ba8,1744162316391,-,tokenDelegate,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,-,-,-1,0
FAILED,0xb0789b4b0a29c65abe5c0420fd368b012f009265d7f53549a73122b532b70437,1743905799784,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
VALIDATING,0x59e49295df4b6cab827d0420f12eb4012a0094930777230328570be48c84bb34,1743842013350,-,tokenDelegate,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,-,-,-1,0
FAILED,0x7f83eea1126464ce38dd0420edc03a010d00410fb046e80c43853e9a4f4237b3,1743823675052,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0xbe22bdf87184f1a0b42b0420dc309901070006b7d88eb0f0a8e24aba57de45a6,1743731701840,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0xe34368a1bcc57f041dba0420cb15fb016600986811f52b33d6a97ca0b41ae03d,1743642906146,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0x73d76dc17a50de6d5baf0420ba48a601a200fe7cf386f4fde1d4beac63b47f75,1743555678201,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
FAILED,0x398265c28aa46e30d5cb0420a9ce3901dd0071588c84ed63363e5d83a1fa71ab,1743469164530,-,VoteEthDepositAction,0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,Deposit has already been credited.,-,-1,0
