class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,12371.43813434,0x0000000000000000000000000000000000000000,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0,-,0
VALIDATING,0x360a47613d10b5b498fb0423490c8b01ee004fc70e44a460f2d71fe3c2929bd5,1747019291538,-,tokenDelegate,,0xaefcc9cacbe0e41978bef1818358f471848de9cb,-,0,-,-1
TRANSFER,0xcd8c9f741eb0ecae4fe9042349060b0202a2002b8dfa5f14ab8d4a6229da2d70,1747019161322,HYPE,Transfer,48583.521925,0x99cecf238f6d2f0f0cfcf4f272a46e6e979854c7,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0,2002491.3149436875,0
TRANSFER,0x5ea0d158c670574575bb042349028b01ae004aa117498cd1dcc09b0c4526385b,1747019092644,HYPE,Transfer,39922.459202,0x94a02c495f1518649376541811ed375d624cad41,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0,1645503.962158435,0
TRANSFER,0xfcb4eb2634c3f8e76e1a042348fc2b0202f800d005a93e34c24019af72604271,1747018965795,HYPE,Transfer,192011.6715,0x35c1bc1f4076856c5dd3b9459b7c5537806c28c2,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0,7914241.07005125,0
FAILED,0x86be087933139d786696042348faa402024e000db15e69b36f6ef85a39833893,1747018936174,-,approveAgent,,0xaefcc9cacbe0e41978bef1818358f471848de9cb,Invalid nonce: duplicate nonce 1747018915444,0,-,-1
TRANSFER,0x0cae073db0547a0a0acf042348f86702028d00edd8b91d75268b12519e387d99,1747018893654,HYPE,Transfer,10,0x35c1bc1f4076856c5dd3b9459b7c5537806c28c2,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0,412.175,0
FAILED,0xd2a84d43ff86e9af35a7041b4af9d20126002efd40733bfa6ea5f6dbaa0ecc2b,1736694521131,-,approveAgent,,0xaefcc9cacbe0e41978bef1818358f471848de9cb,Invalid nonce: duplicate nonce 1736694491384,0,-,-1
VALIDATING,0xe9a21916023fa98d1ae5041aebf49802030200f2c9cdf7a0be5c352e23eceed4,1736298601482,-,tokenDelegate,,0xaefcc9cacbe0e41978bef1818358f471848de9cb,-,0,-,-1
TRANSFER,0xc11c6d508971b9f46057041a5cbc1501360011b3fb5d5105a24f55a76aa19c8d,1735703155016,HYPE,Transfer,225802.15,0xcd0405424640b2881bc46750b266cd9973618942,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0,9307000.117625,0
TRANSFER,0x0bbdbe30124e86fa5728041a5c91be020152009803ae81fa9a164a31ff75a627,1735702466986,USDC,Transfer,-0.54108342,0xaefcc9cacbe0e41978bef1818358f471848de9cb,0xab4ada40112e0051a5add07f2304d749bb8944fa,0,-0.54108342,0
TRANSFER,0x8b0049f2324441b8a2cb041a5c85fc01a400d6ff71c14f89fec60f08f3af24b9,1735702275812,USDC,Transfer,9,0xcd0405424640b2881bc46750b266cd9973618942,0xaefcc9cacbe0e41978bef1818358f471848de9cb,1,9,0
