class,hash,time,token,type,from,to,USDAmount,priority,fee
FAILED,0xb453a86bd354191daa3d0426e524ac00004f60a688903f77c3607893bec4b68b,1751740525350,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
TRANSFER,0x7cab9e677044d7907c4a0426e52316012900da25b3b862f44b86bb49e9e9af17,1751740492111,HYPE,Transfer,0xaf297dec752c909092a117a932a8ca4aaaff9795,0x2222222222222222222222222222222222222222,-103036.25,0,0
PERP,0x3c9c5135146b033b7d9b0426913479020129009d0f6e5dba44f8a2c29db81439,1751317368881,SOL-USD,Close Long,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xffffffffffffffffffffffffffffffffffffffff,-1355.3766,0,0
PERP,0x726deef9508b741ab17004267f51e002016d006299420881dce8e268f5bfe9da,1751227210958,SOL-USD,Open Long,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,9998.855999999998,0,0
TRANSFER,0x1ac6d2362f594ea1f63304267f4a2101e7006bcdc173d0aa05d6c6802b94fd53,1751227056510,USDC,InternalTransfer,SPOT,PERP,10000,0,0
DUST,00000000000000000000000000000000000000002,1750723200086,UBTC,Spot Dust Conversion,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xffffffffffffffffffffffffffffffffffffffff,-0.0007802116,0,0
FAILED,0x0af1944ca8551d7377910426151280018c0073ed531f0163e2a06a310ae3f59f,1750684267568,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x184de392457f24450e4a04261511a50201c0008f518c0001d6540e1e5f3f16a5,1750684250686,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x10efc76c0a1465b822c80426150d5e01e700dac77c03d25deb37656e4d656332,1750684164994,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0xcd745b095bda4e9399d80426150c9000000a961b987a655e6514f79708a82644,1750684149601,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0xc7867e177acc6a144ce804261507d102014e0025dbcfc3fc568d1d3e3cea2e7e,1750684048502,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x508e2ddce6f6bce6138b042615065b02016a00bfc1c6933e162cfc4d510329ab,1750684017082,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,"L1 eth api error: nonce too low: next nonce 13, tx nonce 12",-,-1,0
VAULT,0x341bac951ca4f9b7648104261502c602053500249ae269885e2db23e1044305e,1750683941075,USDC,vaultDeposit,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,-50000,0,0
TRANSFER,0x233edaf86e7970f2899204261501e301ac00c7cfdc252b9067b5c516fcfb2445,1750683923886,USDC,InternalTransfer,SPOT,PERP,50000,0,0
FAILED,0xe37679a61290f5350185042614fa320180006907267181a8f46a3cc57e6b8ac0,1750683775863,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x3bb0350bc5665a07d4f7042614f954010600ccd623b67ef33ad9c2b540a3bd43,1750683759478,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1750683758009,USDT0,Twap,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xffffffffffffffffffffffffffffffffffffffff,,,
FAILED,0x87dc2bbcf30d3aea9827042614f0dd02017300d64ce8baecca6a7fb2a0cbc0aa,1750683587938,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x841b7149f381f4a51b32042614ef47011900917e293d577b891afe1d7adf7558,1750683558346,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
TRANSFER,0xd99222a12a5306d25393042614e727017a0095edbec62dc861f2d837869e5add,1750683395077,USDT0,Transfer,0x200000000000000000000000000000000000010c,0xaf297dec752c909092a117a932a8ca4aaaff9795,48983.095,0,0
FAILED,0xc1c347b532925f4ee8a2042614e47d01c4005c1f6dcc29021593cc49fd5b7c59,1750683342456,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x7a48374a01af8e23a188042614e25f02016e0021cd34e0183cb5b5737a545ad2,1750683301149,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,"L1 eth api error: nonce too low: next nonce 7, tx nonce 6",-,-1,0
TRANSFER,0x65d1e0f5abb0a0c59605042614e25e020305003244ad0411cb3b8b4be5588926,1750683301051,USDT0,Transfer,0x200000000000000000000000000000000000010c,0xaf297dec752c909092a117a932a8ca4aaaff9795,999.655,0,0
VAULT,0x5aa2f4203d9727285cfd042614cb3a02022c0019655ffda573108a98a1e38be4,1750682848580,USDC,vaultDeposit,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,-10430.789065,0,0
VAULT,0x2aa96bb00baf7dd3bf7f042614ca4f0201cb00730584860765546a0dc17fef17,1750682830453,USDC,vaultWithdraw,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0xaf297dec752c909092a117a932a8ca4aaaff9795,10430.787917,0,0
FAILED,0x035417a87fb038cf9957042614c8a802012a007a934abae69b00705a53c659da,1750682797950,-,vaultTransfer,0xaf297dec752c909092a117a932a8ca4aaaff9795,Insufficient vault equity for withdrawal,-,-1,0
FAILED,0x33feb6aeae1f70fee19c042614b9b702036800dbc209f0557b3147cace7b8c59,1750682504606,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x06319e5582e35734b948042614b62d011800aa3194c40d7c3c399c7b69362e9e,1750682436115,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,"L1 eth api error: nonce too low: next nonce 5, tx nonce 4",-,-1,0
FAILED,0x23f716c0a98cb89700da042614b3cc02012600c1c9b37d6dbf3f7e2f9324b658,1750682387175,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
TRANSFER,0x4f9da9f1afd7f8944e3e042614b1f5018900be1686be622b97d86f85920d2488,1750682350926,UBTC,Transfer,0xaf297dec752c909092a117a932a8ca4aaaff9795,0x20000000000000000000000000000000000000c5,-543708.783460505,0,0
TRANSFER,0xa8b1288af0f34227c021042614ac3702010000f512c52677eab55341f3ae5f3d,1750682244124,UBTC,Transfer,0xaf297dec752c909092a117a932a8ca4aaaff9795,0x20000000000000000000000000000000000000c5,-11096.150000000001,0,0
TRANSFER,0x50fc1b9c50b48bbc611e042614a7fe01bc005667a320ca9fb1cead1860eff6e2,1750682159936,UBTC,Transfer,0x574bafce69d9411f662a433896e74e4f153096fa,0xaf297dec752c909092a117a932a8ca4aaaff9795,554804.9342816201,0,0
FAILED,0x6816cf765d50f54f9cae042614857301a700686cd6dc1c1100674f2477629c88,1750681476591,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x35fcd2c6ff9857066cb6042613f03702017100727accefeb77348d063c6021fd,1750678539239,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
FAILED,0x81692b76fc7fcde6afc5042613ecb20000fb00b1369dbbf701e62070b0ee1482,1750678469715,-,evmRawTx,0xaf297dec752c909092a117a932a8ca4aaaff9795,L1 eth api error: already known,-,-1,0
TRANSFER,0x3d00dc350fade92cfa98042613e79b0201b000be4caba712b2eb720a0c4914ea,1750678367634,HYPE,Transfer,0xaf297dec752c909092a117a932a8ca4aaaff9795,0x2222222222222222222222222222222222222222,-267894.25,0,0
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,0x0000000000000000000000000000000000000000,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,0,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1750457302057,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,,,
TRANSFER,0x50ef77daa18ca94ab5760425e704d90176004662a19aa1f69be199ab0b59ad12,1750446471373,USDC,InternalTransfer,PERP,SPOT,1999900,0,0
TRANSFER,0x30c08961bef51261a2780425e7029802044400cb286567f1ccdf04f7c41be757,1750446427355,USDC,InternalTransfer,PERP,SPOT,100,0,0
DEPOSIT,0x7e24b2507d05dc512613b4a3e128c85317933a4b0c125bcb95f5467902c4dd30,1750446043345,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,2000000,0,0
FAILED,0x7247aa1b48194b0df4070425e6ef0c01cf00808aedfff58d49811533121aa0c3,1750446043345,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1750221089027,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,,,
TRANSFER,0xd4008b08f6e6af6f83dd0425b7037701bc00d7d6e0e3dc2c18f5362c54950885,1750201177315,USDC,InternalTransfer,PERP,SPOT,500000,0,0
DEPOSIT,0x07333cf9c860ceaa3cf4054ad197a023149f829e7b19266ae3776d573a573157,1750201065717,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,500000,0,0
FAILED,0x8bc3525b46f07d5352a50425b6fd75010200b5a4899cbc1b0f6a24032270e832,1750201065717,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1750199892073,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,,,
TRANSFER,0x18c9c24ef03a836553d10425ac99f20166007b7cae7497c14f2f3769dfaeda06,1750148568758,USDC,InternalTransfer,PERP,SPOT,1500033.34,0,0
DEPOSIT,0xdde355800add1c69f70a4a4a3ca647c2300fc825ad9f9b7fa35a5ce3a360f6bd,1750148503956,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,600000,0,0
FAILED,0xb7b72032bd8af5ab1bed0425ac96b801fb00d22d440f23063cc4f5ef9812c8c9,1750148503956,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
DEPOSIT,0x1ab3fafa6c552c9ead5e6f3a35b587a6f8fb8426b78e2c6de83b50c88448f03f,1750148422309,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,900000,0,0
FAILED,0x586aa01257e1daf6f6310425ac92a4020155004daf14b7af249ef415dd2def4f,1750148422309,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0x6d4361bd417651ac1b1b0423f80cee020182002830323a638a49151e29395cea,1747920101895,USDC,Transfer,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xab4ada40112e0051a5add07f2304d749bb8944fa,-0.53315917,0,1
TRANSFER,0xc7606d1bc8a25d0753e40423f80a4d0204ab005b65e44078e7c018a082197d9c,1747920050380,USDC,InternalTransfer,PERP,SPOT,1,0,0
VALIDATING,0x20f36a0983525332998b0422b94ba702010a0001d04230f162955a84589381f3,1746265329433,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
VALIDATING,0x272cee23e754143f1f490422b94abc012e007d0fe1e69cc92885556ba57777b2,1746265306318,-,tokenDelegate,0xaf297dec752c909092a117a932a8ca4aaaff9795,-,-,-1,0
TRANSFER,0x10ae41f4b6b96d49f9bc0422b920810127008eddc971597e8015a5ab813afc0c,1746264397955,HYPE,Transfer,0x27f96bd4157a1a1d1dc56927fb6454b4c01ad839,0xaf297dec752c909092a117a932a8ca4aaaff9795,1524970.2680289978,0,0
TRANSFER,0xb6e8127edf22e9120ce90422b91d270129009b56e864f2bad63f952e0b513a3b,1746264331480,HYPE,Transfer,0x27f96bd4157a1a1d1dc56927fb6454b4c01ad839,0xaf297dec752c909092a117a932a8ca4aaaff9795,4121.45,0,0
PERP,0x0f3e34d19088ae69a14b041e9d9b52020319004679b294e6078f00c5370f8c8c,1740722007779,BTC-USD,Close Long,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xffffffffffffffffffffffffffffffffffffffff,-4159.91376,0,0
TRANSFER,0x94e2c6eb8f67cb064f3c041e2fff570201ea00bbe9043cb0b5f54a79443fbac8,1740143599636,JPEG,Transfer,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0xaf297dec752c909092a117a932a8ca4aaaff9795,616.6118421052395,0,0
TRANSFER,0xef446f7c2fb0aceb78d8041d9d1a540153002929b3ad0d9fd282e2835c274a11,1739350638982,TIME,Transfer,0xb932c0d5c87b5f8354cc8898ba74e5f28510c10e,0xaf297dec752c909092a117a932a8ca4aaaff9795,21.693333332465603,0,0
VAULT,0x650429f61552a601ed6c041d0f1fb60201b800585c00a878aff177f03baed5b7,1738587114826,USDC,vaultDeposit,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,-10000.003392,0,0
DEPOSIT,0xd13cac2052c68196e7560cec36054df392fd9b08bbda7032cde2d503f9e0eb5e,1738587056262,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,10000,0,0
FAILED,0x4f1751f78784b5fe1538041d0f1ce901180078425d1c166041a30f6a7f29a9af,1738587056262,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0x70bb83cfe5f38a8a89a5041bac650c020208007c46a0b1cca85b1283648f78b0,1737110077334,SENT,Transfer,0x3d855cf5fff6eec436123d8f49e7afeac2b2a242,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.282,0,0
TRANSFER,0x7ed8405cf428574ead19041b94935b0202170086fc62e8f24becad37159a98f2,1737011010410,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x30a91fd81dc8e39fbf75041b9487720201d600662ef9035ebbc30874068ca23c,1737010816287,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x4dba6241cf72b324f47b041b947c9102020900e3bba67b622c1eeffabd26a08a,1737010638173,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x5f360a5470fed6cbaf23041b94687902017e005e794795386385e1a81028a2f5,1737010310990,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x6ee09daad25b4fac1156041b94637601ca00337f1f0c96a3fda2790dec07e6ee,1737010230001,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0xd57790c4da11410cd751041b944ee30201e90054d6260e930fc0d81363cb4c61,1737009895376,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x72abe3824414b2dcbef3041b943d4d0201af004a63bef2c4e82be8ad7c872ae1,1737009610855,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x04bd2a78763dfb0ea19b041b9436030202c800ad1d30aacd1e3336e4579968d5,1737009492112,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x61a7b598551b2ca0187b041b941f740202e300540a97caf1263766c82980982a,1737009124486,USDC,Transfer,0xe45f140ff20c5987f5dc4036a2a1970179b555fc,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x7024fd42d52fc8219c2e041b93e9890201ab003e018a7e420377e251e43558c1,1737008249255,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0xb59a2178e68e61c49664041b93ca4302021300f4b6bc24de0e477a921f349778,1737007733102,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
TRANSFER,0x544e7b0fe556d493aa7d041b9344c902010f0055ba1200647c2fe20e19d0b013,1737005566312,USDC,Transfer,0x7116f357eec91d67bdacc10bbf1a9488f3ea241a,0xaf297dec752c909092a117a932a8ca4aaaff9795,0.03408092,0,0
