class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0xa9c24d5c073017f67c41042734c0b002017c00e65eb6402719d69c1669d3d214,1752141561158,ETH-USD,Open Short,-0.5652,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.3,-1570.8603600000001,0,0
PERP,0xe167a3bd24ae0f2c4637042734c0b002017b00b3026a6ea23cfb86e70fce63bc,1752141561158,ETH-USD,Open Short,-1.2348,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.3,-3431.87964,0,0
PERP,0xd9f8e875a378f26ecc3e042734c09802029e00357d01fed417107eca96f0baec,1752141559548,ETH-USD,Open Short,-1.3498999999999999,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.3,-3240.6638,0,0
PERP,0x4a70a53ea6694be87553042734c0910149004c40224eb7308c32bca649886ae9,1752141559087,ETH-USD,Open Short,-0.09,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.6,-250.164,0,0
PERP,0xc74d3c552091e3810dcc042734c091014800056aa18704659c75b90bac52e1aa,1752141559087,ETH-USD,Open Short,-0.36,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.6,-1000.656,0,0
PERP,0x13e673a2ad9d9e921065042734bf0201b700246f06c55b44dc165f613a12ef80,1752141528619,ETH-USD,Open Short,-0.9216,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.3,-2561.40288,0,0
PERP,0xab22e31b23ab219f988c042734bf0201b600388cec9f8da76f3f83ed5efa82fd,1752141528619,ETH-USD,Open Short,-0.8784,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.3,-2441.33712,0,0
PERP,0xe724e6b84f0b48e82b12042734bed502017d000f1056f54a1d422c4c02e4d1da,1752141525124,ETH-USD,Open Short,-1.7996,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780.1,-5003.06796,0,0
PERP,0xb32d8ded7755206b58c9042734be48020110003338ee4e335462259c25a132e1,1752141514871,ETH-USD,Open Short,-1.7996,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780.1,-5003.06796,0,0
PERP,0x5e64da7f57db57d69850042734bdb301980083c81725891d717ee80a0e21c6d1,1752141504581,ETH-USD,Open Short,-1.7996,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780.0999999999995,-162.07983,0,0
PERP,0x9b461e918235e9ab47c2042734bd73015d0092c8a132f53324a8fe2945c7ab75,1752141499848,ETH-USD,Open Short,-1.7997,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780,-5003.166,0,0
PERP,0x19d0bbcb95f464ed17fc042734bce8020d16002330d052141a782f1cba8f59b8,1752141489898,ETH-USD,Open Short,-1.7997,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780,-5003.166,0,0
PERP,0xa2d3bb1bf95650e8405c042734bc5601aa00e7cfc19b532b034a49f32b3d8af9,1752141478633,ETH-USD,Open Short,-0.5039,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780,-1400.842,0,0
PERP,0x10ba1bc6f842f033c2e1042734bc5601a9007210db190f4ac39f64fe58543a02,1752141478633,ETH-USD,Open Short,-1.2957,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2780,-3602.0460000000003,0,0
PERP,0xeae3f88e0608caf8b436042734bbc402012c00be67e27390b7e8112b107b8c83,1752141468448,ETH-USD,Open Short,-0.1152,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-320.24448,0,0
PERP,0x0a7af19b654bf050d6a8042734bbc402012b00d4125af9cf37cf4d5ce5e7121b,1752141468448,ETH-USD,Open Short,-0.2699,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-750.2950099999999,0,0
PERP,0x805a826090184e7eaba2042734bbc402012a000943e2ed726d6a8d5418e9aa2a,1752141468448,ETH-USD,Open Short,-0.0072,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-20.01528,0,0
PERP,0x6b93b8bf701d9a5c82af042734bbc4020129008000d1fbad687d439b36999760,1752141468448,ETH-USD,Open Short,-0.4967,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-1380.77633,0,0
PERP,0x3fcf2c25dfe0d5553ce0042734bbc4020128009bc9c4e09956a0b141c77bb52a,1752141468448,ETH-USD,Open Short,-0.0216,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-60.045840000000005,0,0
PERP,0x20dfb9a1a0a7d2a3c631042734bbc4020127005b1b2ff309eac475c05111e407,1752141468448,ETH-USD,Open Short,-0.7414,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-2061.01786,0,0
PERP,0x3be31b419a7f8452076a042734bbc402012600af9b6fa7adee8e61639d9270a9,1752141468448,ETH-USD,Open Short,-0.1476,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.9,-410.31324000000006,0,0
PERP,0x128db68db02140a391aa042734baf202016e00681bb9370647d0abbee7033b24,1752141452454,ETH-USD,Open Short,-0.0072,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.5,-20.0124,0,0
PERP,0x254eaecffb251be7e60b042734baf202016d00f480181c2bff94344357b7d4be,1752141452454,ETH-USD,Open Short,-0.0072,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.5,-20.0124,0,0
PERP,0xfe3a9f0a2e7a66516407042734baf202016c00743cb63aa1f6c6f1b49476bbfa,1752141452454,ETH-USD,Open Short,-0.2736,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.5,-760.4712000000001,0,0
PERP,0xed017c9c8454529ba4f9042734baf202016b00b301dcf2b1d89db94949714d99,1752141452454,ETH-USD,Open Short,-0.0108,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,0xffffffffffffffffffffffffffffffffffffffff,2779.5,-30.018600000000003,0,0
