class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x3870db19e6b2e8b74d6904272de55101430036a1d3108db5c976c81ab9639feb,1752107503035,HYPE,Transfer,-20000,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xc15add7eb1ba708bc7189cef6a4c47200b77a52b,41.2975,0,-825950,0
PERP,0xb1e71e4494f6532acedd042618cf2b02020600b880cf4486f22bbf91c2e395e6,1750703853796,BTC-USD,Open Long,1.0000000000000007,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103239.17757247767,0,45357.065,0
PERP,0xd52cbb9bb1b95a312f8d042618cf0502024c00925441e5b3d0423dedb2e7c76e,1750703850510,BTC-USD,Open Long,1,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103188.99999999999,0,99270.91367000001,0
PERP,0x25c0045652227b889dae042618cedd0201d9001aa476a0c0974224d9f64c7a70,1750703847653,BTC-USD,Open Long,1,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103172.4343390248,0,11637.31708,0
PERP,0xa799718bc69cb8344d1c042618ce4e0205690013a53173504770107d9746efaf,1750703836556,BTC-USD,Open Long,1,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103166.2486150495,0,4259.68285,0
PERP,0xa47f43511a8b49c5b36e042618cc71020555002f6fcabf8fac590b5ffe823058,1750703796152,BTC-USD,Open Long,1,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103176.23206824932,0,5332.600799999999,0
PERP,0xc46f453d70d5ae08203e042618cb370201ca000bae999e764aee5cd0a49bc615,1750703773608,BTC-USD,Open Long,5.000000000000003,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,97243.76345890682,0,9325.64754,0
PERP,0x8b9ae4f8abd067146dc8042618cadd0202ce00817ea96dfc8d4faaaac475d3a9,1750703766708,BTC-USD,Open Long,5.000000000000001,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103107.00000000003,0,147805.94663999998,0
PERP,0xc9d869288d5fc94dddc2042618caac02079f008cf71eb6ae56ca8b226584ec22,1750703762891,BTC-USD,Open Long,5,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103113.33321801644,0,4659.67647,0
PERP,0x1c6931e6570841147438042618ca800206ca00579b50f1dcc67c19f671e8941a,1750703759267,BTC-USD,Open Long,4.999999999999999,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103143.96389877783,0,189391.83101999998,0
PERP,0x65c6df6f0e8cbf3f1c71042618ca550205c50039620efcecb490025015ed13d8,1750703755784,BTC-USD,Open Long,5,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103146.93660963765,0,203796.98535,0
PERP,0x528c1793490684fe452f042618ca1e0202f600249bbb5d6a0e06db22392c9308,1750703751454,BTC-USD,Open Long,2,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103108.00000000015,0,4760.49636,0
PERP,0xc2386934d08af542a715042618c9f4020221006d558b079499d31fa714cd2175,1750703748557,BTC-USD,Open Long,2,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103129.3553510138,0,25479.748799999998,0
PERP,0x970ae55bc796c3208ca9042618c9b8020621003287aa31ac4146ac4c026ed2a6,1750703744047,BTC-USD,Open Long,2,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103130.50793650739,0,47436.58,0
PERP,0x81fbe0db196bc179b6ab042618c98c0205170031e45eeb04421132e715ca2819,1750703740358,BTC-USD,Open Long,1,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,103095.70264238061,0,5701.41011,0
TRANSFER,0x02137f4a3688dcddcc5c042618c8e001f9006f6a9638a76d0b59f4f0befb58b8,1750703725867,USDC,InternalTransfer,515243.71,SPOT,PERP,1,0,515243.71,0
SPOT,0xbf32d37d269e2694bc7c042618c8210203c1001487b0f1c8aea32dba9035fdf3,1750703709539,UBTC,Sell,-0.00008,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,103136,0,-8.25088,0
SPOT,0xe538a591d6cc7e46a9b3042618c808020677001f125fdc060174685564fd074e,1750703707029,UBTC,Sell,-0.9999999999999999,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,103095.14084000002,0,-12471.2233,0
SPOT,0xffa9ed26a4993f1d0708042618c7e00204fd005dba4c14027e4acb936b68326b,1750703703452,UBTC,Sell,-1,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,103087.31636000001,0,-623.5735,0
SPOT,0xe9e1f85715cf727e1d66042618c7c902072c00ff7126bad3b958864f6948029e,1750703701246,UBTC,Sell,-1.0000000000000002,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,103066.19739999998,0,-17436.41366,0
SPOT,0xf690c0f074b3c5e08f4e042618c77d0204ec009bd012f7c71112ac91542308ef,1750703694961,UBTC,Sell,-1,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,103083.35415000003,0,-42300.52923,0
SPOT,0xb577161bfbcc401ee41f042618c75302060f0075e3ec365fad915ce6ecf5998e,1750703691674,UBTC,Sell,-1,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,103111.27790000002,0,-6773.09883,0
PERP,0x447e99087b72a1c94956042618c3970203f90060c1a330e8b6b4f26e790cfa12,1750703615798,BTC-USD,Open Long,1.9432900000000002,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102920.00000000006,0,47979.245599999995,0
PERP,0x9d2cba831b9174a79626042618c1fe02045a00882e7288380d2b61fa44bcc8c0,1750703584988,BTC-USD,Open Long,1.9430800000000008,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102979.52712273608,0,2421.66624,0
PERP,0xde602b749fcf22499c0f042618c1cc02118900a0dc0224247d05bb2243da3fdf,1750703580883,BTC-USD,Open Long,1.9433999999999998,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102931.56224824669,0,57780.31685,0
PERP,0x981ccb70c72662f240e0042618c17e0201650019fb2df90f600d13e70842bbfb,1750703575029,BTC-USD,Open Long,1.9434000000000007,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102936.79964795869,0,4862.22424,0
PERP,0x75609e21baa00cf71fcd042618c1460204f9009a5bd1d64705c773c4a4f37712,1750703570666,BTC-USD,Open Long,1.9438900000000017,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102926.35030527819,0,8138.04254,0
PERP,0xf4c80cac4278de53a247042618c10a020103007bde3367a9c6f1715ccb586fc5,1750703566060,BTC-USD,Open Long,1.94486,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102898.00000000001,0,182888.84724,0
PERP,0x4acf8af4351c447ae9d7042618c0e002017e008d9ac6eee9e7853c5662716a50,1750703562850,BTC-USD,Open Long,1.9446500000000002,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102889.20845929299,0,43098.06186,0
PERP,0xc0e76eb4ebfe198207ca042618c09802029f007988be3910b073f73376fdd778,1750703557478,BTC-USD,Open Long,1.9442,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102845.99999999996,0,41253.58752,0
TRANSFER,0x7cf136d42d2f68d14f9d042618bf480201c800f3da5803571d41f856bf9e3dec,1750703530169,USDC,InternalTransfer,205859.91,SPOT,PERP,1,0,205859.91,0
SPOT,0xa10703905c4491ec3664042618be120202e30083d22070942a4041340e115e4b,1750703506506,UBTC,Sell,-1,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,102971.38385000003,0,-8281.31409,0
SPOT,0xb27a088f8de27697de24042618bdcb02062c00946928d40b4020623c272c582d,1750703500087,UBTC,Sell,-1,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,102971.56016,0,-9031.6512,0
PERP,0x0c570422ec911542f9da042618afb7020145009ee7aaff6a4b5fa1706d4796fe,1750703213021,BTC-USD,Close Long,-0.19435999999999998,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,0xffffffffffffffffffffffffffffffffffffffff,102888.9061020786,0,-1877.706,0
PERP,0xe8c85768ccf8d1dbee4d042618ae6a02025300e4f580f69766c4f87629dfc6a9,1750703187278,BTC-USD,Open Long,1.9433799999999999,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102919.99999999996,0,75919.9672,0
PERP,0xe96abae51df23ea5c3ba042618ae3a02047f0075a6861635473c2f4dfe90f013,1750703183461,BTC-USD,Open Long,1.94338,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102927.00000000004,0,16244.96841,0
PERP,0x7be48f7364e2105a4546042618ae100205cc00ca22737858f9cf5e4545918324,1750703180107,BTC-USD,Open Long,1.9440600000000001,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102941.17967516868,0,3382.1155,0
PERP,0x85cecb07e02252f3448b042618adec020a9400193a8fbfd072a0e16394aeacf9,1750703176853,BTC-USD,Open Long,1.94435,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102969.34635044592,0,25142.7111,0
PERP,0x87bfc07520248519e48b042618ad740203e700ee6fd9a62f88f1dc9cd9c0293e,1750703167107,BTC-USD,Open Long,1.94427,0xffffffffffffffffffffffffffffffffffffffff,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,102860.00000000019,0,32807.197,0
