class,hash,time,token,type,from,to,USDAmount,priority,fee
VALIDATING,0x082a8e2215683720951a0426d929a201d4002e8e119d21d25deef6cebd8af255,1751679093647,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x1947ec0e39b5c70e73620426d9291e017a002f567bc99052bafe19569c0e884e,1751679084089,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x0bdaf5361fde098cd3ca0426d926cf016d006ce45964b4e9ac38f7332f73989d,1751679039588,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xa35b85a5a80d9704332f0426d924ae011400b462cb418fbee1456b9982becf6f,1751678998094,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,0x0000000000000000000000000000000000000000,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,0,0
TRANSFER,0x2d448c0f787e13ee49040425b46e8f01ae00e0d29951e3899328fc965a8741b9,1750188162403,NEKO,Transfer,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,0,0
VALIDATING,0xa93295fadd840d0e1dc30423bd518601e9005a157c752b04f51d7c7a0cdd0d33,1747619199340,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xaac92fb28165b9ae22c30423bd472b020399006e16eae5651f82c7ad60707f12,1747618993047,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x29cad9a03a26b9d318aa0423bd45aa02010e00aa6dc2cc6420aa0708facd2b35,1747618963441,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xe22291c226a76ecae6530423bd40620201b700c7deaeb727aaaa1b807a562cfd,1747618853781,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
SPOT,0xb620e6fde4bc0802e7980423bd38d902023a00e634783fc51b77514a726bb799,1747618699697,JPEG,Sell,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0xffffffffffffffffffffffffffffffffffffffff,-65.35225384,0,0
VALIDATING,0xca79200c2975831ddd2304231fe63c0203a700e591a051ded9ad7bea284833e8,1746805767671,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x0aaf07f441278d43cd0c04231fe3ea0203980073ef18e29b59e376d9e070800d,1746805721152,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xb50b44eb25ce61ee741f04231fdfa701f0004ff6846141a6284a10f4b3359435,1746805631273,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
TRANSFER,0x586ecaa0659c3925010e041e3000570202b100885f4a553d447d86edf0b5ee98,1740143621599,JPEG,Transfer,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,468.625,0,0
VALIDATING,0x581c20f33be0a96ad3f2041dd18e1a01d30083d4126bf64472f0198123ca7ab3,1739639619812,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xa431b321a18aef660459041dd18cf9019b0077948e2eca3922182f4496d79064,1739639599106,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x112ebb17016539c4c8fc041dcd0834018700cd88091c7e1115f090f0101fd236,1739615122223,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x02e16db49dd049c9144d041dcd073301c100424cda269b5239789a4d0b7c478d,1739615102118,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xd9145a024796e9a7b541041dcd041d01f90059e9a49777185efe30dcc032c999,1739615041968,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x7d27722584eb5d7c7327041dcd030b018e0018b8539f16e5f2380f1086f70eed,1739615019962,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0xd66e40ed8274639b9fea041dcd00fe012b00516db1a13455a447e9964c5ba8a3,1739614975475,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
VALIDATING,0x905884d4a9b6b5a54c72041dcd0073016800d1ac103517aae9438cef59696468,1739614964289,-,tokenDelegate,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,-,-1,0
TRANSFER,0xf498e5d7b23043edfd7b041c4a02e1015900738e01e3fcd0afb22947fcf323e9,1737678504439,HYPE,Transfer,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0x7c4b71c1d8a11ed426f301c372a72e06f528e00b,-4124550,0,0
TRANSFER,0xd8109146c2f06e4cea3b041c49f0d102012500bd44bcb66157182b3d259f3045,1737678280066,HYPE,Transfer,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0x7c4b71c1d8a11ed426f301c372a72e06f528e00b,-4124550,0,0
TRANSFER,0xec5afede00dfe6f4e5f5041c49e81d018d005d5efe3f75689fd05f11b957371e,1737678172526,HYPE,Transfer,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0x7c4b71c1d8a11ed426f301c372a72e06f528e00b,-41.2455,0,0
TRANSFER,0xf276117a0e0068f0e797041ba29bb801bd0006ca8fb79eda2dd4a5199fd610ad,1737069401561,SENT,Transfer,0x6dc420ebda65bd5f5c1dbb9a275d221fed4d0883,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0.321903,0,0
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,0x0000000000000000000000000000000000000000,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,0,0
TRANSFER,0x162f70334dd0bfc54337041b645ca10202b200c103e6dd9154088bdcc0ae1a8c,1736803574632,LAUNCH,Transfer,0x97634ac52d5bf7620aff17be184d87a2e8659104,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0.038233,0,0
SPOT,0x56b1d16f8c2331499f9c0419def94d014700462c7f0f854c57d6de4d840f7611,1734976787221,HYENA,Genesis,0x0000000000000000000000000000000000000000,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,-,0,0
FAILED,0x63612a7f181612a6f6f10419a77ca1019900c9c64ef34d44f374598f2e66b2eb,1734654045700,-,setDisplayName,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,User display name already taken,-,-1,0
DUST,00000000000000000000000000000000000000824,1734652800089,POINTS,Spot Dust Conversion,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0xffffffffffffffffffffffffffffffffffffffff,-0.0016927710800000001,0,0
DUST,00000000000000000000000000000000000000825,1734652800089,PURR,Spot Dust Conversion,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,0xffffffffffffffffffffffffffffffffffffffff,-0.26067098009580003,0,0
WITHDRAW,0xc22bca976ca780f7e285936a57be0c5dbfcd928c9b5109f36a863fb0a66aece8,1734648619289,USDC,Withdraw,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,Arbitrum,-3597.44,0,1
WITHDRAW,0x48d09c3ba6d680d938ebccb02955086b54209e56c0575931fa10684661ce195c,1734648443667,USDC,Withdraw,0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,Arbitrum,-35403.07,0,1
