class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x6b5a021d946fda227f3b0427332f5302013a007439477cd13cebeaff2bff4aca,1752133789680,UBTC,Transfer,-3.434995407,0xbf49647d017805fcc576ac10f33a788e636f4258,0x48bd6fa0c592cc3f075f71e80a2e030f3893a3b6,110959,1,-381143.655365313,0
PERP,0xc0ecbb6cae7a4e89c21b042733112f02032500bba3d276092b285a8b663775e8,1752133203135,ETH-USD,Close Short,0.9162,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,2570.8572,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1752133195043,ETH-USD,Close Short,0.0044,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,12.346400000000001,0
PERP,0xdb2f6cd8f60c6cb76fff04273310c3017600781c26583e2c0ab0def492fcdd90,1752133194926,ETH-USD,Close Short,0.436,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,1223.416,0
PERP,0xae99086c7d6a14897f2a0427331069014c00d2800916aa826aab0d7df323d04c,1752133187435,ETH-USD,Close Short,5.4848,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,15390.3488,0
PERP,0x397decf7551d1d475baf042733106501f4004fa9061db13d63ad714e3d501d32,1752133187152,ETH-USD,Close Short,1,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,2806,0
PERP,0xb60af6ead3562599569c042733105c018000f15d97987f884f2592d1090eb418,1752133186310,ETH-USD,Close Short,0.0512,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,143.6672,0
PERP,0xf7cd6cbd67b800caa2f0042733104402011d00eace546196028c050f37c3e874,1752133184606,ETH-USD,Close Short,34.308,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,96268.24799999999,0
PERP,0x7d83fc00b95d1e87daae042733102e01df0052fa65f1fe898fef12272084650f,1752133183124,ETH-USD,Close Short,14.3689,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,40319.1334,0
PERP,0xc78e4ee05bc364ad90d80427330ffb015000988ea0d4c49fbb8234bdcdfee57e,1752133179703,ETH-USD,Close Short,0.0043,0xffffffffffffffffffffffffffffffffffffffff,0xbf49647d017805fcc576ac10f33a788e636f4258,2806,0,12.0658,0
