class,hash,time,token,type,from,to,px,amount,value,USDAmount,priority,fee
SPOT,0x20448391fe262f20a1530426897dee02013e00dbbca9ee99692542c020b4a099,1751278660584,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.835,232.7,9269.6045,9269.6045,-1,0
SPOT,0xdd616e0b11fc2889f2e70426897dea0202300091b1f1db6763c4e6ceb55aa262,1751278660308,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.83,291.52,11611.2416,11611.2416,-1,0
SPOT,0xfc5cd03519a76bae6b6a0426897d0f0201a500b2f158b4d15b75e8b53fb5a597,1751278644612,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.845,164.08,6537.7676,6537.7676,-1,0
SPOT,0x56b207f38a4d674477cb0426897d0e0202a300bec2743eac636c4dfbf81236f4,1751278644536,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.842,98.4,3920.4528,3920.4528,-1,0
SPOT,0x06bb703f6356d0b51eb30426897c3a01fe00c19e13138f01c4abbc90abf05306,1751278628871,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.842,158.46,6313.36332,6313.36332,-1,0
SPOT,0x2a2fae91fd2d7b75c2540426897b5402027700c15f2307967afa4a990c1b4d6e,1751278611763,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.857,73.78,2940.64946,2940.64946,-1,0
SPOT,0xa94bf833828d0ff9c30d0426897b520201060054d7e6f0fa0798738d98af3d8e,1751278611553,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.862,116.37,4638.740940000001,4638.740940000001,-1,0
SPOT,0x676642e6efe0b747bf6d0426897a730204460054ce6dd9b3549110a48be5b3e9,1751278595750,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.849,88.5,3526.6364999999996,3526.6364999999996,-1,0
SPOT,0xe50a2d6d7fa9dcc92e690426897a6d02045000da7e7c743093caa38a1e6d3194,1751278595256,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.851,80.2,3196.0502,3196.0502,-1,0
SPOT,0xab77cc15747cf4edf6b304268979a302029200066b422fa7e437c1f357fe7411,1751278579392,HYPE,order,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,limit,39.859,300,11957.7,11957.7,-1,0
