class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0x88c6bba2e3cf061e0613042476c5e602016100562ea07b1a6a0caea99f4515bf,1748562494251,BTC-USD,Close Long,-168.07686000000004,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,0xffffffffffffffffffffffffffffffffffffffff,105349.49665218635,-473530.941,0,0
PERP,0x1a9c786898231e098911042476c5c00000982fcd87379ae6e4c73afa1ae2505e,1748562491105,BTC-USD,Close Long,-42.01921000000001,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,0xffffffffffffffffffffffffffffffffffffffff,105491.21207062194,-979268.9257499999,0,0
FAILED,0x89240c110c1837d1d6ba04246fe50d02011c00127692ddcf8891f0d433b2de6a,1748527473403,-,VoteEthDepositAction,,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,Deposit has already been credited.,,-,-1,0
PERP,0xd3edf80d85e6b946d3550423ee49990202e30020f40e3940167355600b285f67,1747870712148,BTC,order,0,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,trigger,118000,-,-1,0
PERP,0x2dc164ea91fcb8d1b7010423e366b9020183003abe459d138b28cf4bf84707a5,1747814508727,BTC-USD,Open Long,55.95294999999997,0xffffffffffffffffffffffffffffffffffffffff,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,107105.93429949756,190042.16166,0,0
FAILED,0x7e456c8181b0cf899b340423e24a28017b007ce2d205c2ebd442b8bf22278b6f,1747808819605,-,updateLeverage,,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,"Isolated position does not have sufficient margin available to decrease leverage. To decrease leverage, add margin to the position.",,-,-1,0
FAILED,0x198de423dbb3205a518a0423e248d2015e004782c047d7d70e3e4089f466e8f7,1747808794034,-,updateLeverage,,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,"Isolated position does not have sufficient margin available to decrease leverage. To decrease leverage, add margin to the position.",,-,-1,0
FAILED,0x71878514d9bce8d3d99b0423e246c2020158002cb0c5129934516deb9553e422,1747808753445,-,updateLeverage,,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,"Isolated position does not have sufficient margin available to decrease leverage. To decrease leverage, add margin to the position.",,-,-1,0
PERP,0x28be1a46e40e932c4ea00423e2455002010700626b664d527a0dfef178ce6398,1747808723355,BTC-USD,Open Long,75.08044000000001,0xffffffffffffffffffffffffffffffffffffffff,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,107353.66484939237,29780.7192,0,0
FAILED,0xe53bcd3d54c378306fcf0423e224b0010200aead4aec17024d052e8a0212c525,1747808074328,-,VoteEthDepositAction,,0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,Deposit has already been credited.,,-,-1,0
