class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0x24b1079267db9622faee0426eb3a62014300eedbb2943f543f01ca8b5e4655ce,1751771883332,HYPE,Transfer,67,0xe45c96a6a32318e5df7347477963bf0de38ff7ff,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,41.2965,0,2766.8655000000003,0
WITHDRAW,0xeef55e609a0f5466a826c9ce0f2c5a5937f7e472d02bcb702e8e3f5018645b78,1751211225236,USDC,Withdraw,-5725379.29,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,Arbitrum,1,1,-5725379.29,0
TRANSFER,0x961e2ef7580f1463794704267c1c1f019000ddf53a1af81700ce8ea21556a611,1751210946388,USDC,InternalTransfer,5725380.29,SPOT,PERP,1,0,5725380.29,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1751210889012,HYPE,Sell,-0.94,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-36.378,0
SPOT,0xf284224b401294dc22c904267c1912020121005f51af5c7f7cfd1f50312b3b32,1751210888726,HYPE,Sell,-6.89,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-266.64300000000003,0
SPOT,0x4a8b167036c85d7597d004267c191202011f00db7b31a9e408001d4a2bb84edb,1751210888726,HYPE,Sell,-3.48,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-134.67600000000002,0
SPOT,0x86c9824ee713b494e75204267c191202011e008805c770441c2dd0f5721b4243,1751210888726,HYPE,Sell,-4.46,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-172.602,0
SPOT,0xc5b8ac977224dcd813e404267c19030202ff00a1da3051b1819fcd3c0333bede,1751210887684,HYPE,Sell,-18.11,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-700.8570000000001,0
SPOT,0xc80c38b85a55dc4c910904267c19030202fe000436534d0bbf63c95ceda38b51,1751210887684,HYPE,Sell,-4.95,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-191.56500000000003,0
SPOT,0x248cc6fc67a7b809ecdc04267c190102024b0022f0ef755ddddf3f03f2c405af,1751210887538,HYPE,Sell,-1.25,0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0xffffffffffffffffffffffffffffffffffffffff,38.7,0,-48.375,0
