class,hash,time,token,type,amount,from,to,px,fee,USDAmount,priority
TRANSFER,0xf3f61ce326f00298875f0425fe8bf80202f6007731698e7f6208d8cfcf0856a1,1750568316991,HYPE,Transfer,-199999,0xd57ecca444a9acb7208d286be439de12dd09de5d,0x7bca0bede8347872e45d9995feaeba6a3c6e6a3c,41.296,0,-8259158.704,0
TRANSFER,0x156e89cfdea3cb2e5e6e0425fe8662019c00cab4b25e1095f3f522db8f8c0d94,1750568203085,HYPE,Transfer,-1,0xd57ecca444a9acb7208d286be439de12dd09de5d,0x7bca0bede8347872e45d9995feaeba6a3c6e6a3c,41.296,0,-41.296,0
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,1462887.93045738,0x0000000000000000000000000000000000000000,0xd57ecca444a9acb7208d286be439de12dd09de5d,,0,-,0
VALIDATING,0xfa86140b1ed171431d890425050a9b02012200101d784236e873d8232928f128,1749290971186,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x08ac5141f66282797d7804250506ed02017300d250e608114d178dc780bf4cef,1749290901113,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
TRANSFER,0xde4ef02920460380bfc30422eab3bf0205ea002a81d50aa7b1761844beb2ff91,1746528467639,HYPE,Transfer,-99999,0xd57ecca444a9acb7208d286be439de12dd09de5d,0x7bca0bede8347872e45d9995feaeba6a3c6e6a3c,41.296,0,-4129558.704,0
TRANSFER,0x381bececd0971ae4824c0422eab00c019000600a6495c13b9636dc835a636919,1746528393667,HYPE,Transfer,-1,0xd57ecca444a9acb7208d286be439de12dd09de5d,0x7bca0bede8347872e45d9995feaeba6a3c6e6a3c,41.296,0,-41.296,0
VALIDATING,0xff180a7619e6aa2bfe400422d6d851019e007c68d64cdc5b197bb409447e0e78,1746422984872,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0xc10e9aed68858bb13a810422d6d84c01c500bd9d7df927c5b200bbc0d85d8cdb,1746422984468,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x1897f5180e88af4b3ff10422d5ae8a013200861dcd6c789fbe90ebcd470ec207,1746416741958,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x644ac23f6d9f940eae6f0422d5ae8501bd00a45bf04d589cda7686cfa15e7c4a,1746416741470,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
FAILED,0x206a7a9735ede76b090b0422d5ad920202f70033669b79338e2baab3c290e859,1746416720082,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1746353460796,,0,-,-1
FAILED,0xcbd7b4428583ecc5cf4a0422d5ad8c0201c2009ebaa42b2f7673c8dabf6911b6,1746416719550,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1746353460795,,0,-,-1
VALIDATING,0xd1a1cb669e92766826f60422c9d05e019d0011dd3ee6d13d7438b7a880bddc19,1746353598646,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x822436c8d625fe58869c0422c9d05a02011300f1f7182e037c33c27df7d8535a,1746353598244,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0xd772ac07a9b361c22d680422c9caea0201d700dc2cda20881f8c7c33454301a4,1746353486515,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x3f7effbb6d681c3db5fa0422c9cad501500028c12a9ad63e0c0ab3014775b416,1746353484873,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x9509311cafe35122190904228acad90203e6004a0dd8ed77fd558743bb904d6e,1746019891113,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
FAILED,0xe09c73fa62ff4faeef7f04228aca8d0205510042491cb196e9dc009800095d16,1746019884706,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1746019771241,,0,-,-1
VALIDATING,0xa740335122e8a9e7381304228ac9940203b3001b64007e91cacb940e47249663,1746019863754,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
FAILED,0xf4ea510974cd8e4c03ef042267faa602030300169c1af7a18e320e0107604d6e,1745834804608,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Cannot undelegate during lockup period after delegating or voting.,,0,-,-1
FAILED,0x69522b9efb7c61371333042267f8ba02018600052826bb6a118a023186449880,1745834763804,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1745834658001,,0,-,-1
FAILED,0x7c30bd68158c916ebbcd042267f8b40201770004077117afc34f95435f9abd03,1745834763401,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1745834658000,,0,-,-1
VALIDATING,0x7eb35651d827e732a2c6042267f6440201a10004d3877ac64db9fc1ab85064f8,1745834711641,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x499db46250b4d20561a4042267f63e020202007b370905d831d29634cab155c1,1745834711257,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x9f035f0f980b0cd8c51d042255f21702010500dadfd5c5d366f0dbd2ae84b48a,1745738710652,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
VALIDATING,0x5462061be3fca1416f49042255e39a015a00f64429e4c44e2e984520d41e02c4,1745738407411,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
FAILED,0xe3a55e94820538e8a6f6042255e34802021e003276b8d5e94dbc0147d7f0c9c6,1745738401212,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1745724924021,,0,-,-1
VALIDATING,0x4a3b82dd009d1935967c042255e20e019b00db87eb0134095c407960164fa7ab,1745738376376,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,-,,0,-,-1
FAILED,0xbea69060baddd71b0e9b042255e1a302014500b091bacd7fff095e5b8041aa89,1745738368652,-,tokenDelegate,,0xd57ecca444a9acb7208d286be439de12dd09de5d,Invalid nonce: duplicate nonce 1745724924020,,0,-,-1
