class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,12273.65069179,0x0000000000000000000000000000000000000000,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0,-,0
TRANSFER,0x7774ab52b79a8d5244610425b46d2002083e0078bf896a8a9d959cd0dfa33d6b,1750188132809,NEKO,Transfer,3504.42477876,0x6c22bc85c031847cd83a413f80d4a0f1d65c0eeb,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0,-,0
WITHDRAW,0xd8f8f860d83fd20b112e82ac1c2800d0f872d53662e12d12607273dc7e4f7ead,1744736583307,USDC,Withdraw,-69999,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,Arbitrum,1,-69999,0
VAULT,0xc36e4d1c05f9b69e614d04219aa8610201540083e5ca309e20ed7befcc03654b,1744736343963,USDC,vaultWithdraw,70000,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0,70000,0
TRANSFER,0x63c6d9f4e8dccad78077041e3000550206e40027c723e7d4d3196d342c33e7e0,1740143621440,JPEG,Transfer,62500,0xf07fc9df6cc892029addbef2994d8c221d37f2f6,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0,468.625,0
VAULT,0x24f10f75ddfa971d21b9041e1fb9220201020028e19f3f973cc15d58bb8bb66c,1740057295007,USDC,vaultDeposit,-66806.83,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0,-66806.83,0
TRANSFER,0x6c61e18da7c15ec31294041e1fb82301a40017926b017962a332293cd370a73c,1740057276471,USDC,InternalTransfer,66806.83,SPOT,PERP,0,66806.83,0
VALIDATING,0x46453686258ab1ac2dfe041e1fb6dc020185006b9cde5c065c0e33dea69470bf,1740057250311,-,tokenDelegate,,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,-,0,-,-1
SPOT,0x0d6d8a5a31ed5cc9e82a041e1fb205017e00b4bba51b4cd29e0b7c5704cdcdfa,1740057149496,HYPE,Buy,249.99999999999997,0xffffffffffffffffffffffffffffffffffffffff,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0,453.5986,0
SPOT,0xe2e634110876b1294d79041e1fb14702024300c18ffbc0d3276cfec20bc13265,1740057132404,HYPE,Buy,500,0xffffffffffffffffffffffffffffffffffffffff,0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,0,1251.6366,0
