class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0x0006b9746184392361ac04272a88bc020143000519cd3254e0ef7c7c9d85c912,1752090709987,HYPE-USD,Open Short,-68.69,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-2806.6733999999997,0,0
PERP,0xf9a9733f33760bc8806c04272a88bb02010c00e14d7a59e1d23e30e32ee91ee7,1752090709923,HYPE-USD,Open Short,-25.68,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-1049.2848,0,0
PERP,0x25d48a47113c9619305e04272a88bb02010a00b5e38e401814650acb7d66b148,1752090709923,HYPE-USD,Open Short,-25.34,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-1035.3924,0,0
PERP,0x6df37b461359feaf5c1104272a88bb020109001f070c712ec72c48d9539e3340,1752090709923,HYPE-USD,Open Short,-269.28,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-11002.780799999999,0,0
PERP,0xdb29a2cd1b08ceebadef04272a88ba0206d3009d263c6ed324d196ecc375ca22,1752090709858,HYPE-USD,Open Short,-73.46,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-3001.5755999999997,0,0
PERP,0x960b1b14935adfddeb5404272a88ba0206cb00b8901f545472e71c1e5b8a79ed,1752090709858,HYPE-USD,Open Short,-73.46,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-3001.5755999999997,0,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1752090709025,HYPE-USD,Open Short,-0.89,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-36.3654,0,0
PERP,0x2a791be900e825149ccc04272a88af02033c00cdec594f719a3b2651c14fdda7,1752090708801,HYPE-USD,Open Short,-6109.91,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-249650.9226,0,0
PERP,0x681454023a7f881321ac04272a6a15018f00eee566fcd44e70b4cab52ee5f9ae,1752090111585,HYPE-USD,Open Short,-832.65,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-34022.079,0,0
PERP,0xda4e17f3b3630358ac5704272a69bd0201e60089ec47f4a450010c0b67836448,1752090105197,HYPE-USD,Open Short,-40,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-1634.4,0,0
PERP,0xf65f97e9e1bb57e5585a04272a69bd0201e30097ec292db842ba0eeaa276b7bf,1752090105197,HYPE-USD,Open Short,-166.5,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-6803.19,0,0
PERP,0x36a42f8e54acf94d3b0b04272a69bb0207180096bb241cb98895f0be00660615,1752090105049,HYPE-USD,Open Short,-1.56,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-63.7416,0,0
PERP,0xa10fcae47a36f85d7bc404272a69bb0206eb007e1722b52ef51221d573717ea3,1752090105049,HYPE-USD,Open Short,-30.51,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-1246.6386,0,0
PERP,0xbf51f7400d5730a2fdde04272a69b802018e00a2d27687c813b6148137a94153,1752090104791,HYPE-USD,Open Short,-988.06,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-40372.1316,0,0
PERP,0x7ce1576bf57c9ebe521f04272a69b402025100dde38bee9e235453098b18eb60,1752090104520,HYPE-USD,Open Short,-375.04,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-15324.1344,0,0
PERP,0xf2d311dc6ad9629a727904272a69b0020305003886fbfd188d02db4797d15cad,1752090104212,HYPE-USD,Open Short,-1.1,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-44.946000000000005,0,0
PERP,0x3c59b2a48c245139fb8904272a69b002030100220eca38c3723d8f0aa9b68b31,1752090104212,HYPE-USD,Open Short,-40,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-1634.4,0,0
PERP,0x8a96534eed49b181bfb704272a69b00202fb001338c3644eb988e89f77b4fe93,1752090104212,HYPE-USD,Open Short,-321.19,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-13123.8234,0,0
PERP,0x0431b8adbc67b4e9291a04272a69ae0204b8007f68504f559860c84d753c6f56,1752090104053,HYPE-USD,Open Short,-6.56,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-268.04159999999996,0,0
PERP,0xe4e557f818b35524a13104272a69ae0204b600c57f45057a37b9ced82ce12f6f,1752090104053,HYPE-USD,Open Short,-6.09,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-248.8374,0,0
PERP,0xcb60a18fc505269a28e504272a69ae0204b5008ee2f5e08d053f83d44bf11fc6,1752090104053,HYPE-USD,Open Short,-130.02,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-5312.617200000001,0,0
PERP,0xffbda62247097c7b385f04272a69a902042a002f64a9c9576d75bd9781e1d8b4,1752090103568,HYPE-USD,Open Short,-390.32,0xe867fbdad3291530e41530301ecb77693850c78e,0xffffffffffffffffffffffffffffffffffffffff,40.86,-15948.475199999999,0,0
PERP,0x3df2655d2d2e14c6453f04270875c80206130096be8f3c6edada575f36c21be9,1751919453908,TIA-USD,Open Long,1972.1,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,3096.197,0,0
PERP,0x7c44d13f2f772bc99e6504270875c802060a00bb6ba415ebccedb16610b02775,1751919453908,TIA-USD,Open Long,282.3,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,443.211,0,0
PERP,0x7d3edf84cefb134dd18f04270875c802060000ba190ea608e216126422e4d0db,1751919453908,TIA-USD,Open Long,2085.5,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,3274.235,0,0
PERP,0x7ac2a98ad98823990c1f04270875c80205f900a55e260e629cc060b995c8452c,1751919453908,TIA-USD,Open Long,299.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,470.058,0,0
PERP,0x897ccafe8544d64a205604270875c80205f600e562c900733fe6f631695ba741,1751919453908,TIA-USD,Open Long,100.6,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,157.942,0,0
PERP,0x5b395bd7d48bc513910304270875c80205ed0091b163740c941279025cb121a2,1751919453908,TIA-USD,Open Long,181.9,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,285.583,0,0
PERP,0xe4fbc5623ce8c46728eb04270875c80205ea00960c790dbe9bfb2c3ccd1f6045,1751919453908,TIA-USD,Open Long,1435.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2253.5780000000004,0,0
PERP,0xe44b1277db48344cd5c404270875c80205e800ff32ef4102b61f2fe40aabdc74,1751919453908,TIA-USD,Open Long,17063.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,26790.166,0,0
PERP,0x259ddf2799be92fb307204270875c80205e0000e520cf85349ee84e7d3ed43b9,1751919453908,TIA-USD,Open Long,90.3,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,141.77100000000002,0,0
PERP,0xaf09c7a59b8ee0fdb32504270875c80205dc00359f6b0411f550d8eff056e1e0,1751919453908,TIA-USD,Open Long,606.5,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,952.205,0,0
PERP,0xaeb3e186eee669b48f2704270875c80205db00e43d27959051c3ff904cbb4016,1751919453908,TIA-USD,Open Long,3902.6,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,6127.082,0,0
PERP,0x86451373d5ee8f7fccf404270875c80205da006c028e92412c1ebc82a87a184b,1751919453908,TIA-USD,Open Long,349.1,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,548.0870000000001,0,0
PERP,0x1a2cf25b655cc37ca74b04270875c80205d8006c1232f851e7f5f7283797c925,1751919453908,TIA-USD,Open Long,83.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,131.566,0,0
PERP,0xe146dfef1aed1da95f1d04270875c80205d500f84b7bef2ea7d06b9df4010ab0,1751919453908,TIA-USD,Open Long,126.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,198.448,0,0
PERP,0x53a0c5771c421555e49a04270875c80205d300c7c0f44f6e63039544b8662b07,1751919453908,TIA-USD,Open Long,146.2,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,229.534,0,0
PERP,0xea5446e87f47725836df04270875c502089b00138f8cc5cae1dcfd37367fcd17,1751919453700,TIA-USD,Open Long,190.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,299.55600000000004,0,0
PERP,0x12fc919555f1a3e655ec04270875c50208990086a8c16448fcda6a255ade00ed,1751919453700,TIA-USD,Open Long,132.3,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,207.711,0,0
PERP,0xdb2a221284a77f09646d04270875c5020897002082dd273687b1e12dc036e3a6,1751919453700,TIA-USD,Open Long,97.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,153.546,0,0
PERP,0x62a20b86aa359a14285d04270875c502089600852a48f42c36ee3b023d5ba603,1751919453700,TIA-USD,Open Long,263,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,412.91,0,0
PERP,0xacf46ed6626ca59fb9d404270875c502089500c0b7d623df819ad6b427f2e3ee,1751919453700,TIA-USD,Open Long,100.1,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,157.157,0,0
PERP,0x097e6bab679266c7dea804270875c502089300ceb7ceb46d43635b048bbf4622,1751919453700,TIA-USD,Open Long,2111.9,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,3315.6830000000004,0,0
PERP,0x8b7fd68b7083dfaaa07304270875c502089100da2a94a52c2ecc45256eb51b7f,1751919453700,TIA-USD,Open Long,209.9,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,329.543,0,0
PERP,0x85aa9ef747a8b3115d6104270875c502089000dafe0b8e89277164575ef86830,1751919453700,TIA-USD,Open Long,358.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,562.688,0,0
PERP,0xb6508beb162af97fb27504270875c502088f00146f7bb00fa1405a17716c1a6b,1751919453700,TIA-USD,Open Long,228,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,357.96000000000004,0,0
PERP,0xc404a51e03ca3288f02304270875c502088e0042de0dcf71396ea22b28563c0e,1751919453700,TIA-USD,Open Long,91.5,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,143.655,0,0
PERP,0x46784eb18c9c7a43b27f04270875c502088d0016d1ea18fcb390c0a4ea2f8a81,1751919453700,TIA-USD,Open Long,90,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,141.3,0,0
PERP,0x640e07b07a5f2b5fce9404270875c502088c00e7c1ed843d8e4559c121756b52,1751919453700,TIA-USD,Open Long,11809.7,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,18541.229000000003,0,0
PERP,0xf601afd0706cd2e9841204270875c502088a00be606f9419e9ce114ea6176b69,1751919453700,TIA-USD,Open Long,71.1,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,111.627,0,0
PERP,0x5c423b7278f4341e149204270875c502086e0097c118cb4c342e632d6e1258b6,1751919453700,TIA-USD,Open Long,91.9,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,144.28300000000002,0,0
PERP,0xb3598963dcc3161a3fb404270875c40203f3002d69b7c0df307be4a5c22b7251,1751919453637,TIA-USD,Open Long,417.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,655.946,0,0
PERP,0xbe9fe90e42d32f2d941704270875c40203ef00f822e3ec2d7042286390cba9cd,1751919453637,TIA-USD,Open Long,92.3,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,144.911,0,0
PERP,0xbb63996670d1d774107604270875c40203e200af13553139f39699434f3a7383,1751919453637,TIA-USD,Open Long,1910.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2999.956,0,0
PERP,0x22385c21d5ecc86007a904270875c40203e100451688705dac26178765700214,1751919453637,TIA-USD,Open Long,1910.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2999.956,0,0
PERP,0x2e8f5ddfea833f8bbcf304270875c30201de004677f839b0655ec52d5a6839b9,1751919453569,TIA-USD,Open Long,17.2,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,27.004,0,0
PERP,0x2cf85abb6ecbeaf013bd04270875c30201c9008f792ebf10200670d397650c6c,1751919453569,TIA-USD,Open Long,892.7,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,1401.5390000000002,0,0
PERP,0x70d17290e1e7a9f0f75b04270875c20202bd00fd979d23df13b9605a384e8d95,1751919453505,TIA-USD,Open Long,1592.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2500.068,0,0
PERP,0xa5108e9b4c4bf5b1ddba04270875c20202b50015f19a0eacd55bbc067e1dbd5b,1751919453505,TIA-USD,Open Long,1592.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2500.068,0,0
PERP,0xa10bf283c3df677b849304270875c102024f00003c17a8ddce02cdd38bcded4b,1751919453437,TIA-USD,Open Long,1592.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2500.068,0,0
PERP,0x8c0556ebd7824331981204270875c102024900d702c8fb5eb97d2935677dea9e,1751919453437,TIA-USD,Open Long,7006.1,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,10999.577000000001,0,0
PERP,0x5911ea8401d5589f64ba04270875bf020b24008397de00ac6c50fede19ec8b30,1751919453291,TIA-USD,Open Long,19.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,31.086000000000002,0,0
PERP,0xb5c321321000d1d44d9104270875bc0204cd009342af0f8a369e0f820fb2f27a,1751919453077,TIA-USD,Open Long,137.2,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,215.404,0,0
PERP,0x5aaeef277cf03d53b18104270875680201ee00aa891395971999d8dc22a7eaa8,1751919446378,TIA-USD,Open Long,1910.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2999.956,0,0
PERP,0x90bdaf2f22d015e23a300427087566020191007e403a960a2b334a3eaa92ddb8,1751919446218,TIA-USD,Open Long,1910.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2999.956,0,0
PERP,0x1b1e23ac9acb3187552f04270875640202cf007bf0a10dad7c71f9e4eff35440,1751919446061,TIA-USD,Open Long,1910.8,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2999.956,0,0
PERP,0x81da3d57dce36cb0255b04270874b002012400a8472c4151339d6f3e567fa0ce,1751919432240,TIA-USD,Open Long,1591.3,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,2498.341,0,0
PERP,0x28b6ac84eb64797d914b042708746a01ee008eeeab17434fd80de411221bdfde,1751919427467,TIA-USD,Open Long,72.2,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,113.35400000000001,0,0
PERP,0xe85b2357c0487d8107a5042708746902013900dd021521edd7c3ad017eadb377,1751919427404,TIA-USD,Open Long,139.2,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,218.54399999999998,0,0
PERP,0xb08b2fa90dce48d6195404270874680201ee005e475838084eec49293946759b,1751919427353,TIA-USD,Open Long,102.2,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,160.454,0,0
PERP,0x1e69ca5a8eda06a769fb04270874660201950068f6b703d7f1991ad033222aa0,1751919427181,TIA-USD,Open Long,101.4,0xffffffffffffffffffffffffffffffffffffffff,0xe867fbdad3291530e41530301ecb77693850c78e,1.57,159.198,0,0
